Date,AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
1975-01-31,35.467079479,34.433211447,28.935032879,36.794925362,15.674160175,19.649587759,24.504865009,27.151955823,31.050425677,30.808859533,26.6904402,32.110576508,25.509396704,32.408135918,33.029086162,33.397141646,31.441363595,33.003260788,27.989553681,26.928082174,15.896994418,24.424905171,25.394196469,42.221543754,30.462718377,26.954575113,31.240588707,27.680813501,22.03542044,22.962798061,27.760657041,23.837171576,28.331323543,39.98880196,30.243009234,38.068564842,19.699723991,28.695612973,20.066843306,30.770850411,37.833975356,32.050310978,32.618858474,24.599736751,26.628179384,27.897774376,17.465407326,40.890329111,28.098989803,31.646764008
1975-02-28,35.693904752,34.941605308,29.449290584,37.154590758,15.732282532,19.875224771,25.038895072,27.172941817,32.230014269,30.508703964,26.630824305,32.050747999,25.723734082,32.884983084,33.548479944,33.776910867,31.475882872,33.617368427,27.872643379,26.840174317,15.799918599,24.78939626,25.64589187,41.907782196,31.861902358,27.268372377,31.217762182,28.149529132,22.392163872,22.427260108,28.174014606,23.356766627,28.614585065,39.884759609,30.325925886,37.953791396,20.185293067,29.042057183,20.48023093,31.200179675,37.406276159,32.110294041,32.953457265,24.9482443,26.870399969,28.184055085,17.53622415,41.924491329,28.47377429,32.139353474
1975-03-31,35.956498981,35.461275434,29.930705083,37.470010086,15.926003511,20.097813425,25.44104149,27.221809408,33.993767687,30.374685264,26.618908885,31.987165775,25.994776283,33.344504368,34.015266442,34.196591548,31.502218391,34.23710857,27.790767507,26.793881966,15.702221105,25.088412901,25.862694985,41.673538038,33.284347426,27.601781296,31.189945424,28.602209401,22.720469215,22.112522141,28.565441974,23.144811125,28.859478392,39.830967935,30.512877675,37.890303523,20.649355408,29.312339931,20.901671587,31.527324427,36.971708347,32.211948112,33.533513295,25.259215665,27.10321686,28.394298506,17.647895332,43.001360969,28.845889574,32.657766452
1975-04-30,36.273871146,36.002408318,30.298327976,37.726627274,16.240163635,20.304830088,25.663745926,27.340988833,36.16642713,30.431756875,26.678991659,31.936438741,26.282872858,33.707032018,34.377141875,34.632506903,31.57209186,34.711815908,27.767037612,26.831255735,15.623485628,25.27899994,26.067438823,41.570281045,34.442295573,27.944454591,31.159261735,29.022595209,22.995243985,22.088717423,28.88144079,23.155488188,29.071250645,39.896410702,30.75312737,37.84836578,21.07289535,29.514466816,21.330569241,31.72008709,36.540392707,32.352252482,34.368221308,25.50177867,27.312610562,28.550134323,17.78273134,44.111111104,29.182758509,33.187551539
1975-05-31,36.570738586,36.59250912,30.479180413,37.965612585,16.502019805,20.477078006,25.725493125,27.558077768,36.406663047,30.554023172,26.804166081,31.924988135,26.44799565,33.911298032,34.593577653,35.045896955,31.779211503,34.945873123,27.820582232,26.948854528,15.587051473,25.342820776,26.313636801,41.604566011,34.39982096,28.262299628,31.123122107,29.397072631,23.192947229,22.271062727,29.115452506,23.293053896,29.247002296,40.100063951,30.99789033,37.817332576,21.478966361,29.750669977,21.75030832,31.849288731,36.148504925,32.508409661,34.620176622,25.656450806,27.493305761,28.67955915,17.905578168,45.226752626,29.46368816,33.690084741
1975-06-30,36.726115985,37.223771479,30.414641996,38.207976466,16.618508552,20.627232634,25.682583436,27.823783275,34.792915905,30.602995282,26.956991873,31.945071796,26.535236497,33.935967309,34.710967067,35.351879922,32.160965549,35.039850351,27.962481352,27.110266052,15.607064392,25.292791192,26.60454945,41.739391942,33.315657495,28.53334476,31.079114458,29.715247562,23.297592027,22.543978429,29.315652066,23.537012531,29.374894435,40.431209839,31.245496275,37.819613305,21.876545381,30.021762594,22.113419607,32.007382742,35.852537165,32.672622797,34.205665551,25.693862893,27.652884934,28.801014294,18.03359461,46.290192999,29.684050887,34.149770028
1975-07-31,36.671478046,37.855240806,30.093756147,38.413771394,16.741526106,20.737684673,25.625028192,28.064133598,33.588546186,30.511778672,27.092366256,31.985193626,26.663291784,33.79244047,34.816645271,35.537087043,32.610882665,35.171665182,28.186621887,27.31005,15.677895349,25.248320861,26.940111764,41.827830157,32.332542394,28.758004191,31.033366083,29.990248391,23.311752296,22.844682891,29.49903137,23.785860678,29.482912782,40.888806133,31.44824737,37.875996911,22.224039705,30.198425414,22.384381447,32.223040314,35.662008227,32.837831487,33.923224403,25.618349249,27.783422521,28.976730345,18.178737859,47.223207708,29.858130049,34.57147347
1975-08-31,36.449231191,38.431023913,29.601106748,38.533929587,16.962664498,20.744561341,25.605434186,28.269115858,33.027858275,30.272541875,27.182157421,32.04563227,26.792084956,33.532209757,34.910539042,35.694902978,32.979810192,35.38776374,28.469970215,27.522425938,15.760418886,25.338211472,27.275767125,41.77912194,31.766977075,28.937388616,31.02815457,30.262488841,23.275186504,23.050015683,29.624961855,23.900585802,29.644473978,41.458787274,31.53260379,38.00562109,22.482563314,30.101471195,22.574396428,32.453676814,35.528082587,33.008703212,33.888293978,25.508612795,27.8666086,29.163525911,18.274685753,47.967869344,30.009746961,34.947892441
1975-09-30,36.194656657,38.933066357,29.091587043,38.535637362,17.201701717,20.671422578,25.638953632,28.439325101,32.906746133,29.925100101,27.238223224,32.140837753,26.915741416,33.276111996,34.95388742,35.79900111,33.221008544,35.610011551,28.761552127,27.674699013,15.831669541,25.406181894,27.512967696,41.677691644,31.463685172,29.080816156,31.116659894,30.555030773,23.257955121,23.085030557,29.663856361,23.915762192,29.837369862,42.104744073,31.564549726,38.221567189,22.652091982,29.658998984,22.698202168,32.616647555,35.42449521,33.23356686,33.975268701,25.462505773,27.910409967,29.227531078,18.292261997,48.467843865,30.202112283,35.270664719
1975-10-31,36.069713133,39.39036251,28.809024217,38.482969584,17.417695926,20.634208224,25.733163277,28.552092257,33.051758416,29.635721418,27.275750593,32.35194546,27.076493704,33.238663826,35.008477546,35.837202015,33.3495614,35.80323651,28.981278514,27.812833811,15.871568566,25.296598809,27.582186175,41.636467348,31.246420222,29.212013078,31.320394944,30.859047463,23.301680349,23.005214348,29.649903528,23.92901911,30.004584707,42.75356304,31.675884804,38.553800706,22.750399409,29.129212267,22.751906471,32.63750774,35.365484506,33.575297379,34.113408526,25.599393781,27.934692501,29.183465492,18.316862226,48.689532955,30.422262648,35.516829403
