Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,3.745536,4.017857,3.631696,111.9375,3.6107400000000003,133949200
2000-01-04,3.866071,3.950893,3.613839,102.5,3.306317,128094400
2000-01-05,3.705357,3.948661,3.678571,104.0,3.3547019999999996,194580400
2000-01-06,3.790179,3.821429,3.392857,95.0,3.064391,191993200
2000-01-07,3.446429,3.607143,3.410714,99.5,3.209547,115183600
2000-01-10,3.642857,3.651786,3.383929,97.75,3.1530970000000003,126266000
2000-01-11,3.426339,3.549107,3.232143,92.75,2.9918139999999998,110387200
2000-01-12,3.392857,3.410714,3.089286,87.1875,2.812385,244017200
2000-01-13,3.3744389999999997,3.526786,3.303571,96.75,3.120841,258171200
2000-01-14,3.571429,3.651786,3.549107,100.4375,3.2397869999999998,97594000
2000-01-18,3.607143,3.785714,3.587054,103.9375,3.3526860000000003,114794400
2000-01-19,3.772321,3.883929,3.691964,106.5625,3.43736,149410800
2000-01-20,4.125,4.339286,4.053571,113.49999199999999,3.66114,457783200
2000-01-21,4.080357,4.080357,3.935268,111.3125,3.590579,123981200
2000-01-24,3.872768,4.026786,3.754464,106.25,3.42728,110219200
2000-01-25,3.75,4.040179,3.65625,112.25000800000001,3.6208199999999997,124286400
2000-01-26,3.928571,4.078125,3.919643,110.1875,3.5542910000000005,91789600
2000-01-27,3.886161,4.035714,3.821429,110.0,3.5482419999999997,85036000
2000-01-28,3.863839,3.959821,3.59375,101.625,3.278092,105837200
2000-01-31,3.607143,3.709821,3.375,103.75,3.3466370000000003,175420000
2000-02-01,3.714286,3.75,3.571429,100.25,3.233739,79508800
2000-02-02,3.598214,3.647321,3.464286,98.8125,3.18737,116048800
2000-02-03,3.582589,3.723214,3.580357,103.3125,3.332525,118798400
2000-02-04,3.712054,3.928571,3.700893,108.0,3.4837290000000003,106330000
2000-02-07,3.857143,4.080357,3.783482,114.0625,3.6792860000000003,110266800
2000-02-08,4.071429,4.147321,3.973214,114.87500800000001,3.7054940000000003,102160800
2000-02-09,4.075893,4.183036,4.015625,112.62499199999999,3.6329160000000003,74841200
2000-02-10,4.03125,4.066964,3.928571,113.49999199999999,3.66114,75745600
2000-02-11,4.058036,4.075893,3.866071,108.75,3.507921,53062800
2000-02-14,3.904018,4.138393,3.879464,115.8125,3.7357339999999994,91884800
2000-02-15,4.116071,4.283482,4.113839,119.0,3.8385519999999995,121436000
2000-02-16,4.205357,4.21875,4.004464,114.125,3.6813010000000004,94561600
2000-02-17,4.113839,4.125,4.040179,114.87500800000001,3.7054940000000003,72374400
2000-02-18,4.09375,4.120536,3.959821,111.25,3.588564,58360400
2000-02-22,3.933036,4.176339,3.810268,113.8125,3.671221,105574000
2000-02-23,4.044082,4.25,3.964286,116.25,3.749847,118274800
2000-02-24,4.189732,4.254464,3.991071,115.203102,3.716077,94108000
2000-02-25,4.100446,4.178571,3.933036,110.375,3.560339,62286000
2000-02-28,3.933036,4.107143,3.870536,113.25,3.6530769999999997,82082000
2000-02-29,4.055804,4.1875,4.020089,114.625,3.697429,92240400
2000-03-01,4.234375,4.716518,4.232143,130.3125,4.203457,269250800
2000-03-02,4.535714,4.569196,4.310268,122.0,3.9353230000000003,77814800
2000-03-03,4.459821,4.579796,4.285714,128.0,4.128863,80841600
2000-03-06,4.5,4.611607,4.464286,125.6875,4.05427,52640000
2000-03-07,4.515625,4.551339,4.325893,122.875,3.9635480000000003,68252800
2000-03-08,4.388393,4.426339,4.234375,122.0,3.9353230000000003,67807600
2000-03-09,4.316964,4.464286,4.223214,122.24999199999999,3.9433870000000004,69179600
2000-03-10,4.345982,4.569196,4.321429,125.74999199999999,4.056285,62151600
2000-03-13,4.361607,4.517857,4.267857,121.3125,3.913146,75989200
2000-03-14,4.329239,4.4375,4.071429,114.25,3.685333,107144800
2000-03-15,4.129464,4.294643,4.075893,116.25,3.749847,110902400
2000-03-16,4.189732,4.357143,4.089286,121.5625,3.921211,94525200
2000-03-17,4.290179,4.464286,4.272321,125.0,4.032093,76260800
2000-03-20,4.410714,4.508929,4.370536,123.0,3.9675800000000003,51122400
2000-03-21,4.377232,4.883929,4.34375,134.9375,4.352645,131082000
2000-03-22,4.742186,5.15625,4.698661,144.1875,4.651021,141999200
2000-03-23,5.071429,5.370536,5.0,141.3125,4.558281,140641200
2000-03-24,5.087054,5.140625,4.839286,138.6875,4.473607,111728400
2000-03-27,4.915179,5.169643,4.888393,139.5625,4.501832,69795600
2000-03-28,4.901786,5.071429,4.897321,139.125,4.4877199999999995,50741600
2000-03-29,4.977679,4.979911,4.779575,135.9375,4.384901999999999,59959200
2000-03-30,4.770089,4.917411,4.479911,125.74999199999999,4.056285,103600000
2000-03-31,4.551339,4.901786,4.5,135.8125,4.380868,101158400
2000-04-03,4.839286,4.982143,4.622768,133.3125,4.300229,82140800
2000-04-04,4.736607,4.75,4.169643,127.3125,4.106687,165082400
2000-04-05,4.516739,4.745536,4.428571,130.375,4.205474,114416400
2000-04-06,4.665179,4.803571,4.401786,125.1875,4.038142,64906800
