Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,32.0,32.0,31.125,31.4375,13.794158,396900
2000-01-04,31.375,31.9375,31.375,31.8125,13.958694,325500
2000-01-05,31.8125,33.125,31.8125,33.0,14.479754000000002,392200
2000-01-06,32.75,33.6875,32.75,33.1875,14.562022,433000
2000-01-07,33.375,33.75,33.0625,33.625,14.753982999999998,250500
2000-01-10,33.625,33.8125,33.4375,33.5,14.699138,307700
2000-01-11,33.5,33.6875,33.5,33.625,14.753982999999998,223000
2000-01-12,33.5625,33.9375,33.5,33.875,14.863681,252500
2000-01-13,33.875,34.0,33.625,33.8125,14.836257000000002,222400
2000-01-14,33.875,33.875,33.5,33.8125,14.836257000000002,529900
2000-01-18,33.6875,33.75,33.0,33.0,14.479754000000002,363800
2000-01-19,33.0,33.625,33.0,33.4375,14.671716,215500
2000-01-20,33.375,33.375,33.0625,33.0625,14.507173000000002,278800
2000-01-21,33.3125,34.0,33.1875,34.0,14.918529999999999,345000
2000-01-24,34.0,34.4375,33.875,33.875,14.863681,855500
2000-01-25,33.875,34.125,32.625,32.875,14.424898,964400
2000-01-26,33.125,33.6875,32.875,33.6875,14.781407999999999,508500
2000-01-27,33.6875,34.125,33.3125,33.5625,14.726563,923900
2000-01-28,33.5625,33.625,32.875,33.0,14.479754000000002,357300
2000-01-31,33.1875,33.5625,33.0,33.5,14.699138,209900
2000-02-01,33.5,33.75,33.0625,33.6875,14.781407999999999,318200
2000-02-02,33.625,34.0625,33.5625,33.625,14.753982999999998,765300
2000-02-03,33.6875,34.8125,33.6875,34.75,15.247615,536200
2000-02-04,34.9375,34.9375,33.875,34.0625,14.945960000000001,1106200
2000-02-07,34.0,34.0,33.5625,33.6875,14.781407999999999,2040500
2000-02-08,33.125,33.5,33.0625,33.3125,14.881927,461400
2000-02-09,33.25,33.25,32.5,32.5625,14.546873000000001,307500
2000-02-10,32.5625,32.5625,31.4375,31.625,14.128054999999998,399000
2000-02-11,31.625,31.9375,31.3125,31.8125,14.211818,339400
2000-02-14,31.8125,32.3125,31.6875,31.75,14.183895999999999,317600
2000-02-15,31.75,31.8125,31.3125,31.3125,13.988451000000001,234600
2000-02-16,31.125,31.3125,30.6875,30.6875,13.709238000000001,367900
2000-02-17,30.75,30.75,30.3125,30.4375,13.597554,287100
2000-02-18,30.125,30.1875,29.8125,29.9375,13.374189999999999,510500
2000-02-22,30.0,30.5625,29.9375,30.4375,13.597554,410600
2000-02-23,30.375,30.375,29.625,30.0,13.402111999999999,356400
2000-02-24,29.75,29.8125,28.375,28.9375,12.927449000000001,653000
2000-02-25,28.875,28.875,28.0,28.1875,12.5924,798200
2000-02-28,28.375,29.125,28.125,28.75,12.843687,335700
2000-02-29,28.75,28.75,28.0625,28.125,12.564477,365600
2000-03-01,28.125,28.1875,27.5,27.5625,12.313189999999999,324200
2000-03-02,27.5625,27.8125,27.5625,27.5625,12.313189999999999,455900
2000-03-03,27.5625,27.8125,27.0625,27.3125,12.201500999999999,595000
2000-03-06,27.3125,27.3125,25.9375,26.1875,11.698922999999999,386100
2000-03-07,26.6875,27.9375,26.5625,27.0,12.061893,828200
2000-03-08,26.75,26.9375,26.625,26.75,11.950213,442100
2000-03-09,26.8125,27.0,26.375,26.625,11.89437,430200
2000-03-10,26.6875,26.75,26.0,26.0625,11.643085000000001,687100
2000-03-13,26.625,28.375,26.125,26.5,11.83853,555600
2000-03-14,26.5,26.9375,26.1875,26.875,12.006059,458400
2000-03-15,27.125,29.125,27.0,28.75,12.843687,744900
2000-03-16,29.0,31.125,28.875,30.9375,13.820925,908000
2000-03-17,30.9375,31.0,30.375,30.375,13.569636,813300
2000-03-20,30.4375,30.4375,29.875,30.0625,13.430032999999998,293400
2000-03-21,30.1875,30.375,29.625,29.8125,13.318348,591800
2000-03-22,29.9375,29.9375,28.5,29.1875,13.039136,375900
2000-03-23,29.1875,30.0,29.1875,29.5,13.178741,340500
2000-03-24,29.25,30.0625,29.125,29.9375,13.374189999999999,257800
2000-03-27,29.9375,30.4375,29.8125,30.0,13.402111999999999,420500
2000-03-28,30.125,30.3125,29.3125,29.3125,13.094971000000001,240800
2000-03-29,29.4375,30.25,29.375,29.875,13.346267999999998,357400
2000-03-30,29.9375,30.3125,29.875,29.9375,13.374189999999999,491600
2000-03-31,29.6875,29.8125,29.25,29.8125,13.318348,315800
2000-04-03,29.8125,30.1875,29.5,29.8125,13.318348,441000
2000-04-04,30.0,31.0625,29.75,30.8125,13.76508,561800
2000-04-05,31.0,32.3125,30.875,31.625,14.128054999999998,527000
2000-04-06,31.625,31.8125,30.25,30.5625,13.653401,350200
2000-04-07,30.5625,30.8125,30.25,30.5,13.62548,450900
2000-04-10,30.5625,31.3125,30.5,31.0,13.848841,457300
2000-04-11,31.125,31.875,31.0,31.625,14.128054999999998,523200
2000-04-12,32.125,33.0,32.0,32.6875,14.60271,737500
2000-04-13,32.6875,33.9375,32.625,33.875,15.133213,559900
