Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,39.75,39.8125,37.8125,47.5,11.326386999999999,181500
2000-01-04,38.0,38.0,37.3125,46.875,11.177355,250900
2000-01-05,37.5,37.9375,37.375,47.34375,11.28913,108100
2000-01-06,37.8125,38.75,37.8125,48.28125,11.512675,71000
2000-01-07,38.625,39.375,38.625,48.828125,11.643077,108300
2000-01-10,39.0,39.75,38.875,49.609375,11.829367,244100
2000-01-11,39.75,39.75,38.5,49.375,11.773482000000001,292800
2000-01-12,39.625,39.625,39.375,49.375,11.773482000000001,55600
2000-01-13,39.375,39.5,38.8125,48.59375,11.587193,60300
2000-01-14,38.9375,39.1875,37.5,46.953125,11.195982,1043900
2000-01-18,37.5625,38.1875,37.375,47.734375,11.382271000000001,95100
2000-01-19,38.0625,38.8125,38.0625,48.125,11.475417,96900
2000-01-20,38.3125,38.4375,37.8125,47.34375,11.28913,65300
2000-01-21,37.875,38.1875,37.5,47.734375,11.382271000000001,151600
2000-01-24,38.0625,38.125,37.6875,47.1875,11.251866999999999,75900
2000-01-25,37.8125,38.0,37.1875,46.5625,11.102839999999999,298000
2000-01-26,37.25,37.25,36.625,46.171875,11.009698,182000
2000-01-27,37.0,37.875,37.0,47.1875,11.251866999999999,226500
2000-01-28,37.8125,38.125,37.375,47.1875,11.251866999999999,268000
2000-01-31,37.75,37.875,37.625,47.34375,11.28913,144800
2000-02-01,37.875,38.25,37.4375,47.421875,11.307755,164800
2000-02-02,37.25,38.125,37.25,47.34375,11.501346,142900
2000-02-03,37.875,37.9375,37.6875,47.34375,11.501346,113900
2000-02-04,37.875,37.9375,36.5,45.859375,11.140741,1786200
2000-02-07,36.6875,36.9375,36.5625,45.9375,11.159718,130000
2000-02-08,36.75,37.125,36.625,46.40625,11.273594000000001,163200
2000-02-09,37.375,37.4375,37.125,46.71875,11.349509,63900
2000-02-10,37.25,37.375,37.0,46.484375,11.292571,78000
2000-02-11,37.0,37.0,36.3125,45.9375,11.159718,181000
2000-02-14,37.25,37.5,36.75,46.25,11.235635,180800
2000-02-15,36.875,37.25,36.5,46.5625,11.311554,217000
2000-02-16,37.0,38.0625,37.0,47.5,11.539302000000001,266300
2000-02-17,37.875,38.0625,37.75,47.578125,11.55828,137200
2000-02-18,38.0,38.0625,37.375,46.875,11.387469,93100
2000-02-22,37.4375,37.6875,37.125,46.484375,11.292571,64500
2000-02-23,37.3125,37.5,37.0625,46.484375,11.292571,53700
2000-02-24,36.9375,37.1875,36.9375,46.25,11.235635,51600
2000-02-25,37.1875,37.1875,37.0,46.484375,11.292571,47900
2000-02-28,37.0625,37.125,36.375,45.78125,11.12176,148000
2000-02-29,36.875,37.1875,36.5625,46.25,11.235635,119500
2000-03-01,36.875,37.0625,36.75,46.09375,11.197678,113400
2000-03-02,37.0,37.125,36.8125,46.015625,11.178699,62300
2000-03-03,36.875,37.5625,36.875,46.484375,11.292571,244500
2000-03-06,37.25,37.5625,37.125,46.953125,11.406448,78300
2000-03-07,37.6875,37.8125,37.1875,46.875,11.387469,100200
2000-03-08,37.3125,37.5,37.125,46.796875,11.368492999999999,116600
2000-03-09,37.125,37.1875,37.0,46.328125,11.254611,146100
2000-03-10,37.0625,37.125,36.4375,46.40625,11.273594000000001,89900
2000-03-13,37.375,37.375,36.75,46.171875,11.216658,36000
2000-03-14,36.875,37.5,36.8125,46.25,11.235635,78000
2000-03-15,37.0,39.125,36.875,48.90625,11.880925,341800
2000-03-16,39.125,39.6875,39.125,49.296875,11.975825,234000
2000-03-17,39.6875,39.9375,39.4375,49.765625,12.089696,66500
2000-03-20,39.9375,39.9375,39.0,49.21875,11.956843,215100
2000-03-21,39.375,39.375,38.875,49.0625,11.918882,126800
2000-03-22,39.1875,39.1875,37.875,48.125,11.691133,185800
2000-03-23,38.75,38.75,38.125,47.734375,11.596241000000001,357400
2000-03-24,38.375,38.375,37.875,47.5,11.539302000000001,124600
2000-03-27,38.25,38.375,38.0,47.734375,11.596241000000001,129000
2000-03-28,38.3125,38.375,38.1875,47.890625,11.634195,116600
2000-03-29,38.0625,38.5625,38.0625,48.125,11.691133,121900
2000-03-30,38.4375,39.125,38.0,47.5,11.539302000000001,374100
2000-03-31,37.875,38.1875,37.75,47.734375,11.596241000000001,112500
2000-04-03,38.125,38.125,37.75,47.5,11.539302000000001,275400
2000-04-04,38.0,38.25,37.8125,47.421875,11.520322,266700
2000-04-05,38.0,38.375,37.875,47.890625,11.634195,174000
2000-04-06,38.5,38.75,38.5,48.359375,11.748075,146200
2000-04-07,39.125,39.25,38.875,49.0625,11.918882,110000
2000-04-10,39.0,39.8125,39.0,49.609375,12.051736,87300
2000-04-11,39.75,39.875,39.3125,49.84375,12.10868,444600
2000-04-12,39.8125,40.0,39.625,50.0,12.146636,321400
2000-04-13,40.0,40.5625,40.0,50.46875,12.260507,246700
2000-04-14,40.125,40.25,39.75,49.921875,12.127653,153200
2000-04-17,39.8125,40.125,39.25,49.765625,12.089696,126600
2000-04-18,39.8125,40.0,39.6875,50.0,12.146636,45800
2000-04-19,39.9375,40.0625,39.875,50.0,12.146636,310600
2000-04-20,39.9375,40.125,39.8125,50.15625,12.184592,36400
2000-04-24,39.875,40.5,39.875,50.46875,12.260507,77300
2000-04-25,40.4375,40.5,39.8125,50.15625,12.184592,201600
2000-04-26,39.9375,40.0,39.5,49.375,11.994800999999999,136500
2000-04-27,39.625,39.8125,39.4375,49.53125,12.032759,188500
2000-04-28,39.75,39.75,39.3125,49.6875,12.070716000000001,142300
2000-05-01,40.0625,40.625,40.0625,50.78125,12.336428,125600
2000-05-02,40.875,42.9375,40.875,52.1875,12.678052000000001,335900
2000-05-03,40.875,41.75,40.8125,51.015625,12.604697999999999,161300
2000-05-04,40.6875,40.875,40.25,50.9375,12.585397,87400
2000-05-05,40.625,41.0,40.625,50.859375,12.566092999999999,72900
2000-05-08,40.5625,40.6875,40.0,50.625,12.508188,69900
2000-05-09,40.3125,40.875,40.25,50.78125,12.546789,102300
2000-05-10,40.625,40.6875,40.0625,50.3125,12.43098,94100
2000-05-11,40.1875,40.5625,40.1875,50.546875,12.488878,74100
2000-05-12,40.375,40.5,40.25,50.625,12.508188,55800
2000-05-15,40.75,40.75,40.125,50.46875,12.46958,42500
2000-05-16,40.125,40.75,40.0625,50.625,12.508188,88100
2000-05-17,40.5,40.625,40.1875,50.234375,12.411667,67700
2000-05-18,40.1875,40.4375,39.8125,50.3125,12.43098,105400
2000-05-19,40.25,40.375,40.0625,50.46875,12.46958,69800
2000-05-22,40.625,40.75,40.3125,50.625,12.508188,128400
2000-05-23,40.375,41.0,40.25,51.25,12.662604,144600
2000-05-24,40.875,40.875,40.375,50.859375,12.566092999999999,111000
2000-05-25,41.25,41.25,40.3125,51.25,12.662604,263200
2000-05-26,41.0,41.0,40.0,50.3125,12.43098,38300
2000-05-30,40.375,41.0,40.0625,50.078125,12.373063,84200
2000-05-31,40.125,40.125,39.625,50.078125,12.373063,100800
2000-06-01,40.0625,40.625,40.0625,50.78125,12.546789,118000
2000-06-02,40.875,41.0,40.5937,50.742126,12.537125,56500
2000-06-05,40.375,40.75,40.25,50.585876,12.498517,97600
2000-06-06,41.0,41.25,40.8125,51.445251,12.71085,109600
2000-06-07,41.1875,41.625,41.0625,51.914001,12.826664,47200
2000-06-08,41.625,41.875,40.8125,52.148376,12.884575,69300
2000-06-09,41.875,42.0,41.75,52.226501,12.903875,81000
2000-06-12,42.0,42.0,41.6875,52.304626,12.923181,94800
2000-06-13,42.0625,42.25,41.8125,52.539001,12.981083,120400
2000-06-14,42.4375,42.75,42.0,53.007751,13.096907,260400
2000-06-15,42.3125,43.125,42.3125,53.398376,13.193416000000001,233600
2000-06-16,42.75,42.75,41.75,52.460876,12.961787,73600
2000-06-19,42.0,42.25,41.75,52.695251,13.019698,66400
2000-06-20,42.3125,43.375,42.25,54.179626,13.386446,137300
2000-06-21,43.5,43.5625,42.9375,54.257751,13.405747,69600
2000-06-22,43.5,43.8125,43.3125,54.257751,13.405747,230000
2000-06-23,43.25,43.3125,43.0,54.023376,13.347839000000002,52500
2000-06-26,43.3125,43.3125,42.3125,53.359375,13.183779000000001,129200
2000-06-27,42.75,43.75,42.6875,54.53125,13.473320000000001,177400
2000-06-28,43.625,44.0625,43.5,55.0,13.589141,252300
2000-06-29,44.0,44.6875,43.875,55.78125,13.782164000000002,124200
2000-06-30,44.6875,45.25,43.25,54.453125,13.454021,316200
2000-07-03,43.6875,44.125,43.6875,55.078125,13.608444,49400
2000-07-05,44.75,44.75,44.25,55.3125,13.666348000000001,304200
2000-07-06,44.25,44.9375,43.8125,56.09375,13.859380999999999,615800
2000-07-07,45.0,45.75,45.0,57.03125,14.091007000000001,506100
2000-07-10,45.375,46.0,45.125,56.796875,14.0331,204800
2000-07-11,45.4375,46.0625,45.3125,57.03125,14.091007000000001,340100
2000-07-12,45.625,45.9375,45.25,56.796875,14.0331,149800
2000-07-13,45.5625,45.875,45.375,56.953125,14.071708,81700
2000-07-14,45.5,45.5625,45.375,56.875,14.052406,74700
2000-07-17,45.25,45.6875,45.25,56.953125,14.071708,48900
2000-07-18,45.625,45.625,45.5,56.953125,14.071708,168300
2000-07-19,45.5625,45.5625,45.4375,56.875,14.052406,59100
2000-07-20,45.5,46.0625,45.5,57.5,14.20682,134900
2000-07-21,45.875,46.1875,45.75,57.734375,14.264738000000001,127900
2000-07-24,46.0625,46.75,46.0625,58.203125,14.380552999999999,127800
2000-07-25,46.5,47.0,46.125,58.554626,14.467397,335600
2000-07-26,46.875,49.375,46.875,59.960876,14.814848000000001,1161800
2000-07-27,47.75,48.8125,47.75,60.78125,15.017545000000002,446000
2000-07-28,48.625,48.625,48.25,60.429626,14.930670000000001,169700
2000-07-31,48.125,48.4375,48.125,60.46875,14.940332999999999,90800
2000-08-01,48.375,48.375,47.9375,60.078125,14.843820000000001,202800
2000-08-02,47.5,47.8125,47.0,58.90625,14.769385,159700
2000-08-03,47.25,47.25,46.625,58.515625,14.671451999999999,104100
2000-08-04,46.8125,47.0,46.125,57.96875,14.534328,173900
2000-08-07,46.125,46.5,46.0625,57.890625,14.514741,99400
2000-08-08,46.375,46.5625,46.25,57.890625,14.514741,88200
2000-08-09,46.3125,46.3125,45.75,57.578125,14.436384,112900
2000-08-10,46.0625,46.3125,45.75,57.695251,14.465755999999999,168400
2000-08-11,46.0,46.5625,45.875,57.773376,14.485339999999999,65100
2000-08-14,46.4375,47.1875,46.3125,58.242126,14.602873,34100
2000-08-15,46.8125,46.875,46.375,58.203125,14.593091000000001,252400
2000-08-16,46.625,46.8125,46.5625,58.515625,14.671451999999999,109000
2000-08-17,46.5625,46.6875,46.5625,58.28125,14.612679,140000
2000-08-18,46.5,46.625,46.3125,57.96875,14.534328,81000
2000-08-21,46.4375,46.5625,45.9375,57.539001,14.426579,63400
2000-08-22,45.8125,46.25,45.8125,57.5,14.4168,58600
2000-08-23,45.8125,46.0625,45.75,57.1875,14.338448999999999,136400
2000-08-24,45.875,46.0625,45.8125,57.265625,14.358035999999998,221400
2000-08-25,45.8125,45.8125,45.0625,56.484375,14.162151999999999,2038700
2000-08-28,45.375,45.5,45.0,56.40625,14.142566,55200
2000-08-29,45.0,45.125,44.0,55.234375,13.848742000000001,102000
2000-08-30,44.4375,45.0,44.375,55.9375,14.025032000000001,75200
2000-08-31,45.0,45.0312,44.8437,56.054626,14.0544,191900
2000-09-01,45.0,45.0,44.5625,56.171875,14.083803,146200
2000-09-05,44.75,45.1875,44.5,56.25,14.103388,87300
2000-09-06,44.875,45.125,44.5625,56.171875,14.083803,120900
2000-09-07,44.8125,45.375,44.8125,56.640625,14.201329999999999,448100
2000-09-08,45.0625,46.625,45.0625,57.8125,14.495151000000002,117500
