Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,8.875,9.0,8.75,35.0,8.318839,900400
2000-01-04,8.796875,8.84375,8.625,34.5625,8.214853,892000
2000-01-05,8.703125,8.75,8.515625,34.75,8.259418,1016800
2000-01-06,8.6875,8.765625,8.53125,34.7812,8.266834,1045200
2000-01-07,8.765625,9.078125,8.6875,36.0625,8.571375999999999,1304800
2000-01-10,9.078125,9.21875,8.8125,35.4375,8.422825999999999,1474800
2000-01-11,8.96875,9.109375,8.859375,35.4375,8.422825999999999,1962800
2000-01-12,8.921875,9.0,8.59375,34.4375,8.185143,1040400
2000-01-13,8.515625,8.703125,8.46875,34.375,8.170289,1389600
2000-01-14,8.625,8.703125,8.5,34.1875,8.125726,1209200
2000-01-18,8.578125,8.609375,8.53125,34.125,8.110866999999999,765600
2000-01-19,8.515625,8.5625,8.3125,33.3125,7.917753,941200
2000-01-20,8.34375,8.421875,8.078125,32.5,7.724636,1241600
2000-01-21,8.0,8.140625,7.796875,31.8125,7.561230999999999,1471600
2000-01-24,7.96875,8.0,7.53125,30.125,7.160144,1567200
2000-01-25,7.59375,7.734375,7.578125,30.5,7.249274000000001,938000
2000-01-26,7.625,8.1875,7.578125,32.25,7.665216,1780000
2000-01-27,8.09375,8.09375,7.9375,31.875,7.576086,959200
2000-01-28,8.015625,8.21875,8.0,32.625,7.754345,824000
2000-01-31,8.125,8.171875,7.96875,31.875,7.576086,1047200
2000-02-01,7.46875,8.171875,7.375,31.75,7.546375,3467600
2000-02-02,7.90625,8.03125,7.734375,31.8125,7.561230999999999,1629600
2000-02-03,7.84375,7.890625,7.71875,31.125,7.397825,1693200
2000-02-04,7.765625,7.796875,7.671875,30.6875,7.293839,942400
2000-02-07,7.609375,7.75,7.546875,30.375,7.219564,1138800
2000-02-08,7.59375,7.59375,7.453125,30.0625,7.145288000000001,1420400
2000-02-09,7.5,7.5,7.390625,29.5625,7.026449,782800
2000-02-10,7.484375,7.546875,7.296875,29.8125,7.085869000000001,1642800
2000-02-11,7.40625,7.453125,7.296875,29.1875,6.937317999999999,482400
