Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,32.0,32.0,31.0,62.25,21.746874,2434800
2000-01-04,30.625,30.96875,30.25,60.625,21.179188,2358400
2000-01-05,30.375,30.625,28.875,58.5625,20.458652,3169400
2000-01-06,29.0,30.0,28.9375,58.4375,20.414989000000002,5802200
2000-01-07,29.5625,31.15625,29.0,61.9375,21.637705,5570200
2000-01-10,31.75,31.8125,30.875,63.625,22.227226,3049600
2000-01-11,31.5,32.40625,31.46875,63.9375,22.336397,3850800
2000-01-12,31.625,32.21875,31.40625,64.375,22.489227,2332600
2000-01-13,32.0625,32.84375,31.90625,64.8125,22.642078,2643000
2000-01-14,33.0,33.375,31.03125,63.3125,22.118057,4695800
2000-01-18,31.53125,31.8125,31.03125,63.0,22.008888,2902000
2000-01-19,31.5,31.625,30.5625,61.5,21.484863,2470200
2000-01-20,30.6875,31.875,30.25,61.9375,21.637705,3082000
2000-01-21,31.625,31.625,30.1875,61.3125,21.419365,3642200
2000-01-24,31.375,31.5,30.25,60.6875,21.255795000000003,3024800
2000-01-25,30.875,30.90625,29.625,59.625,20.883656,1929000
2000-01-26,29.875,30.3125,29.46875,60.1875,21.080667000000002,1368000
2000-01-27,29.875,30.65625,29.875,60.3125,21.124456,2075200
2000-01-28,30.28125,30.5625,29.25,59.5,20.839869,3138400
2000-01-31,29.375,29.84375,29.25,59.25,20.75231,3411800
2000-02-01,29.625,30.09375,29.21875,59.625,20.883656,3090800
2000-02-02,30.25,30.8125,29.875,61.3125,21.474701,3010400
2000-02-03,30.5,30.875,29.1875,60.0,21.014994,4268600
2000-02-04,29.75,29.78125,27.5,56.25,19.701567,6497800
2000-02-07,28.125,28.40625,26.78125,56.375,19.745344,5906200
2000-02-08,28.1875,29.6875,28.1875,58.6875,20.555296,5455600
2000-02-09,29.875,29.875,28.75,58.1875,20.380164999999998,4435400
2000-02-10,29.125,29.25,28.6875,57.5,20.13938,2444400
2000-02-11,28.8125,28.8125,27.8125,55.875,19.570215,3301200
2000-02-14,27.96875,27.96875,26.5,54.0,18.913496,3962000
2000-02-15,27.375,27.90625,26.90625,55.6875,19.504542999999998,4309200
2000-02-16,27.9375,28.375,27.5625,55.375,19.39509,3066000
2000-02-17,27.8125,28.0,26.75,53.9375,18.891609,2682200
2000-02-18,26.25,27.4375,26.0,53.0625,18.58514,4189600
2000-02-22,26.53125,26.96875,25.34375,52.375,18.344343,3111000
2000-02-23,25.9375,25.96875,25.46875,51.375,17.994099,3062800
2000-02-24,25.375,25.8125,23.9375,49.0625,17.184141,4953400
2000-02-25,24.59375,24.875,24.0,48.25,16.899559,5931200
2000-02-28,24.4375,25.65625,24.0,51.0,17.862759,5317400
2000-02-29,25.625,26.75,25.3125,52.1875,18.278673,4971800
2000-03-01,26.125,26.8125,25.75,53.0,18.563246,3489600
2000-03-02,26.625,26.6875,26.25,52.625,18.431910000000002,3090400
2000-03-03,26.3125,27.5625,26.28125,54.875,19.219965,2866200
2000-03-06,27.5,27.5,26.3125,52.8125,18.49758,2239600
2000-03-07,23.0,24.875,22.875,46.75,16.374187,16743200
2000-03-08,23.5625,23.9375,21.1875,43.9375,15.389107999999998,15871800
2000-03-09,21.875,22.1875,21.5,44.0,15.410994,5240400
2000-03-10,22.0,22.0,20.4375,42.75,14.973196,8014200
2000-03-13,20.25,22.09375,20.25,43.375,15.192096,5746000
