Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,2.25,2.3125,2.166667,6.875,2.291667,1027400
2000-01-04,2.25,2.270833,2.125,6.75,2.25,518400
2000-01-05,2.208333,2.208333,2.0625,6.1875,2.0625,1800000
2000-01-06,2.041667,2.0625,1.958333,6.0,2.0,2559600
2000-01-07,2.0,2.208333,1.979167,6.625,2.208333,2153000
2000-01-10,2.333333,2.354167,2.25,6.75,2.25,1212800
2000-01-11,2.229167,2.333333,2.208333,6.6875,2.229167,783000
2000-01-12,2.270833,2.333333,2.1875,6.625,2.208333,772200
2000-01-13,2.229167,2.3125,2.229167,6.9375,2.3125,1608200
2000-01-14,2.354167,2.541667,2.354167,7.1875,2.395833,2369600
2000-01-18,2.333333,2.5,2.270833,7.1875,2.395833,963200
2000-01-19,2.208333,2.208333,1.583333,4.875,1.625,10565600
2000-01-20,1.645833,1.791667,1.625,5.3125,1.770833,5778600
2000-01-21,1.791667,1.958333,1.770833,5.75,1.916667,6084600
2000-01-24,1.895833,1.916667,1.666667,5.0,1.666667,3576200
2000-01-25,1.708333,1.791667,1.645833,4.9375,1.645833,1853400
2000-01-26,1.666667,1.75,1.645833,4.9375,1.645833,1546200
2000-01-27,1.666667,1.666667,1.5625,4.75,1.583333,1993800
2000-01-28,1.583333,1.583333,1.520833,4.5625,1.520833,1328400
2000-01-31,1.541667,1.583333,1.5,4.625,1.541667,1049000
2000-02-01,1.583333,1.583333,1.520833,4.5625,1.520833,2383800
2000-02-02,1.541667,1.604167,1.541667,4.6875,1.5625,1445600
2000-02-03,1.5625,1.5625,1.479167,4.5625,1.520833,4986600
2000-02-04,1.5,1.520833,1.458333,4.375,1.458333,2919200
2000-02-07,1.458333,1.5,1.416667,4.375,1.458333,1455600
2000-02-08,1.479167,1.5,1.4375,4.375,1.458333,873000
2000-02-09,1.458333,1.479167,1.395833,4.25,1.416667,1524800
2000-02-10,1.416667,1.4375,1.270833,4.0,1.333333,1789800
2000-02-11,1.333333,1.395833,1.3125,4.0625,1.354167,2527200
2000-02-14,1.354167,1.395833,1.229167,3.75,1.25,2811000
2000-02-15,1.25,1.333333,1.25,3.875,1.291667,2350800
2000-02-16,1.3125,1.333333,1.291667,3.875,1.291667,1055400
2000-02-17,1.3125,1.333333,1.291667,3.9375,1.3125,2709000
2000-02-18,1.270833,1.3125,1.270833,3.8125,1.270833,1063400
2000-02-22,1.270833,1.3125,1.25,3.8125,1.270833,988200
2000-02-23,1.3125,1.333333,1.291667,3.875,1.291667,888600
2000-02-24,1.3125,1.3125,1.25,3.875,1.291667,910400
2000-02-25,1.3125,1.3125,1.166667,3.5,1.166667,2386800
2000-02-28,1.166667,1.166667,0.916667,3.125,1.041667,4963800
2000-02-29,1.083333,1.125,0.958333,3.0,1.0,2095200
2000-03-01,1.0,1.041667,0.958333,2.875,0.958333,2486400
2000-03-02,0.833333,1.041667,0.6875,3.125,1.041667,12602400
2000-03-03,1.0625,1.083333,0.958333,3.0,1.0,2180600
2000-03-06,1.083333,1.25,1.083333,3.5,1.166667,2396600
2000-03-07,1.166667,1.208333,1.145833,3.5,1.166667,1963400
2000-03-08,1.166667,1.1875,1.104167,3.4375,1.145833,1114400
2000-03-09,1.125,1.25,1.0625,3.3125,1.104167,2439000
2000-03-10,1.104167,1.104167,1.020833,3.125,1.041667,759200
2000-03-13,1.020833,1.0625,0.9375,2.875,0.958333,1875200
2000-03-14,0.979167,1.0,0.979167,3.0,1.0,1673400
2000-03-15,1.0,1.0,0.8125,2.6875,0.895833,5955800
2000-03-16,0.895833,0.958333,0.875,2.875,0.958333,1356600
