Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,8.625,8.640625,8.140625,33.5625,6.299295,938400
2000-01-04,8.359375,8.828125,8.359375,34.6875,6.510444000000001,1219600
2000-01-05,8.75,8.921875,8.71875,35.6875,6.698131,1157600
2000-01-06,8.890625,9.125,8.84375,36.125,6.780246000000001,744800
2000-01-07,9.03125,9.265625,9.03125,36.6875,6.885822,261600
2000-01-10,9.1875,9.234375,8.90625,35.625,6.686405000000001,238800
2000-01-11,8.875,9.0,8.796875,35.1875,6.604288,237600
2000-01-12,8.78125,8.8125,8.71875,35.125,6.592556,148000
2000-01-13,8.765625,8.90625,8.6875,35.5625,6.674671000000001,604800
2000-01-14,8.859375,8.90625,8.765625,35.4375,6.651211,347600
2000-01-18,8.890625,8.921875,8.84375,35.625,6.686405000000001,147600
2000-01-19,8.90625,8.9375,8.75,35.75,6.709864,311200
2000-01-20,8.9375,8.9375,8.78125,35.5,6.662941,364000
2000-01-21,8.859375,9.125,8.859375,36.25,6.803707000000001,538800
2000-01-24,9.125,9.15625,8.890625,35.8125,6.7215940000000005,203200
2000-01-25,8.9375,9.0,8.625,34.625,6.4987129999999995,251200
2000-01-26,8.703125,8.796875,8.6875,35.1875,6.604288,305200
2000-01-27,8.765625,8.796875,8.703125,35.0,6.569095,237600
2000-01-28,8.71875,8.8125,8.6875,35.125,6.592556,323200
2000-01-31,8.8125,8.84375,8.625,34.5,6.475251999999999,256400
2000-02-01,8.578125,8.640625,8.5,34.5625,6.486979,200000
2000-02-02,8.59375,8.796875,8.59375,34.875,6.5456330000000005,307600
2000-02-03,8.6875,8.84375,8.6875,34.875,6.5456330000000005,183600
2000-02-04,8.734375,8.765625,8.515625,34.375,6.45179,144800
2000-02-07,8.609375,8.65625,8.4375,33.875,6.357947,103600
2000-02-08,8.46875,8.484375,8.34375,33.5625,6.299295,161200
2000-02-09,8.34375,8.390625,8.1875,32.9375,6.236809,392400
2000-02-10,8.296875,8.578125,8.21875,34.125,6.461665,272400
2000-02-11,8.484375,8.5625,8.234375,32.9375,6.236809,218400
2000-02-14,8.25,8.46875,8.0625,33.5625,6.355155,459600
2000-02-15,8.40625,8.671875,8.40625,34.5,6.5326699999999995,145600
2000-02-16,8.5625,8.6875,8.453125,34.5625,6.544505,349200
2000-02-17,8.59375,8.9375,8.59375,35.6875,6.757528999999999,475600
2000-02-18,8.921875,8.921875,8.6875,34.9375,6.615514,227600
2000-02-22,8.75,8.796875,8.5,34.5,6.5326699999999995,334400
2000-02-23,8.59375,8.59375,8.5,34.125,6.461665,342000
2000-02-24,8.515625,8.75,8.515625,34.625,6.556342,230000
2000-02-25,8.65625,8.671875,8.375,33.6875,6.378821,188000
2000-02-28,8.421875,8.71875,8.296875,34.5625,6.544505,241600
2000-02-29,9.0625,9.46875,9.0625,37.75,7.148066,842800
2000-03-01,9.453125,9.625,8.953125,36.3125,6.8758740000000005,1048800
2000-03-02,9.046875,9.3125,9.046875,37.1875,7.0415589999999995,372400
2000-03-03,9.265625,9.453125,9.265625,37.5,7.100731,316400
2000-03-06,9.34375,9.359375,9.265625,37.375,7.07706,170400
2000-03-07,9.3125,9.5625,9.3125,38.125,7.219075,226000
2000-03-08,9.546875,9.6875,9.546875,38.75,7.337419000000001,309600
2000-03-09,9.6875,9.90625,9.671875,39.625,7.503106,330000
2000-03-10,9.90625,10.1875,9.90625,40.375,7.6451199999999995,421200
2000-03-13,10.125,10.125,10.015625,40.125,7.597783,316400
2000-03-14,10.0,10.03125,9.90625,39.6875,7.514939,426400
2000-03-15,9.875,9.9375,9.625,39.0625,7.396592,221200
2000-03-16,9.796875,10.109375,9.78125,40.1875,7.609615,740000
2000-03-17,9.859375,9.953125,9.8125,39.3125,7.443931,420800
2000-03-20,9.890625,10.40625,9.875,41.4375,7.846305,422400
2000-03-21,10.296875,10.3125,10.1875,40.875,7.739793,268800
2000-03-22,10.34375,10.34375,10.0625,40.5,7.668786999999999,538800
2000-03-23,10.1875,10.40625,10.171875,41.0625,7.775299,467200
2000-03-24,10.375,10.59375,10.34375,41.875,7.929146,408800
2000-03-27,10.4375,10.5625,10.34375,41.4375,7.846305,234800
2000-03-28,10.34375,10.53125,10.34375,41.75,7.905480000000001,324000
2000-03-29,10.453125,11.0,10.4375,43.6875,8.272348,403600
2000-03-30,10.921875,11.5,10.875,45.4375,8.60372,1212400
2000-03-31,11.359375,11.359375,11.0625,44.8125,8.485371,743200
2000-04-03,11.203125,11.34375,11.0,44.125,8.355192,508800
2000-04-04,11.046875,11.21875,10.921875,44.125,8.355192,692400
2000-04-05,11.03125,11.03125,10.90625,43.9375,8.31969,254800
2000-04-06,10.96875,11.25,10.96875,44.625,8.449871,433600
2000-04-07,11.203125,11.234375,11.078125,44.9375,8.509044,228400
2000-04-10,11.25,11.359375,11.15625,44.625,8.449871,793200
2000-04-11,11.125,11.125,10.8125,43.5625,8.248683999999999,250000
2000-04-12,10.9375,11.15625,10.84375,44.3125,8.390696,432800
2000-04-13,11.046875,11.296875,11.046875,44.625,8.449871,296000
2000-04-14,11.15625,11.25,11.0,44.375,8.402529,306000
2000-04-17,11.046875,11.09375,10.40625,44.375,8.402529,584400
2000-04-18,11.0625,11.8125,11.0625,45.6875,8.651055,932400
2000-04-19,11.375,11.734375,11.234375,45.75,8.662889,400000
2000-04-20,11.40625,11.46875,11.1875,45.5,8.615556,324000
2000-04-24,11.359375,11.375,11.15625,45.3125,8.580049,435200
2000-04-25,11.296875,11.46875,11.234375,45.75,8.662889,602800
2000-04-26,11.5,11.6875,11.5,46.75,8.852246000000001,380400
2000-04-27,11.640625,11.6875,11.5625,46.75,8.852246000000001,493200
2000-04-28,11.640625,11.671875,11.40625,46.375,8.781236,720000
2000-05-01,11.640625,11.90625,11.640625,46.8125,8.86408,266800
2000-05-02,11.75,11.921875,11.546875,46.1875,8.745735,355200
2000-05-03,11.515625,11.65625,11.515625,46.4375,8.793071000000001,428400
2000-05-04,11.65625,11.859375,11.5625,47.25,8.946918,576000
2000-05-05,11.84375,12.03125,11.84375,48.0625,9.100769999999999,296800
2000-05-08,12.078125,12.171875,11.9375,47.8125,9.053428,452000
2000-05-09,12.0,12.0,11.671875,46.6875,8.840405,808000
2000-05-10,11.59375,11.703125,11.59375,46.6875,8.896622,383600
2000-05-11,11.6875,12.0625,11.6875,48.25,9.194365,1252400
2000-05-12,12.0625,12.0625,11.84375,47.5,9.05145,213200
2000-05-15,11.84375,11.953125,11.78125,47.8125,9.110998,454800
2000-05-16,12.015625,12.28125,12.0,48.75,9.289645,278800
2000-05-17,12.203125,12.3125,12.125,48.875,9.313467999999999,326400
2000-05-18,12.25,12.3125,11.9375,47.9375,9.134819,328800
2000-05-19,12.0,12.0,11.875,47.9375,9.134819,203600
2000-05-22,11.921875,11.953125,11.796875,47.625,9.07527,745600
2000-05-23,11.890625,12.125,11.875,48.25,9.194365,466800
2000-05-24,12.0,12.171875,11.78125,48.625,9.265827999999999,461600
2000-05-25,12.15625,12.3125,12.0625,48.5625,9.253921,352800
2000-05-26,12.171875,12.453125,12.09375,49.8125,9.492111,290800
2000-05-30,12.46875,12.5625,12.328125,50.0,9.527846,274400
2000-05-31,12.59375,12.71875,12.4375,49.75,9.480202,305600
2000-06-01,12.484375,12.84375,12.484375,50.75,9.670755999999999,216800
2000-06-02,13.0,13.21875,12.640625,50.875,9.694578,950000
2000-06-05,12.640625,12.640625,12.078125,48.3125,9.206283,322400
2000-06-06,12.125,12.5625,12.125,49.9375,9.515933,326400
2000-06-07,12.484375,12.6875,12.4375,50.75,9.670755999999999,554000
2000-06-08,12.640625,12.734375,12.40625,50.1875,9.56357,374000
2000-06-09,12.546875,12.65625,12.46875,49.875,9.504022,821200
2000-06-12,12.46875,12.484375,12.1875,48.75,9.289645,431200
2000-06-13,12.25,12.375,11.984375,49.5,9.432564,486400
2000-06-14,12.328125,12.34375,12.140625,48.5625,9.253921,198000
2000-06-15,12.15625,12.40625,12.109375,49.0,9.337285000000001,296400
2000-06-16,12.203125,12.296875,12.0625,48.5625,9.253921,173600
2000-06-19,12.28125,12.34375,12.21875,49.375,9.408749,170000
2000-06-20,12.328125,12.40625,12.15625,49.4375,9.420655,436400
2000-06-21,12.40625,12.4375,12.25,49.0,9.337285000000001,182000
2000-06-22,12.203125,12.421875,12.1875,48.875,9.313467999999999,959600
2000-06-23,12.1875,12.296875,11.734375,47.75,9.099086999999999,280000
2000-06-26,12.0,12.0625,11.71875,47.0,8.956172,596800
2000-06-27,11.765625,11.765625,11.40625,45.625,8.694155,834800
2000-06-28,11.453125,12.09375,11.453125,48.375,9.218183999999999,930800
2000-06-29,12.15625,12.15625,11.890625,47.8125,9.110998,584800
2000-06-30,11.90625,12.171875,11.703125,48.265598,9.197343,2222800
2000-07-03,11.9375,12.09375,11.90625,48.125,9.170546,160800
2000-07-05,12.0625,12.0625,11.734375,47.0,8.956172,374400
2000-07-06,11.75,12.0625,11.75,47.625,9.07527,476800
