Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,20.5,20.6875,20.3125,10.34375,11.855622,276400
2000-01-04,20.5,20.875,20.375,10.34375,11.855622,291500
2000-01-05,20.5625,21.0,20.5625,10.40625,11.92726,284400
2000-01-06,20.5625,21.3125,20.5625,10.53125,12.070523,130000
2000-01-07,20.9375,21.25,20.8125,10.625,12.177984,85700
2000-01-10,21.125,21.3125,20.75,10.53125,12.070523,151400
2000-01-11,21.0625,21.125,21.0,10.5,12.034711999999999,299700
2000-01-12,21.0,21.125,20.9375,10.5625,12.106345,412000
2000-01-13,21.0625,21.125,20.625,10.46875,11.998897,547700
2000-01-14,20.9375,21.0,20.625,10.3125,11.819805,239400
2000-01-18,20.625,20.625,20.0,10.0625,11.533261,169600
2000-01-19,20.125,20.625,20.0625,10.0625,11.533261,302300
2000-01-20,20.3125,20.625,20.3125,10.3125,11.819805,211700
2000-01-21,20.625,20.625,20.375,10.28125,11.783986,158200
2000-01-24,20.375,20.4375,19.5625,9.875,11.318358,957100
2000-01-25,19.875,20.0,19.625,9.9375,11.389994,1354700
2000-01-26,20.125,20.3125,20.0,10.125,11.604898,618400
2000-01-27,20.25,20.625,20.25,10.28125,11.783986,407300
2000-01-28,20.5625,20.75,20.375,10.21875,11.712351,178200
2000-01-31,20.4375,20.5,20.0,10.25,11.748173,199600
2000-02-01,20.375,20.5,20.125,10.15625,11.640717,189800
2000-02-02,20.3125,20.6875,20.3125,10.15625,11.640717,652200
2000-02-03,20.25,20.5625,20.25,10.21875,11.712351,189400
2000-02-04,20.4375,20.5,20.125,10.09375,11.569086,124200
2000-02-07,20.0625,20.1875,20.0,10.09375,11.569086,256900
2000-02-08,20.0625,20.3125,20.0625,10.0625,11.533261,225400
2000-02-09,20.125,20.5,20.0625,10.125,11.604898,132400
2000-02-10,20.0625,20.25,19.875,9.9375,11.389994,163800
2000-02-11,20.0,20.0,19.1875,9.6875,11.103455,350900
2000-02-14,19.5,19.5625,19.3125,9.65625,11.067636,577800
2000-02-15,19.3125,19.4375,19.1875,9.59375,10.995999000000001,489100
2000-02-16,19.1875,19.25,18.5,9.46875,10.852729,1361000
2000-02-17,19.0,19.4375,18.75,9.59375,10.995999000000001,266900
2000-02-18,19.0,19.0625,18.875,9.46875,10.852729,254000
2000-02-22,18.9375,19.0,18.4375,9.21875,10.566193,246300
2000-02-23,18.4375,18.75,18.4375,9.375,10.745281,253000
2000-02-24,18.625,18.6875,18.0,9.15625,10.494555,321200
2000-02-25,18.1875,18.375,18.125,9.125,10.458736,341300
2000-02-28,18.25,18.875,18.1875,9.40625,10.781095,342600
2000-02-29,18.75,18.8125,18.5,9.40625,10.781095,280800
2000-03-01,18.8125,19.3125,18.625,9.59375,10.995999000000001,736600
2000-03-02,19.125,19.5,19.125,9.6875,11.161631,1770700
2000-03-03,19.375,19.5,19.0,9.75,11.233635000000001,245200
2000-03-06,19.75,19.75,18.8125,9.59375,11.05361,215600
2000-03-07,19.1875,19.5625,19.125,9.75,11.233635000000001,239900
2000-03-08,19.4375,19.75,19.375,9.8125,11.305649,211800
