Date,Open,High,Low,Close,Adj Close,Volume
2000-03-27,3.8125,4.15625,3.8125,16.5,4.125,3675600
2000-03-28,4.125,4.125,4.0,16.0625,4.015625,1077600
2000-03-29,4.0,4.03125,3.953125,16.0,4.0,437200
2000-03-30,4.0,4.0,3.84375,15.375,3.84375,1883600
2000-03-31,3.734375,3.734375,3.390625,13.5625,3.390625,7931600
2000-04-03,3.5,3.703125,3.4375,13.75,3.4375,11486800
2000-04-04,3.53125,3.578125,3.09375,14.0,3.5,13136800
2000-04-05,3.46875,3.5625,3.453125,13.9375,3.484375,6349600
2000-04-06,3.5,3.59375,3.46875,14.3125,3.578125,7181200
2000-04-07,3.59375,3.8125,3.59375,14.4375,3.609375,13904800
2000-04-10,3.6875,3.75,3.625,14.5625,3.640625,5280800
2000-04-11,3.578125,3.65625,3.5625,14.3125,3.578125,6590000
2000-04-12,3.546875,3.640625,3.53125,14.3125,3.578125,8546400
2000-04-13,3.578125,3.65625,3.578125,14.4531,3.613275,6874400
2000-04-14,3.609375,3.625,3.53125,14.4375,3.609375,2626000
2000-04-17,3.578125,3.609375,3.515625,14.25,3.5625,2992000
2000-04-18,3.609375,3.625,3.484375,14.0625,3.515625,2896000
2000-04-19,3.5625,3.65625,3.5625,14.375,3.59375,4662400
2000-04-20,3.578125,3.6875,3.5625,14.625,3.65625,4558800
2000-04-24,3.59375,3.65625,3.53125,14.25,3.5625,3815200
2000-04-25,3.578125,3.78125,3.46875,15.0625,3.765625,4635600
2000-04-26,3.78125,4.125,3.75,15.3125,3.828125,5321200
2000-04-27,3.765625,3.765625,3.640625,14.8125,3.703125,4085200
2000-04-28,3.6875,3.75,3.625,15.0,3.75,3539200
2000-05-01,3.75,3.75,3.609375,14.75,3.6875,4310000
2000-05-02,3.65625,3.6875,3.609375,14.5625,3.640625,2684400
2000-05-03,3.546875,3.640625,3.515625,14.25,3.5625,4164400
2000-05-04,3.59375,3.6875,3.5625,14.75,3.6875,3610400
2000-05-05,3.71875,3.84375,3.71875,15.125,3.78125,1710800
2000-05-08,3.84375,3.90625,3.796875,15.25,3.8125,1435600
2000-05-09,3.859375,3.875,3.75,15.0,3.75,1343600
2000-05-10,3.75,3.84375,3.71875,15.1875,3.796875,775200
2000-05-11,3.796875,3.875,3.6875,14.9375,3.734375,2287200
2000-05-12,3.734375,3.921875,3.734375,15.6875,3.921875,768400
2000-05-15,3.875,4.21875,3.875,16.375,4.09375,1328400
2000-05-16,4.125,4.234375,4.078125,16.5,4.125,1263600
2000-05-17,4.125,4.125,3.953125,16.0,4.0,2517200
2000-05-18,4.0,4.03125,3.859375,15.5625,3.890625,2078800
2000-05-19,3.890625,3.90625,3.828125,15.3125,3.828125,630400
2000-05-22,3.859375,3.921875,3.828125,15.5625,3.890625,629600
2000-05-23,3.875,4.0,3.875,15.625,3.90625,867200
2000-05-24,3.90625,4.1875,3.90625,16.4375,4.109375,2265600
2000-05-25,4.078125,4.40625,4.078125,17.3125,4.328125,3015200
2000-05-26,4.359375,4.53125,4.328125,18.0,4.5,2294000
2000-05-30,4.5,4.953125,4.5,19.75,4.9375,3808800
2000-05-31,4.9375,5.15625,4.9375,20.3125,5.078125,3260000
2000-06-01,5.015625,5.0625,4.84375,19.875,4.96875,1439200
2000-06-02,4.96875,5.03125,4.640625,19.1875,4.796875,1328000
2000-06-05,4.734375,4.734375,4.515625,18.125,4.53125,2012800
2000-06-06,4.5625,4.5625,4.203125,17.125,4.28125,3908800
2000-06-07,4.375,4.65625,4.375,18.5,4.625,2362400
2000-06-08,4.5625,4.625,4.546875,18.5,4.625,1389600
2000-06-09,4.59375,4.75,4.578125,18.5,4.625,1259200
2000-06-12,4.65625,4.734375,4.59375,18.625,4.65625,828800
2000-06-13,4.625,4.640625,4.546875,18.375,4.59375,917200
2000-06-14,4.65625,4.65625,4.546875,18.4375,4.609375,1511600
2000-06-15,4.609375,4.65625,4.578125,18.3125,4.578125,719200
2000-06-16,4.59375,4.609375,4.46875,18.0,4.5,1062000
2000-06-19,4.390625,4.59375,4.375,18.125,4.53125,1400800
2000-06-20,4.5,4.515625,4.40625,17.8125,4.453125,1800000
2000-06-21,4.484375,4.75,4.453125,19.0,4.75,1013600
2000-06-22,4.6875,5.15625,4.578125,19.4375,4.859375,1576000
2000-06-23,4.890625,5.078125,4.890625,19.875,4.96875,3058400
2000-06-26,5.0,5.0625,4.8125,19.875,4.96875,2096400
2000-06-27,4.96875,5.0078,4.6875,19.125,4.78125,2303200
2000-06-28,4.6875,5.125,4.53125,20.4375,5.109375,1966800
2000-06-29,5.140625,5.25,5.0625,20.25,5.0625,1450400
2000-06-30,5.078125,5.125,4.621075,18.5156,4.6289,3830800
2000-07-03,4.71875,5.1875,4.71875,20.5625,5.140625,1035200
2000-07-05,5.140625,5.1875,4.90625,19.6875,4.921875,665600
2000-07-06,4.953125,5.109375,4.953125,20.25,5.0625,660000
2000-07-07,5.125,5.15625,5.0,20.5,5.125,1048400
2000-07-10,5.140625,5.34375,5.140625,21.25,5.3125,1723600
2000-07-11,5.359375,5.578125,5.34375,22.0,5.5,2323200
2000-07-12,5.5625,5.8125,5.453125,22.125,5.53125,1302400
2000-07-13,5.5,5.9375,5.5,23.25,5.8125,2296400
2000-07-14,5.875,5.890625,5.671875,22.9375,5.734375,1480400
