Date,Open,High,Low,Close,Adj Close,Volume
2011-09-16,11.9,12.93,11.0,12.7,12.1174,969900
2011-09-19,12.25,13.78,12.0,13.78,13.147855999999999,665400
2011-09-20,13.98,14.02,13.33,13.7,13.071525999999999,794800
2011-09-21,13.8,14.0,13.18,13.4,12.785289,619000
2011-09-22,13.09,13.25,12.4,13.2,12.594464,1230500
2011-09-23,13.4,13.4,12.02,12.25,11.688044,406200
2011-09-26,12.39,12.67,11.39,12.67,12.088778,181900
2011-09-27,12.75,14.34,12.75,13.37,12.756663,1788000
2011-09-28,13.29,13.7,12.75,12.85,12.260518,251700
2011-09-29,13.0,13.25,12.67,13.17,12.56584,222300
2011-09-30,13.03,13.25,12.06,12.4,11.831163,623100
2011-10-03,12.0,12.68,11.75,12.3,11.735750999999999,23632200
2011-10-04,12.19,13.25,11.05,12.3,11.735750999999999,6068200
2011-10-05,11.55,12.3,11.26,12.2,11.640336999999999,1983000
2011-10-06,11.9,12.98,11.9,12.76,12.174647,3333600
2011-10-07,12.59,13.0,12.27,12.35,11.783458,2049900
2011-10-10,12.35,12.44,11.99,12.37,11.802538,1922500
2011-10-11,11.5,12.76,11.48,12.48,11.907494,3015200
2011-10-12,12.46,12.8,12.38,12.6,12.021989,3255100
2011-10-13,12.4,12.77,12.15,12.62,12.041072,3575300
2011-10-14,12.62,13.07,12.38,13.01,12.413179,1658700
2011-10-17,13.03,13.73,13.0,13.72,13.090608999999999,1767600
2011-10-18,13.8,15.25,13.78,14.48,13.815744,5257400
2011-10-19,14.33,15.25,14.33,15.06,14.369138000000001,3400100
2011-10-20,14.91,15.24,14.68,14.93,14.245103,1252900
2011-10-21,15.11,15.49,14.78,14.95,14.264184,1741300
2011-10-24,14.92,16.4,14.92,15.8,15.075191,2008800
2011-10-25,15.74,15.83,14.75,14.78,14.101982000000001,2284900
2011-10-26,14.71,15.33,14.51,14.88,14.197393,856900
2011-10-27,14.98,15.9,14.97,15.42,14.712625,1130900
2011-10-28,15.27,15.33,14.76,14.92,14.235560000000001,1000700
2011-10-31,14.7,15.26,14.46,14.53,13.863451999999999,1162200
2011-11-01,14.26,14.91,14.11,14.67,13.997027,1174900
2011-11-02,14.8,15.5,14.62,15.07,14.378678,1289200
2011-11-03,15.42,15.5,14.5,15.0,14.311893,2279900
2011-11-04,14.77,15.06,14.72,15.0,14.311893,611700
2011-11-07,14.88,14.98,14.66,14.79,14.111526000000001,1102000
2011-11-08,14.83,15.53,14.8,15.09,14.397764000000002,708800
2011-11-09,14.87,15.15,14.8,14.9,14.216475,1301400
2011-11-10,14.91,15.81,14.85,15.7,14.979778,801700
2011-11-11,15.88,16.0,15.12,15.25,14.550423,476900
2011-11-14,15.11,15.49,14.92,15.03,14.340513,325900
2011-11-15,14.94,15.72,14.8,15.49,14.77941,569400
2011-11-16,15.31,15.47,14.95,15.04,14.350056,703200
2011-11-17,14.95,15.62,14.88,15.53,14.817576999999998,699100
2011-11-18,15.64,15.69,15.38,15.51,14.798492999999999,449500
2011-11-21,15.25,15.35,14.98,15.26,14.559965,706800
2011-11-22,15.15,15.44,15.15,15.37,14.664916,428700
2011-11-23,15.23,15.44,15.0,15.31,14.60767,501200
2011-11-25,15.2,15.5,15.15,15.45,14.741248,96000
2011-11-28,15.81,16.0,15.49,15.97,15.237391,507600
