Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,10.53125,10.71875,10.375,21.1875,6.8627,1455000
2000-01-04,10.46875,10.5,9.96875,20.0,6.478065,1618200
2000-01-05,10.03125,10.40625,10.03125,20.75,6.720992,1535600
2000-01-06,10.375,10.46875,9.90625,20.125,6.518554,2296600
2000-01-07,9.9375,10.25,9.65625,19.625,6.356599,2253000
2000-01-10,10.125,10.125,9.84375,19.75,6.397086,1169200
2000-01-11,9.84375,10.0,9.78125,19.875,6.437575,845400
2000-01-12,9.875,9.90625,9.5625,19.5625,6.336355999999999,1784000
2000-01-13,9.75,9.9375,9.6875,19.4375,6.2958680000000005,1897600
2000-01-14,9.65625,9.71875,9.375,19.0,6.154161,1986800
2000-01-18,9.5625,9.75,9.34375,19.5,6.316111,1356000
2000-01-19,9.75,10.0,9.6875,20.0,6.478065,1086000
2000-01-20,10.0,10.0,9.53125,19.0625,6.174402,1130400
2000-01-21,9.625,9.625,9.1875,18.375,5.951719000000001,1141000
2000-01-24,9.25,9.25,8.75,17.875,5.789769000000001,711400
2000-01-25,8.875,8.90625,8.5,17.625,5.708793,592200
2000-01-26,8.75,8.75,8.15625,16.6875,5.405135,877400
2000-01-27,8.40625,8.90625,8.375,17.8125,5.769526,1056800
2000-01-28,8.75,9.125,8.5625,17.4375,5.648063,1770800
2000-01-31,8.65625,8.84375,8.65625,17.4375,5.648063,859400
2000-02-01,8.59375,8.90625,8.59375,17.4375,5.648063,735600
2000-02-02,8.71875,8.875,8.6875,17.4375,5.648063,1475200
2000-02-03,8.6875,8.8125,8.65625,17.5,5.668303,1541000
2000-02-04,9.0,9.375,9.0,18.5625,6.012452,1479400
2000-02-07,9.4375,9.46875,9.1875,18.375,5.951719000000001,1530800
2000-02-08,9.1875,9.21875,8.96875,18.0,5.830257,1079800
2000-02-09,9.0,9.15625,8.90625,17.9375,5.810013,1466600
2000-02-10,9.0,9.03125,8.875,17.8125,5.769526,1569000
2000-02-11,8.84375,9.09375,8.8125,18.1875,5.890987,1071400
2000-02-14,9.03125,9.25,9.03125,18.375,5.951719000000001,757800
2000-02-15,9.21875,9.34375,9.125,18.3125,5.931477,1684400
2000-02-16,9.125,9.1875,8.96875,18.0,5.830257,616600
2000-02-17,9.0,9.28125,8.9375,18.125,5.870744999999999,775800
2000-02-18,9.03125,9.1875,8.96875,18.0,5.830257,1126400
2000-02-22,8.9375,9.125,8.6875,17.75,5.7492790000000005,915400
2000-02-23,8.9375,8.9375,8.3125,16.6875,5.405135,771400
2000-02-24,8.34375,8.34375,7.46875,14.9375,4.838301,1482600
2000-02-25,7.4375,7.4375,7.0,14.0,4.534644999999999,1446400
2000-02-28,7.1875,7.40625,6.8125,13.75,4.453667,1726600
2000-02-29,6.90625,7.125,6.8125,13.75,4.453667,886400
2000-03-01,6.90625,7.125,6.625,14.0625,4.554887,1116600
2000-03-02,7.03125,7.03125,6.5,13.3125,4.31196,1086800
2000-03-03,6.65625,6.96875,6.5,13.6875,4.433425,1030400
2000-03-06,6.8125,6.9375,6.625,13.3125,4.31196,899400
2000-03-07,6.71875,6.96875,6.71875,13.9375,4.5144,925800
2000-03-08,6.8125,6.90625,6.65625,13.5625,4.392935,1219200
2000-03-09,6.71875,6.84375,6.53125,13.25,4.291717,636600
2000-03-10,6.84375,6.84375,6.53125,13.0625,4.230986,463200
2000-03-13,6.59375,6.65625,6.4375,12.9375,4.190497,453800
2000-03-14,6.40625,6.5,6.25,12.625,4.089276,569000
2000-03-15,6.3125,6.6875,6.3125,13.3125,4.31196,1225600
2000-03-16,6.625,7.0,6.625,13.75,4.453667,2312000
2000-03-17,6.90625,6.90625,6.53125,13.1875,4.271472,1215200
2000-03-20,6.78125,6.9375,6.71875,13.75,4.453667,638600
2000-03-21,6.9375,7.0,6.75,13.875,4.494155999999999,887200
2000-03-22,6.875,6.875,6.25,12.625,4.089276,983400
2000-03-23,6.34375,6.875,6.3125,13.75,4.453667,1081200
2000-03-24,6.8125,6.96875,6.71875,13.5625,4.392935,966200
2000-03-27,6.75,6.78125,6.5,13.5,4.372692,539200
2000-03-28,6.75,6.875,6.75,13.6875,4.433425,702800
2000-03-29,6.78125,6.8125,6.125,12.375,4.008301,1720800
2000-03-30,6.3125,6.40625,6.03125,12.1875,3.947568,1206200
2000-03-31,6.03125,6.34375,6.03125,12.0625,3.907083,1814400
2000-04-03,6.0,6.1875,5.9375,12.125,3.9273260000000003,741800
2000-04-04,6.03125,6.375,5.8125,12.0,3.8868370000000003,1477000
2000-04-05,5.9375,6.125,5.84375,12.25,3.9678139999999997,930200
2000-04-06,6.15625,6.28125,6.0,12.1875,3.947568,578200
2000-04-07,6.0,6.0,5.25,10.9375,3.5426900000000003,1485200
2000-04-10,5.53125,5.78125,5.5,11.5625,3.7451309999999998,1166400
2000-04-11,5.71875,5.8125,5.21875,10.6875,3.4617160000000005,1457600
2000-04-12,5.34375,5.71875,5.34375,11.125,3.6034230000000003,1471600
2000-04-13,5.5625,5.78125,5.53125,11.375,3.684397,1009400
2000-04-14,5.6875,5.75,5.375,10.9375,3.5426900000000003,805800
2000-04-17,5.46875,5.46875,5.15625,10.5625,3.4212269999999996,1440600
2000-04-18,5.03125,5.1875,5.0,10.0,3.239033,993400
2000-04-19,5.03125,5.1875,4.8125,10.375,3.360496,1879600
