Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,2.015625,2.15625,2.0,16.75,1.924204,105600
2000-01-04,2.015625,2.03125,1.929688,15.4375,1.773426,40000
2000-01-05,1.921875,2.03125,1.921875,16.25,1.8667650000000002,234400
2000-01-06,1.953125,2.015625,1.953125,16.125,1.8524049999999999,679200
2000-01-07,1.953125,2.125,1.953125,16.25,1.8667650000000002,284000
2000-01-10,2.0,2.09375,2.0,16.5,1.895484,106400
2000-01-11,2.09375,2.203125,2.0,16.75,1.924204,142400
2000-01-12,2.085938,2.164063,2.085938,17.25,1.981643,220000
2000-01-13,2.1289,2.28125,2.109375,18.0,2.067801,303200
2000-01-14,2.265625,2.265625,2.210938,17.8125,2.046261,43200
2000-01-18,2.226563,2.28125,2.226563,17.875,2.053441,145600
2000-01-19,2.242188,2.375,2.242188,18.4375,2.11806,222400
2000-01-20,2.296875,2.3125,2.234375,18.0,2.067801,729600
2000-01-21,2.234375,2.265625,2.21875,18.0,2.067801,106400
2000-01-24,2.25,2.28125,2.21875,18.0,2.067801,103200
2000-01-25,2.203125,2.25,2.1875,17.5,2.0103619999999998,50400
2000-01-26,2.175775,2.1875,2.109375,17.5,2.0103619999999998,56800
2000-01-27,2.125,2.21875,2.09375,16.75,1.924204,77600
2000-01-28,2.09375,2.328125,2.046875,18.5,2.1252400000000002,240000
2000-01-31,2.2460880000000003,2.375,2.234375,18.4375,2.11806,152000
2000-02-01,2.265625,2.273438,2.125,17.0,1.952923,155200
2000-02-02,2.125,2.273438,2.125,18.0,2.067801,46400
2000-02-03,2.25,2.328125,2.21875,18.625,2.139599,170400
2000-02-04,2.28125,2.28125,2.171875,17.375,1.996002,118400
2000-02-07,2.232413,2.234375,2.078125,17.125,1.9672830000000001,53600
2000-02-08,2.140625,2.1875,2.0625,17.5,2.0103619999999998,170400
2000-02-09,1.6875,1.875,1.671875,14.375,1.6513689999999999,2757600
2000-02-10,1.78515,1.90625,1.78125,15.1875,1.744707,959200
2000-02-11,1.902338,1.9375,1.828125,15.25,1.751887,970400
2000-02-14,1.867188,1.890625,1.796875,14.6875,1.687268,682400
2000-02-15,1.8125,1.835938,1.78125,14.25,1.637009,204800
2000-02-16,1.742188,1.75,1.695313,14.0,1.6082889999999999,2054400
2000-02-17,1.703125,1.75,1.703125,13.875,1.5939299999999998,357600
2000-02-18,1.726563,1.804688,1.71875,14.4375,1.658548,191200
2000-02-22,1.8125,1.890625,1.765625,14.75,1.694448,840800
2000-02-23,1.8125,1.890625,1.765625,14.625,1.680088,420800
2000-02-24,1.828125,1.96875,1.828125,15.75,1.8093259999999998,336800
2000-02-25,1.953125,1.960938,1.890625,15.375,1.7662470000000001,327200
2000-02-28,1.921875,1.953125,1.875,15.125,1.737527,117600
2000-02-29,1.9375,2.0,1.898438,15.875,1.8236849999999998,257600
2000-03-01,1.960938,2.40625,1.945313,17.75,2.039081,816800
2000-03-02,2.1875,2.25,2.125,17.5,2.0103619999999998,147200
2000-03-03,2.125,2.140625,2.0625,17.125,1.9672830000000001,152000
2000-03-06,1.625,1.625,1.125,10.0,1.148778,12396000
2000-03-07,1.25,1.265625,1.203125,9.625,1.105699,3324800
2000-03-08,1.234375,1.234375,1.09375,9.25,1.0626200000000001,1811200
2000-03-09,1.15625,1.171875,1.0859379999999998,9.0,1.0339,3557600
2000-03-10,1.15625,1.2265629999999998,1.1171879999999998,9.8125,1.1272389999999999,1449600
2000-03-13,1.2304629999999999,1.265625,1.1875,10.0,1.148778,1082400
2000-03-14,1.2304629999999999,1.2304629999999999,1.109375,9.4687,1.087744,1439200
2000-03-15,1.18945,1.1953129999999998,1.125,9.0,1.0339,548000
2000-03-16,1.144525,1.1875,1.125,9.25,1.0626200000000001,728800
2000-03-17,1.1523379999999999,1.1796879999999998,1.125,9.375,1.0769799999999998,370400
2000-03-20,1.1875,1.1875,1.109375,9.0,1.0339,1475200
2000-03-21,1.144525,1.144525,1.09375,9.0,1.0339,344000
2000-03-22,1.113275,1.1289,1.09375,8.8125,1.012361,285600
2000-03-23,1.109375,1.1484379999999998,1.1015629999999998,8.8125,1.012361,414400
2000-03-24,1.1015629999999998,1.234375,1.09375,9.0937,1.044665,245600
2000-03-27,1.21875,1.21875,1.09375,8.875,1.019541,632000
2000-03-28,1.125,1.171875,1.1015629999999998,9.0,1.0339,559200
2000-03-29,1.1953129999999998,1.1953129999999998,1.125,9.3593,1.0751760000000001,183200
2000-03-30,1.175775,1.175775,1.109375,8.875,1.019541,246400
2000-03-31,1.1328129999999998,1.21875,1.109375,9.1875,1.05544,442400
2000-04-03,1.1875,1.1875,1.109375,9.0,1.0339,200000
2000-04-04,1.125,1.1484379999999998,0.9375,8.3125,0.9549219999999999,1120000
2000-04-05,1.0664,1.09375,1.0,8.5,0.976462,386400
2000-04-06,1.078125,1.078125,1.0078129999999998,8.375,0.962102,1416800
2000-04-07,1.076162,1.125,1.0625,8.5,0.976462,176000
2000-04-10,1.091787,1.125,1.0625,8.5,0.976462,198400
2000-04-11,1.125,1.125,1.046875,8.625,0.990822,450400
2000-04-12,1.0898379999999999,1.1484379999999998,1.0625,8.625,0.990822,322400
2000-04-13,1.0859379999999998,1.09375,0.96875,8.0,0.9190229999999999,321600
2000-04-14,0.984375,1.0,0.921875,7.3906,0.849016,118400
2000-04-17,0.921875,1.015625,0.859375,7.5,0.861584,599200
2000-04-18,0.945313,0.9980379999999999,0.894525,7.5,0.861584,91200
2000-04-19,0.9492120000000001,0.96875,0.90625,7.625,0.875943,115200
2000-04-20,1.0,1.0078129999999998,0.9375,7.5625,0.868764,133600
2000-04-24,0.929688,1.0,0.90625,7.5,0.861584,396000
2000-04-25,0.929688,0.9375,0.875,7.0,0.804145,176800
2000-04-26,0.890625,0.960938,0.890625,7.5,0.861584,152800
2000-04-27,0.9375,0.992188,0.921875,7.375,0.847224,626400
2000-04-28,0.984375,0.984375,0.921875,7.375,0.847224,289600
2000-05-01,0.984375,1.046875,0.945313,8.375,0.962102,262400
2000-05-02,1.0625,1.2421879999999998,1.0234379999999998,9.125,1.04826,771200
2000-05-03,1.125,1.1875,1.113275,9.4375,1.084159,464800
2000-05-04,1.1875,1.2109379999999998,1.171875,9.5,1.0913389999999998,272800
2000-05-05,1.1875,1.203125,1.15625,9.5,1.0913389999999998,245600
2000-05-08,1.171875,1.234375,1.125,9.1875,1.05544,950400
2000-05-09,1.15625,1.25,1.140625,10.0,1.148778,467200
2000-05-10,1.21875,1.2265629999999998,1.140625,9.5,1.0913389999999998,313600
2000-05-11,1.2109379999999998,1.359375,1.2109379999999998,10.25,1.177498,932800
2000-05-12,1.28125,1.359375,1.2578129999999998,10.125,1.163138,668800
2000-05-15,1.25,1.2773379999999999,1.21875,10.0,1.148778,557600
2000-05-16,1.25,1.265625,1.125,9.25,1.0626200000000001,352800
2000-05-17,1.1875,1.203125,1.171875,9.375,1.0769799999999998,233600
2000-05-18,1.171875,1.1875,1.15625,9.25,1.0626200000000001,254400
2000-05-19,1.125,1.25,1.125,9.875,1.134419,510400
