Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,17.6875,17.75,17.03125,34.4375,10.607146,2078200
2000-01-04,17.03125,17.21875,16.78125,33.8125,10.414639,1546800
2000-01-05,16.59375,17.09375,16.59375,33.625,10.356889,2018800
2000-01-06,16.78125,17.0,16.46875,33.5625,10.422877,3292600
2000-01-07,17.21875,17.28125,16.75,33.625,10.442291,4529000
2000-01-10,16.8125,16.90625,16.4375,32.9375,10.228786,1466200
2000-01-11,16.5,16.78125,16.46875,33.375,10.364653,1852400
2000-01-12,16.625,16.96875,16.59375,33.3125,10.345238,2186800
2000-01-13,16.5,16.9375,16.4375,33.4375,10.384062,1377600
2000-01-14,16.46875,16.6875,16.21875,32.6875,10.151144,1515000
2000-01-18,16.0,16.625,15.90625,33.0,10.248191,1883200
2000-01-19,16.4375,16.65625,16.15625,32.6875,10.151144,2575400
2000-01-20,16.1875,16.34375,15.90625,32.125,9.976460000000001,1936600
2000-01-21,16.0625,16.125,15.65625,31.5,9.782364999999999,2287200
2000-01-24,15.75,16.0,15.5,31.1875,9.685316,1962800
2000-01-25,15.375,15.65625,15.09375,30.1875,9.374772,1157200
2000-01-26,15.71875,15.78125,15.28125,31.0,9.627091,1387600
2000-01-27,15.625,15.78125,15.15625,30.375,9.432996000000001,1320800
2000-01-28,15.4375,15.46875,15.0,30.25,9.394179,1486000
2000-01-31,15.0625,15.65625,15.03125,31.1875,9.685316,1343000
2000-02-01,15.78125,15.8125,15.0,30.25,9.394179,3256000
2000-02-02,15.125,15.40625,14.75,30.125,9.355358,2574800
2000-02-03,15.0625,15.34375,14.6875,30.625,9.510633,1993800
2000-02-04,15.25,15.28125,15.0,30.375,9.432996000000001,1435000
2000-02-07,15.4375,15.5625,14.75,30.5625,9.491227,2410400
2000-02-08,15.46875,15.5,15.28125,30.8125,9.568864,2358400
2000-02-09,15.40625,15.46875,15.21875,30.5,9.471813000000001,3026800
2000-02-10,15.1875,15.25,14.875,30.0625,9.335949000000001,3784000
2000-02-11,15.21875,15.34375,15.0625,30.4375,9.452405,1827400
2000-02-14,15.25,15.5,15.25,31.0,9.627091,2413200
