Date,Open,High,Low,Close,Adj Close,Volume
2001-01-16,3.75,3.75,3.75,15.0,3.61235,3200
2001-01-17,3.75,3.75,3.75,15.0,3.61235,122800
2001-01-18,3.875,4.125,3.875,16.5,3.973584,167200
2001-01-19,4.1875,4.28125,4.1875,17.125,4.1241010000000005,59600
2001-01-22,4.25,4.625,4.25,18.25,4.395025,146800
2001-01-23,4.5,4.78125,4.5,18.75,4.515437,76000
2001-01-24,4.625,4.625,4.5625,18.25,4.395025,560000
2001-01-25,4.65625,4.6875,4.625,18.75,4.515437,143200
2001-01-26,4.625,4.640625,4.625,18.5,4.4552309999999995,82000
2001-01-29,4.63,4.6875,4.6,18.700001,4.5033970000000005,262000
2001-01-30,4.675,4.675,4.5875,18.6,4.479316000000001,339200
2001-01-31,4.675,4.7625,4.675,18.75,4.515437,326000
2001-02-01,4.75,5.3,4.69,20.9,5.033207,2556800
2001-02-02,5.1875,5.25,5.15,20.83,5.016348000000001,795600
2001-02-05,5.2125,5.3625,4.98,19.969998999999998,4.809242,644800
2001-02-06,4.975,5.005,4.9375,19.75,4.756264,1338800
2001-02-07,4.925,5.0,4.9125,20.0,4.816466999999999,1350400
2001-02-08,5.0,5.04,4.875,19.5,4.696055,578800
2001-02-09,4.875,4.9375,4.875,19.75,4.756264,441600
2001-02-12,4.9375,4.9375,4.825,19.299999,4.64789,327200
2001-02-13,4.825,4.885,4.8125,19.25,4.635848999999999,648800
2001-02-14,4.8125,4.8125,4.7675,19.08,4.594908,135600
2001-02-15,4.775,4.7875,4.575,18.299999,4.407069,454400
2001-02-16,4.525,4.525,4.35,18.07,4.351677,427200
2001-02-20,4.5175,4.5375,4.4525,18.09,4.3564940000000005,1000400
2001-02-21,4.5225,4.5225,4.475,18.08,4.354086,443600
2001-02-22,4.52,4.535,4.475,18.030001000000002,4.342046,623600
2001-02-23,4.525,4.675,4.5,18.450001,4.443191000000001,1222800
2001-02-26,4.625,4.78,4.625,19.0,4.575643,1182400
2001-02-27,4.75,4.75,4.725,18.9,4.551558999999999,690000
2001-02-28,4.725,4.75,4.7125,19.0,4.575643,326000
2001-03-01,4.725,4.725,4.675,18.700001,4.5033970000000005,155200
2001-03-02,4.6875,4.7025,4.675,18.76,4.517846,836800
2001-03-05,4.6875,4.7625,4.6875,19.01,4.578052,402800
2001-03-06,4.7525,4.775,4.7,18.799999,4.527476,610000
2001-03-07,4.7,4.7475,4.7,18.99,4.573237000000001,89600
2001-03-08,4.745,4.745,4.7,18.799999,4.527476,211600
2001-03-09,4.7,4.7025,4.675,18.780001000000002,4.522663,269600
2001-03-12,4.695,4.725,4.6625,18.700001,4.5033970000000005,106400
2001-03-13,4.7125,4.7125,4.6125,18.450001,4.443191000000001,671600
2001-03-14,4.6125,4.6375,4.4675,17.9,4.310739,455600
2001-03-15,4.45,4.45,4.2875,17.43,4.197551,1160400
2001-03-16,4.3875,4.45,4.3375,17.35,4.178284,402800
2001-03-19,4.2875,4.4375,4.2875,17.200001,4.142161,1173600
2001-03-20,4.3125,4.39,4.25,17.1,4.11808,222000
2001-03-21,4.275,4.3,4.0625,16.65,4.009708,135200
