Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,9.5625,9.625,9.375,18.9375,7.986867999999999,11339200
2000-01-04,9.40625,9.84375,9.375,19.5625,8.250461,17990600
2000-01-05,9.71875,10.09375,9.6875,19.875,8.382259,15291000
2000-01-06,9.9375,9.9375,9.28125,19.125,8.065946,17686400
2000-01-07,9.5,9.625,9.34375,18.9375,7.986867999999999,13358200
2000-01-10,9.46875,9.46875,9.21875,18.4375,7.775989999999999,8824000
2000-01-11,8.96875,9.25,8.90625,18.3125,7.723275,9792600
2000-01-12,9.125,9.53125,9.125,18.5625,7.8287119999999994,6635800
2000-01-13,9.3125,9.59375,9.15625,19.0,8.013227,11179800
2000-01-14,9.53125,9.5625,9.125,18.4375,7.775989999999999,6856800
2000-01-18,9.3125,9.3125,8.8125,18.0,7.591477,9452200
2000-01-19,9.0,9.09375,8.875,18.0,7.591477,5676200
2000-01-20,9.03125,9.03125,8.59375,17.375,7.327885,7137800
2000-01-21,8.71875,8.71875,8.34375,16.8125,7.090650999999999,8151000
2000-01-24,8.5,8.5625,8.03125,16.3125,6.879777000000001,11600200
2000-01-25,8.09375,8.125,7.90625,16.125,6.8007,7716600
2000-01-26,8.03125,8.40625,8.03125,16.5,6.958854,13237000
2000-01-27,8.4375,8.84375,8.40625,16.9375,7.1433729999999995,14937000
2000-01-28,8.40625,8.5625,8.28125,16.5625,6.985216,8821200
2000-01-31,8.46875,8.8125,8.40625,17.375,7.327885,8737600
2000-02-01,8.71875,8.875,8.59375,17.75,7.486041999999999,6502000
2000-02-02,8.84375,9.125,8.65625,18.1875,7.670558,7734200
2000-02-03,9.125,9.25,8.8125,18.0,7.591477,11771600
2000-02-04,8.875,8.90625,8.46875,17.625,7.433323,8523000
2000-02-07,8.46875,8.75,8.4375,16.9375,7.1433729999999995,5190200
2000-02-08,8.5625,8.90625,8.5,17.8125,7.512402000000001,6891400
2000-02-09,8.8125,8.8125,8.46875,17.0,7.169731,5223600
2000-02-10,8.5,8.6875,7.96875,16.1875,6.827057000000001,10187400
2000-02-11,8.21875,8.46875,8.125,16.75,7.064291000000001,8325200
2000-02-14,8.21875,8.25,7.9375,16.375,6.906136999999999,7594200
2000-02-15,8.15625,8.625,8.0625,17.0,7.169731,7580000
2000-02-16,8.40625,8.5,8.09375,16.8125,7.090650999999999,5244400
2000-02-17,8.25,8.3125,7.90625,15.9375,6.721622,7695000
2000-02-18,7.9375,7.96875,7.5,15.0,6.326232,8752400
2000-02-22,7.53125,7.75,7.5,15.1875,6.40531,7441800
2000-02-23,7.53125,7.6875,7.4375,15.0625,6.352592,9155800
2000-02-24,7.59375,7.625,7.1875,14.75,6.220794000000001,8360400
2000-02-25,7.1875,7.3125,7.03125,14.1875,5.983562,13766200
2000-02-28,7.5,7.6875,7.28125,15.125,6.378951,9052800
2000-02-29,7.5625,7.65625,7.375,14.9375,6.299872,9811600
2000-03-01,7.46875,7.53125,7.3125,14.8125,6.247155,6097000
2000-03-02,7.46875,7.46875,7.25,14.5625,6.141716000000001,6579800
2000-03-03,7.4375,7.53125,7.34375,14.75,6.220794000000001,9071400
2000-03-06,7.46875,7.625,7.3125,14.9375,6.299872,6285200
2000-03-07,7.4375,7.46875,7.25,14.75,6.220794000000001,7321200
2000-03-08,7.34375,7.75,7.125,15.375,6.484388,11982000
2000-03-09,7.65625,7.65625,7.25,14.8125,6.247155,9740600
2000-03-10,7.40625,7.5625,7.28125,14.75,6.220794000000001,8901800
