Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,35.53125,35.53125,33.5,68.375,27.832848,1250000
2000-01-04,34.0625,34.6875,33.6875,67.5625,27.502102,1285600
2000-01-05,33.8125,34.6875,33.75,68.5,27.883726,1510200
2000-01-06,34.5,35.40625,34.5,70.6875,28.774168,2018000
2000-01-07,35.34375,37.84375,35.34375,75.5625,30.758604,1898400
2000-01-10,37.75,38.125,36.90625,75.75,30.834929,1357800
2000-01-11,37.9375,38.25,37.4375,75.125,30.580505,1221800
2000-01-12,37.5,38.0,36.25,73.0625,29.740935999999998,963800
2000-01-13,36.78125,37.28125,36.5,73.625,29.969919,1220200
2000-01-14,37.75,38.9375,37.375,77.0,31.343758,1812200
2000-01-18,38.15625,38.84375,38.0,76.6875,31.216537,910000
2000-01-19,38.34375,39.125,38.34375,77.375,31.496396999999998,1536200
2000-01-20,38.5625,38.71875,38.0,76.5625,31.165667,1094200
2000-01-21,39.21875,39.21875,37.9375,76.3125,31.063892,1698600
2000-01-24,38.5,38.5,36.6875,73.4375,29.893587,1226200
2000-01-25,36.84375,37.0625,35.15625,71.8125,29.232128000000003,1464200
2000-01-26,36.0,37.15625,35.625,73.3125,29.842707,1640000
2000-01-27,36.53125,36.53125,35.0,71.0,28.901379,1470200
2000-01-28,35.375,35.5,34.0625,68.8125,28.010928999999997,1799400
2000-01-31,34.53125,35.375,34.5,70.125,28.545198,1193800
2000-02-01,35.625,36.9375,35.1875,73.125,29.76639,1241400
2000-02-02,36.5625,37.375,36.125,73.75,30.0208,2038200
2000-02-03,37.75,39.0,37.625,77.5,31.547276,3186600
2000-02-04,39.125,40.90625,39.03125,80.125,32.615803,2559000
2000-02-07,40.0,40.5625,39.65625,79.9375,32.539494,2269600
2000-02-08,39.84375,40.4375,39.53125,80.75,32.870232,1096800
2000-02-09,40.5,40.5,39.28125,78.5625,31.979784000000002,1553400
2000-02-10,39.40625,40.0,39.0,79.625,32.412289,994200
2000-02-11,39.6875,40.0,39.5,79.5,32.361397,596200
2000-02-14,39.375,39.59375,38.875,77.875,31.69993,1472000
2000-02-15,38.9375,38.9375,37.75,76.375,31.089340000000004,1457600
2000-02-16,37.9375,37.9375,35.75,71.9375,29.282999,2439800
2000-02-17,35.75,36.125,34.0625,69.25,28.189020000000003,2646800
2000-02-18,34.75,36.1875,34.75,71.125,28.952253000000002,2121000
2000-02-22,35.4375,35.875,35.25,71.0625,28.926828000000004,1881800
2000-02-23,35.53125,36.75,35.53125,72.375,29.461094,1460800
2000-02-24,36.1875,36.1875,34.4375,69.0625,28.1127,3734800
2000-02-25,35.0,35.8125,34.53125,69.5625,28.316225,3690200
2000-02-28,34.78125,37.1875,34.78125,74.0625,30.148003000000003,2695000
2000-02-29,36.90625,38.5625,36.78125,75.8125,30.860365,2316200
2000-03-01,38.8125,39.875,38.25,78.6875,32.030663,3246000
2000-03-02,39.0,39.25,38.25,77.0,31.343758,1526600
2000-03-03,38.5,39.0,37.9375,76.0,30.936690999999996,1616800
2000-03-06,38.0,39.46875,37.25,76.8125,31.267424,1638400
2000-03-07,38.9375,39.625,36.84375,75.4375,30.707705999999998,2564600
2000-03-08,38.375,40.375,37.9375,80.0,32.564941,2374200
2000-03-09,40.0,44.5,38.9375,87.0,35.414367999999996,3510800
2000-03-10,43.40625,43.40625,41.1875,86.3125,35.13451,2938400
2000-03-13,39.375,43.28125,39.375,84.6875,34.473026000000004,2782000
2000-03-14,42.46875,42.46875,41.4375,83.375,33.938778000000006,1750000
2000-03-15,41.59375,42.875,41.1875,85.1875,34.676567,2194800
2000-03-16,43.5,47.5,42.90625,94.625,38.518211,7645400
2000-03-17,46.5,46.84375,44.6875,89.8125,36.559231,3334400
2000-03-20,45.3125,47.25,45.25,93.0,37.856735,2315200
2000-03-21,46.0,47.5,45.84375,95.0,38.670864,1423400
2000-03-22,47.4375,47.5,45.625,92.75,37.754974,1850400
2000-03-23,46.5,48.21875,45.375,94.125,38.314682,1871000
2000-03-24,47.09375,50.625,46.96875,96.5625,39.306892,3224800
2000-03-27,48.3125,48.875,47.78125,96.375,39.230571999999995,1262000
2000-03-28,47.875,49.0,47.25,95.125,38.721745,1978000
2000-03-29,47.625,48.1875,47.25,95.875,39.027042,2413400
2000-03-30,47.96875,49.90625,47.75,99.5625,40.528079999999996,2494000
2000-03-31,49.9375,52.125,49.9375,102.5,41.723824,3788200
2000-04-03,51.625,52.34375,51.0625,104.125,42.385296000000004,1684400
2000-04-04,52.34375,52.46875,49.03125,99.625,40.553523999999996,2964200
2000-04-05,49.4375,51.0,47.5625,100.875,41.062344,1770000
2000-04-06,50.4375,53.0,50.4375,103.9375,42.308979,1673800
2000-04-07,52.0625,53.34375,51.5625,106.1875,43.224865,1587200
2000-04-10,53.09375,54.78125,52.34375,108.75,44.267948,1688800
2000-04-11,54.3125,54.3125,52.625,106.0,43.148540000000004,1531200
2000-04-12,52.96875,54.5625,52.25,107.0625,43.581036,1962800
2000-04-13,52.9375,53.21875,50.5,101.0625,41.138672,1968800
2000-04-14,49.0,49.125,43.5625,91.625,37.297028000000005,3126000
2000-04-17,45.6875,46.25,44.25,90.5625,36.864509999999996,2815200
2000-04-18,45.6875,49.46875,45.5,98.0625,39.917488,2289800
2000-04-19,49.03125,49.75,48.03125,98.9375,40.273674,2333800
2000-04-20,49.59375,51.5,49.375,102.0625,41.545734,1864600
2000-04-24,50.90625,51.6875,49.46875,100.0,40.706177000000004,1915800
2000-04-25,50.5,52.5,50.25,52.5,42.741478,1331100
2000-04-26,52.5,53.0,51.5,52.0625,42.385296000000004,1192900
2000-04-27,50.125,51.625,49.5,50.9375,41.469402,1618000
2000-04-28,51.125,51.25,48.0,48.125,39.17968,1915700
2000-05-01,48.5,52.375,48.5,52.0,42.334415,2022100
2000-05-02,51.75,52.5,51.0625,51.8125,42.18177,938900
2000-05-03,46.25,48.0,44.0,48.0,39.077915000000004,5102900
2000-05-04,48.0,48.0,44.125,47.5,38.670864,2787700
2000-05-05,47.1875,50.0,46.5,49.75,40.50264,1694900
2000-05-08,49.375,49.375,48.0625,48.75,39.688522,1309600
2000-05-09,48.875,49.9375,47.6875,48.0,39.077915000000004,1625600
2000-05-10,48.4375,48.6875,47.5,48.0625,39.128811,1248200
2000-05-11,48.0,49.0,47.625,48.9375,39.841164,802500
2000-05-12,48.6875,51.0,48.4375,49.9687,40.680683,1557900
2000-05-15,50.0,51.4375,49.0625,51.1875,41.672943,1015300
2000-05-16,51.1875,52.4375,51.0,51.375,41.825596000000004,857600
2000-05-17,52.1875,52.9375,49.875,52.875,43.046776,1734500
2000-05-18,52.9375,54.4375,52.5625,54.0,43.962658000000005,1150300
2000-05-19,53.3125,53.4375,52.125,52.3125,42.588825,1115000
2000-05-22,53.1875,53.1875,50.25,51.25,41.723824,911300
2000-05-23,52.5,53.5,52.1875,52.625,42.843243,1832200
2000-05-24,51.5,51.5625,47.0,48.25,39.281448,4453000
2000-05-25,49.0,49.25,47.625,49.0,39.892052,2114700
2000-05-26,49.0,49.0,47.0625,48.75,39.688522,1078700
2000-05-30,48.75,50.0,48.25,49.5625,40.349987,1326500
2000-05-31,49.75,52.4375,49.5,51.75,42.130878,1675600
2000-06-01,53.0,54.9375,52.75,54.5,44.369728,1397700
2000-06-02,56.875,59.625,56.375,59.25,48.236813,2376000
2000-06-05,58.5,58.5,55.5,56.0,45.590912,4489600
2000-06-06,55.8125,56.0,55.125,55.875,45.489151,1590200
2000-06-07,55.75,56.875,55.375,55.8125,45.438259,1481500
2000-06-08,55.875,56.0,54.0625,54.625,44.471481,1145000
2000-06-09,54.625,55.1875,53.25,53.5625,43.60648,2141500
2000-06-12,53.625,53.625,51.5,51.75,42.130878,2003400
2000-06-13,51.6875,52.375,50.1875,52.375,42.639709,2730200
2000-06-14,52.25,52.875,51.75,52.5,42.741478,1042100
2000-06-15,53.0,54.75,52.5625,54.5,44.369728,1178300
2000-06-16,54.125,54.375,53.5625,54.3125,44.217075,1521300
2000-06-19,54.3125,55.0,53.6875,54.75,44.57325,1057900
2000-06-20,54.5625,55.1875,54.375,55.0,44.776783,672900
2000-06-21,55.0625,55.3125,54.5,55.25,44.98032,638600
2000-06-22,55.1875,55.25,54.125,54.125,44.06443,1084400
2000-06-23,54.25,56.75,53.6875,55.4375,45.132965000000006,1056900
2000-06-26,55.4375,56.375,55.0,55.0625,44.827667,901000
2000-06-27,55.0625,55.8125,54.0,54.6875,44.522377,1251600
2000-06-28,54.8125,55.5,54.125,54.234299,44.153416,1074500
2000-06-29,54.0625,54.8125,53.125,53.75,43.759132,2461200
2000-06-30,53.9375,56.0625,53.75,55.625,45.285618,1732600
2000-07-03,54.9375,55.0,54.375,54.875,44.675022,697100
2000-07-05,55.5,55.5,54.1875,54.25,44.166195,1458700
2000-07-06,55.625,56.875,54.5625,56.4375,45.947086,1428900
2000-07-07,58.25,60.5,57.75,60.0625,48.898289,1970500
2000-07-10,60.125,63.6875,59.625,63.0,51.289768,2246900
2000-07-11,62.0,64.5,62.0,63.5,51.696838,2137100
2000-07-12,64.375,64.375,62.4375,63.0625,51.34066,1365400
2000-07-13,62.8125,63.0,61.375,61.5,50.068584,1110800
2000-07-14,62.25,62.875,60.875,62.75,51.086242999999996,928000
2000-07-17,62.5,63.1875,61.8125,62.8125,51.137119,647400
2000-07-18,62.875,64.875,62.5,64.5,52.510963000000004,1119300
2000-07-19,64.375,65.5625,64.0,64.5,52.510963000000004,890100
2000-07-20,64.4375,66.5,63.375,63.8125,51.951252000000004,1044400
2000-07-21,63.8125,65.0625,63.8125,64.6875,52.663608999999994,807100
2000-07-24,64.0,64.1875,61.0,62.0,50.475654999999996,1463200
2000-07-25,62.0,63.25,61.25,62.8125,51.137119,970000
2000-07-26,62.625,63.75,62.125,63.3437,51.569584000000006,837800
2000-07-27,63.4375,64.3125,63.4375,64.0625,52.154781,582100
2000-07-28,63.875,64.0,59.625,60.6875,49.407115999999995,1056000
2000-07-31,60.75,60.9375,56.5,56.75,46.2015,1757000
2000-08-01,57.25,57.875,55.875,57.625,46.91386,1547900
2000-08-02,57.5625,60.6875,57.125,60.4375,49.203583,994100
2000-08-03,58.75,59.5,58.0,58.0,47.219151000000004,1195800
2000-08-04,58.375,59.5,58.25,58.6875,47.778862,1004800
2000-08-07,58.9375,60.5625,58.25,58.625,47.727978,1228200
2000-08-08,60.75,63.0625,60.5625,62.375,50.780941,1183800
2000-08-09,61.5,61.5,59.5,60.5,49.254459000000004,1208700
2000-08-10,60.25,60.25,56.625,57.5,46.812092,3753900
2000-08-11,57.9375,59.875,57.125,59.0,48.033276,1525300
2000-08-14,59.625,60.875,59.1875,59.4375,48.389469,1478600
2000-08-15,59.875,59.9375,56.75,57.0,46.405041,2034400
2000-08-16,57.0,57.625,55.5,56.5625,46.048846999999995,2922200
2000-08-17,56.6875,56.6875,54.375,55.4375,45.132965000000006,3040700
2000-08-18,55.6875,57.0,55.0,56.75,46.2015,1525600
2000-08-21,56.9375,57.1875,55.875,57.1875,46.557674,1029700
2000-08-22,57.3125,58.625,57.25,58.0,47.219151000000004,1019500
2000-08-23,57.5,58.8125,56.875,58.0,47.219151000000004,527700
2000-08-24,58.0,58.9375,57.75,58.5,47.626217,534400
2000-08-25,57.5,59.1875,57.5,58.9375,47.982388,912500
2000-08-28,57.75,57.75,56.375,57.0,46.405041,1669000
2000-08-29,56.75,58.875,56.3125,58.375,47.524452000000004,1307000
2000-08-30,58.5,58.5625,57.3125,57.5625,46.862976,739800
2000-08-31,58.25,58.375,55.375,56.015598,45.603603,2498200
2000-09-01,56.25,58.3125,56.25,57.625,46.91386,744600
2000-09-05,57.875,59.375,57.6875,58.0,47.219151000000004,709300
2000-09-06,58.9375,62.3125,58.75,61.75,50.272114,1896000
2000-09-07,61.625,62.0625,59.625,60.6875,49.407115999999995,1419000
2000-09-08,60.6875,62.5625,60.6875,62.25,50.679188,931000
2000-09-11,62.3125,63.375,62.0625,62.8125,51.137119,619800
2000-09-12,64.125,64.625,62.875,64.1875,52.256541999999996,905400
2000-09-13,64.1875,64.1875,62.8125,63.5625,51.747719000000004,505800
2000-09-14,63.5625,63.5625,61.8125,62.375,50.780941,695200
2000-09-15,62.375,64.75,61.75,64.3125,52.358303,1624200
2000-09-18,63.4375,63.5,60.25,60.625,49.356228,1285200
2000-09-19,60.875,60.875,57.75,59.625,48.542103000000004,2017400
2000-09-20,59.5,59.5,56.5,58.75,47.829746,1717000
2000-09-21,58.75,61.5,58.375,61.3125,49.915939,1302100
2000-09-22,61.0625,61.125,59.25,60.5625,49.305347,1134800
2000-09-25,61.0,61.0,58.8125,59.1875,48.185921,920700
2000-09-26,58.6875,58.75,56.1875,57.5625,46.862976,2631600
2000-09-27,57.375,59.3125,56.875,57.875,47.117378,1437500
2000-09-28,58.3125,59.625,58.1875,58.9375,47.982388,667400
2000-09-29,58.6875,59.9375,57.25,57.6875,46.964737,1266500
2000-10-02,57.75,57.75,56.0,56.625,46.099751,982600
2000-10-03,56.625,57.1875,55.25,55.625,45.285618,1238700
2000-10-04,55.75,57.9687,55.625,56.6875,46.15062,1075000
2000-10-05,58.5,62.0,57.375,57.9375,47.168285,2175200
