Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,73.5,73.5625,70.0625,35.25,2.07607,1258900
2000-01-04,69.0,69.875,66.375,33.4375,1.969322,785200
2000-01-05,66.0,66.4375,63.875,32.40625,1.9085860000000001,578600
2000-01-06,64.875,68.375,64.625,33.4375,1.969322,648500
2000-01-07,66.6875,67.0625,65.5,33.4375,1.969322,412900
2000-01-10,71.5,71.5,69.125,35.0,2.061347,863600
2000-01-11,69.125,69.5,67.5,33.8125,1.991408,710100
2000-01-12,67.75,67.8125,65.5,32.84375,1.934353,572300
2000-01-13,66.6875,68.9375,66.3125,34.3125,2.020856,666200
2000-01-14,69.75,71.0,69.0,34.90625,2.055825,926500
2000-01-18,69.625,69.8125,67.875,34.28125,2.019016,602700
2000-01-19,68.5625,69.4375,68.5625,34.40625,2.026377,443700
2000-01-20,69.375,69.6875,67.0,34.1875,2.0134939999999997,540900
2000-01-21,69.25,71.0625,68.125,35.09375,2.066869,529900
2000-01-24,71.0,74.9375,71.0,35.8125,2.1092,1073200
2000-01-25,71.625,71.875,69.4375,35.125,2.068708,347500
2000-01-26,70.75,71.0625,68.125,35.21875,2.074231,452800
2000-01-27,74.0,77.0625,72.875,36.875,2.171776,1099900
2000-01-28,72.75,73.125,68.75,34.65625,2.041102,514600
2000-01-31,68.1875,69.1875,65.9375,34.59375,2.0374209999999997,765500
2000-02-01,66.75,68.75,66.3125,34.25,2.017175,559600
2000-02-02,68.75,70.4375,68.5,35.03125,2.063187,248100
2000-02-03,70.4375,73.4375,70.1875,35.46875,2.088954,580900
2000-02-04,71.375,74.3125,70.75,36.78125,2.166254,614100
2000-02-07,73.875,74.8125,73.3125,36.75,2.164414,389300
2000-02-08,73.25,74.625,73.25,37.28125,2.1957020000000003,501200
2000-02-09,75.125,76.25,72.875,36.6875,2.160733,501300
2000-02-10,73.375,73.875,71.375,36.03125,2.1220830000000004,315800
2000-02-11,72.3125,72.375,70.125,35.21875,2.074231,271200
2000-02-14,70.4375,72.25,70.4375,35.625,2.098156,388700
2000-02-15,71.5,73.4375,70.9375,36.6875,2.160733,383000
2000-02-16,73.5,73.6875,70.5,35.625,2.098156,576100
2000-02-17,72.0,73.5,71.25,35.96875,2.118402,431400
2000-02-18,71.6875,71.75,70.25,35.28125,2.077911,379500
2000-02-22,70.1875,72.0,68.0625,35.6875,2.1018380000000003,772800
2000-02-23,71.375,73.5,70.5,36.5,2.14969,916500
2000-02-24,75.0,77.0,74.625,38.25,2.252757,924700
2000-02-25,76.5,82.0,76.375,39.3125,2.315334,1354400
2000-02-28,78.875,79.875,77.5,39.03125,2.29877,624300
2000-02-29,78.375,79.4375,78.125,39.375,2.3190150000000003,699000
2000-03-01,79.25,85.0,79.25,42.5,2.5030639999999997,1284200
2000-03-02,85.0,85.875,83.4375,42.625,2.510426,782500
2000-03-03,85.125,90.0,85.125,45.0,2.650304,758500
2000-03-06,89.125,90.5,88.125,44.28125,2.607972,778200
2000-03-07,88.75,88.75,84.8125,42.4375,2.4993830000000004,399000
2000-03-08,85.375,85.375,81.4375,42.3125,2.492021,858800
2000-03-09,84.875,86.125,82.6875,43.0625,2.536193,386700
2000-03-10,88.375,90.375,87.25,43.84375,2.582205,466000
2000-03-13,83.0,86.5,82.3125,42.59375,2.508585,581500
2000-03-14,84.9375,84.9375,80.0625,40.375,2.377911,505500
2000-03-15,80.25,80.375,77.625,38.96875,2.295089,809000
2000-03-16,78.875,81.125,75.0,40.5,2.3852729999999998,1520900
2000-03-17,80.75,83.75,80.5625,41.46875,2.442328,666600
2000-03-20,82.6875,83.0,80.3125,40.15625,2.365027,347200
2000-03-21,80.0625,81.25,77.75,40.625,2.392635,510700
2000-03-22,83.0,85.5,82.625,42.40625,2.4975419999999997,505100
2000-03-23,86.6875,89.125,86.25,44.46875,2.619014,524200
2000-03-24,89.9375,93.875,89.25,45.59375,2.6852720000000003,908000
2000-03-27,90.625,90.625,86.0625,43.46875,2.560119,594700
2000-03-28,85.1875,92.625,85.1875,45.5,2.679751,1354600
2000-03-29,89.75,92.5,89.0625,45.65625,2.6889540000000003,1325100
2000-03-30,91.25,91.25,86.6875,43.875,2.584045,968600
2000-03-31,87.75,88.1875,85.0625,42.96875,2.530672,868200
2000-04-03,86.3125,87.375,81.6875,41.09375,2.420242,1100600
2000-04-04,82.1875,82.1875,63.5,35.53125,2.092635,2521500
2000-04-05,69.0,78.375,69.0,39.0,2.296929,1529200
2000-04-06,78.0,80.875,78.0,39.96875,2.353984,762300
2000-04-07,80.5,81.1875,77.5,39.125,2.304291,580300
2000-04-10,78.5,79.25,75.0625,37.65625,2.217788,586500
2000-04-11,73.3125,73.3125,69.8125,35.1875,2.07239,1006400
2000-04-12,71.875,71.9375,68.375,34.1875,2.0134939999999997,816500
2000-04-13,69.25,70.625,67.4375,34.21875,2.015334,500000
2000-04-14,66.5625,66.875,61.0,31.78125,1.8717759999999999,892900
2000-04-17,59.125,63.25,58.875,30.5,1.7963169999999997,1245400
2000-04-18,61.5,67.8125,61.5,33.78125,1.9895669999999999,660200
2000-04-19,68.1875,68.6875,64.0,32.34375,1.9049049999999998,388100
2000-04-20,64.5,66.25,64.3125,32.71875,1.926991,348800
2000-04-24,65.1875,65.5625,63.0,32.5625,1.917789,572400
2000-04-25,66.75,67.0,65.0,33.5,1.973004,848500
2000-04-26,68.5,72.4375,67.75,35.625,2.098156,1042000
2000-04-27,68.75,73.0,67.25,36.40625,2.1441689999999998,837600
2000-04-28,74.625,74.6875,70.5625,35.875,2.11288,1103800
2000-05-01,73.0,77.5,72.75,37.65625,2.217788,598200
2000-05-02,75.3125,75.3125,71.3125,36.125,2.1276040000000003,505500
2000-05-03,71.5,72.75,68.375,34.65625,2.041102,536200
2000-05-04,69.25,69.875,68.125,34.90625,2.055825,417300
2000-05-05,68.0,73.625,67.9375,36.375,2.142329,467600
2000-05-08,72.375,73.6875,71.4375,36.1875,2.1312849999999997,342400
2000-05-09,73.375,73.5625,69.3125,35.5625,2.094476,649600
2000-05-10,69.0,69.1875,65.4375,33.0,1.943555,507500
2000-05-11,68.125,68.125,66.25,33.5,1.973004,339800
2000-05-12,67.75,71.125,67.25,35.0625,2.065027,395700
2000-05-15,70.375,73.5,69.875,36.15625,2.129445,437600
2000-05-16,73.0,75.5,72.9375,37.3125,2.197543,499000
2000-05-17,73.5,74.9375,72.75,37.34375,2.199383,439800
2000-05-18,74.0,76.6875,73.3125,37.5,2.208586,455000
2000-05-19,73.25,73.75,70.0,35.5,2.090795,438100
2000-05-22,71.5625,71.5625,66.3125,35.125,2.068708,798200
2000-05-23,69.5,70.0,68.125,34.21875,2.015334,430600
2000-05-24,68.1875,69.5,65.875,34.75,2.046623,664500
2000-05-25,69.3125,69.6875,66.625,33.46875,1.9711619999999999,393800
2000-05-26,67.0,67.3125,62.375,31.65625,1.8644150000000002,544900
2000-05-30,65.9375,68.4375,65.5,33.9375,1.9987700000000002,539100
2000-05-31,67.375,68.3125,65.8125,33.625,1.980366,485200
2000-06-01,67.0,73.0,65.3125,36.15625,2.129445,844200
2000-06-02,77.25,78.9375,75.5,38.84375,2.2877259999999997,855800
2000-06-05,76.0625,80.0,75.5,39.0,2.296929,619400
2000-06-06,77.75,77.75,75.125,38.125,2.2453950000000003,329000
2000-06-07,75.5,78.6875,75.5,39.15625,2.306132,434000
2000-06-08,78.5,79.875,75.375,37.90625,2.232512,409500
2000-06-09,76.5,77.25,75.1875,37.84375,2.228831,380200
2000-06-12,76.25,76.375,75.375,37.75,2.2233099999999997,187000
2000-06-13,74.875,77.25,74.5,38.46875,2.265641,413600
2000-06-14,77.3125,77.3125,75.875,38.34375,2.258279,389900
2000-06-15,78.5,86.0,77.875,42.0,2.473616,1585600
2000-06-16,83.0625,86.0,83.0,42.421875,2.498462,1160800
2000-06-19,84.875,86.9375,83.375,42.125,2.480978,596700
2000-06-20,84.25,84.25,81.25,41.34375,2.434965,536600
2000-06-21,82.5625,83.4375,81.5625,40.96875,2.41288,331600
2000-06-22,82.5625,82.875,80.25,40.53125,2.3871130000000003,350600
2000-06-23,80.5625,81.1875,79.3125,40.125,2.363187,387900
2000-06-26,80.1875,81.75,75.875,38.9375,2.293248,904000
2000-06-27,80.25,80.25,78.25,39.625,2.333739,472700
2000-06-28,79.25,84.6875,79.25,42.257809,2.4888,1231500
2000-06-29,83.4375,87.375,83.0,43.5625,2.565641,1243000
2000-06-30,87.1875,88.875,86.5,44.34375,2.611652,567100
2000-07-03,88.5,89.375,87.25,44.5625,2.624536,379700
2000-07-05,88.75,89.125,87.75,44.4375,2.6171740000000003,687300
2000-07-06,88.125,90.25,86.6875,44.96875,2.648463,639400
2000-07-07,89.9375,91.3125,89.125,44.90625,2.644782,636200
2000-07-10,89.5625,90.5,89.25,45.21875,2.6631869999999997,629700
2000-07-11,90.0,91.125,90.0,45.40625,2.67423,605400
2000-07-12,92.5,95.75,91.8125,46.875,2.760732,1855100
2000-07-13,5.375,6.375,5.125,6.25,5.854965,7581600
2000-07-14,6.3125,7.75,6.25,6.875,6.440462999999999,5272500
2000-07-17,7.0,7.1875,6.8125,7.0,6.557562,3600300
2000-07-18,7.0,7.25,6.9375,7.125,6.674662,2208600
2000-07-19,7.125,7.5,7.125,7.3125,6.850308999999999,2578900
2000-07-20,7.0625,7.1875,6.875,7.0,6.557562,2599800
2000-07-21,6.9375,7.1875,6.875,7.0,6.557562,1069400
2000-07-24,7.0625,7.1875,6.5,6.5,6.089164,2356000
2000-07-25,6.8125,6.9375,6.6875,6.8125,6.381913,653400
2000-07-26,7.0,7.0,6.75,6.75,6.323364,755800
2000-07-27,7.0,7.0625,6.75,6.9375,6.499011,1374400
2000-07-28,7.0,7.0,6.875,6.875,6.440462999999999,829900
2000-07-31,6.8125,7.0625,6.75,6.9375,6.499011,972900
2000-08-01,7.0,7.125,6.875,6.875,6.440462999999999,1043300
2000-08-02,7.0,7.1875,6.9375,7.0,6.557562,1587300
2000-08-03,6.9375,7.0625,6.875,7.0,6.557562,765600
2000-08-04,7.0,7.0625,6.875,7.0,6.557562,449800
2000-08-07,7.0,7.0625,6.875,6.9375,6.499011,944500
2000-08-08,7.0,7.0625,6.8125,6.875,6.440462999999999,1111100
2000-08-09,6.8125,6.9375,6.5625,6.75,6.323364,1236400
2000-08-10,6.75,6.8125,6.5625,6.5625,6.1477129999999995,523200
2000-08-11,6.75,6.75,6.625,6.6875,6.264812,496000
2000-08-14,6.75,6.8125,6.625,6.6875,6.264812,798500
2000-08-15,6.75,6.8125,6.375,6.6875,6.264812,884700
2000-08-16,6.6875,6.875,6.625,6.75,6.323364,335400
2000-08-17,7.6875,8.1875,7.5625,8.0,7.494356,3045100
2000-08-18,8.0625,8.875,8.0,8.4375,7.904205,1733500
2000-08-21,8.875,8.9375,8.3125,8.5,7.962753999999999,1111800
2000-08-22,8.6875,8.8125,8.5625,8.6875,8.138402000000001,1068200
2000-08-23,8.6875,8.9375,8.6875,8.75,8.196954,1342200
2000-08-24,8.9375,9.125,8.75,8.875,8.314052,536300
2000-08-25,8.875,8.9375,8.625,8.6875,8.138402000000001,672600
2000-08-28,8.6875,9.0,8.6875,8.8125,8.255500999999999,1040900
2000-08-29,8.9375,8.9375,8.8125,8.8125,8.255500999999999,328400
2000-08-30,8.875,9.0,8.8125,8.9375,8.372602,485300
2000-08-31,9.0,9.25,8.9375,9.25,8.665349,405700
2000-09-01,9.25,9.875,9.25,9.5625,8.958097,737700
2000-09-05,9.5625,9.75,8.875,9.0,8.431149000000001,947600
2000-09-06,9.0625,9.25,8.75,8.75,8.196954,1120900
2000-09-07,8.875,9.0,8.625,8.75,8.196954,784700
2000-09-08,8.75,8.8125,8.5625,8.625,8.079855,374700
2000-09-11,8.625,8.625,8.0625,8.375,7.845654,812800
2000-09-12,8.4375,8.5,8.25,8.375,7.845654,454200
2000-09-13,8.4375,8.5,8.375,8.5,7.962753999999999,328300
2000-09-14,8.4375,8.625,8.375,8.5,7.962753999999999,550800
2000-09-15,8.6875,9.0,8.5625,8.625,8.079855,1955000
2000-09-18,8.8125,8.8125,8.5,8.5,7.962753999999999,318400
2000-09-19,8.5,8.5625,8.3125,8.4375,7.904205,455800
2000-09-20,8.375,8.625,8.3125,8.5625,8.021303,311800
2000-09-21,8.625,8.875,8.5625,8.75,8.196954,257700
2000-09-22,8.5625,8.625,8.375,8.375,7.845654,374000
2000-09-25,8.4375,8.875,8.3125,8.5625,8.021303,353600
2000-09-26,8.75,8.9375,8.5625,8.8125,8.255500999999999,863600
2000-09-27,8.9375,9.25,8.875,9.0,8.431149000000001,319200
2000-09-28,9.0,9.0,8.8125,8.875,8.314052,282900
2000-09-29,8.8125,8.8125,8.1875,8.6875,8.138402000000001,237200
2000-10-02,8.625,9.0,8.625,8.75,8.196954,114400
2000-10-03,8.8125,8.875,8.75,8.875,8.314052,172600
2000-10-04,8.8125,9.0,8.6875,8.9375,8.372602,801700
2000-10-05,8.9375,9.0,8.625,8.75,8.196954,229200
2000-10-06,8.625,8.75,8.625,8.6875,8.138402000000001,199900
2000-10-09,8.625,8.625,8.375,8.5,7.962753999999999,178800
2000-10-10,8.3125,8.6875,8.3125,8.625,8.079855,171000
2000-10-11,8.3125,8.5625,8.3125,8.5,7.962753999999999,368600
2000-10-12,8.625,8.75,8.25,8.3125,7.787103999999999,244800
2000-10-13,8.3125,8.625,8.3125,8.625,8.079855,330200
2000-10-16,8.625,8.875,8.5,8.75,8.196954,290800
2000-10-17,8.625,8.6875,8.3125,8.3125,7.787103999999999,143200
2000-10-18,8.25,8.3125,8.0625,8.25,7.7285520000000005,222800
2000-10-19,8.3125,8.3125,8.0625,8.1875,7.670005000000001,134000
2000-10-20,8.125,8.3125,7.75,7.9375,7.4358059999999995,586300
2000-10-23,7.8125,8.0625,7.75,8.0,7.494356,189000
