Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,22.0,22.3125,20.25,20.25,13.118708999999999,3011300
2000-01-04,20.0,21.3125,20.0,20.9375,13.564091000000001,3593500
2000-01-05,21.25,21.625,20.5,21.0625,13.645069,1721200
2000-01-06,21.0,21.75,21.0,21.375,13.847523,1750700
2000-01-07,21.75,22.0625,21.1875,21.4375,13.888007,2203200
2000-01-10,21.375,21.5,20.5625,20.625,13.361641,1361000
2000-01-11,20.5,20.75,19.75,19.9375,12.916258000000001,2236100
2000-01-12,20.0,21.25,20.0,21.1875,13.726054000000001,3562400
2000-01-13,21.4375,21.4375,20.5625,20.75,13.442625,2871700
2000-01-14,20.75,20.9375,20.5,20.5,13.280664000000002,1609300
2000-01-18,21.0,21.25,19.75,20.0,12.956744,3763800
2000-01-19,20.0625,20.75,20.0,20.6875,13.402135000000001,2270500
2000-01-20,20.5,20.6875,20.375,20.5625,13.321157000000001,2321600
2000-01-21,20.75,21.1875,20.625,21.0,13.604586,2340600
2000-01-24,20.9375,21.0625,19.5625,19.5625,12.673319000000001,1917000
2000-01-25,19.5625,19.9375,19.125,19.25,12.470869,2022500
2000-01-26,19.4375,20.0625,19.25,20.0625,12.997238000000001,2020300
2000-01-27,19.9375,20.0,19.0,19.4375,12.592335,2236300
2000-01-28,19.0,19.9375,18.3125,18.875,12.227929,2213200
2000-01-31,18.3125,18.875,18.1875,18.5,11.984992,1528600
2000-02-01,18.75,18.875,18.375,18.6875,12.106461999999999,737300
2000-02-02,18.4375,18.8125,18.1875,18.6875,12.106461999999999,1633700
2000-02-03,18.625,18.9375,18.5,18.625,12.065966,1830200
2000-02-04,18.75,19.3125,18.375,19.125,12.38989,2012900
2000-02-07,19.25,19.5,18.25,18.75,12.146949000000001,1633700
2000-02-08,18.3125,18.375,17.875,18.375,11.904009,2110300
2000-02-09,17.875,18.5,17.875,18.375,11.904009,1863800
2000-02-10,18.0625,18.5,18.0625,18.3125,11.863522999999999,1814500
2000-02-11,18.125,18.3125,17.375,17.5,11.337153,1821000
2000-02-14,17.75,18.125,17.5,18.0625,11.70156,1839400
2000-02-15,18.0,18.1875,17.8125,18.125,11.742052000000001,1273200
2000-02-16,17.5,18.0625,17.5,17.75,11.499115,1630600
2000-02-17,17.9375,18.25,17.8125,18.0,11.661069,4412100
2000-02-18,17.75,17.875,17.0,17.4375,11.296661,1651200
2000-02-22,17.0625,18.0,17.0625,18.0,11.661069,1411100
2000-02-23,17.9375,17.9375,17.5,17.8125,11.539601,1358100
2000-02-24,17.625,17.6875,17.1875,17.5625,11.377646,1248100
2000-02-25,17.625,17.9375,17.5625,17.75,11.499115,1691300
2000-02-28,17.5625,17.625,17.125,17.5,11.337153,1022400
2000-02-29,17.4375,17.875,17.125,17.4375,11.296661,1285400
2000-03-01,17.4375,17.6875,17.375,17.6875,11.458625,1331700
2000-03-02,17.5,17.5625,17.0,17.125,11.163638,1398200
2000-03-03,17.0625,17.1875,16.875,17.0,11.082156,1733200
2000-03-06,17.75,18.25,17.75,18.0,11.734043,3775600
2000-03-07,18.0,18.0,17.3125,17.3125,11.285872,1289900
2000-03-08,17.25,17.625,17.25,17.625,11.489588000000001,2051400
2000-03-09,17.5,17.5,17.0,17.125,11.163638,1706700
2000-03-10,17.125,17.125,16.6875,16.8125,10.959926,2631700
2000-03-13,16.8125,17.0,16.625,16.9375,11.041412,1434800
2000-03-14,17.0,17.0,16.5,16.625,10.837694,1853600
2000-03-15,16.625,17.1875,16.5,17.125,11.163638,4062700
2000-03-16,17.1875,18.25,17.0,18.0625,11.774796,3771400
2000-03-17,18.0625,18.75,17.625,18.0,11.734043,6524300
2000-03-20,18.0,18.0,17.625,17.7656,11.581242,1103600
2000-03-21,17.25,17.625,17.0625,17.3125,11.285872,1439200
2000-03-22,17.25,17.3125,16.9375,17.125,11.163638,1424500
2000-03-23,17.0625,17.375,16.9375,17.0625,11.122898,918700
2000-03-24,17.0625,17.75,17.0625,17.5,11.408099,2166100
2000-03-27,17.5,17.875,17.25,17.8125,11.611814,1698000
2000-03-28,18.25,19.1875,18.0625,18.75,12.22297,3675900
2000-03-29,18.5625,19.25,18.3125,19.25,12.548907,3296200
2000-03-30,19.75,21.25,19.5,20.875,13.608235999999998,4674400
2000-03-31,21.0625,21.0625,19.6875,20.4375,13.32303,2365800
2000-04-03,20.0625,20.875,20.0625,20.4375,13.32303,1050100
2000-04-04,21.0,21.6875,20.125,20.3125,13.241543,2551700
2000-04-05,20.3125,21.625,20.3125,20.9375,13.648979,1390500
2000-04-06,21.75,22.0625,20.625,21.1875,13.811948000000001,2202200
2000-04-07,21.3125,21.5,20.6875,21.0625,13.730468,1330000
2000-04-10,20.5,21.1875,20.3125,21.125,13.771204000000001,1263400
2000-04-11,20.9375,21.1875,20.875,20.875,13.608235999999998,1365200
2000-04-12,20.9375,22.1875,20.9375,22.0625,14.382347,2865000
2000-04-13,21.375,22.0,21.0625,21.625,14.09716,3730500
2000-04-14,21.1875,21.25,20.375,20.6875,13.486002,2415400
2000-04-17,20.625,21.3125,19.8125,21.3125,13.89344,2157200
2000-04-18,21.125,21.125,20.625,21.0,13.689722,1432900
2000-04-19,20.9375,21.25,20.8125,20.875,13.608235999999998,1112900
2000-04-20,21.75,22.875,21.5625,22.6875,14.789789,2877000
2000-04-24,22.375,25.9375,22.3125,25.875,16.867695,5205300
2000-04-25,25.875,26.4375,24.5,25.5625,16.663971,5013300
2000-04-26,24.75,24.875,23.8125,24.125,15.726879,3442200
2000-04-27,24.0,24.4375,23.375,23.875,15.563916,1761100
2000-04-28,24.0,26.0625,24.0,24.875,16.215797,3415700
2000-05-01,24.25,27.3125,24.125,27.0,17.601067999999998,2702000
2000-05-02,26.25,26.6875,26.0,26.0625,16.98992,2304900
2000-05-03,25.8125,26.3125,25.375,25.5625,16.663971,1438500
2000-05-04,25.5625,27.125,25.5,26.3125,17.152895,1659000
2000-05-05,25.75,26.1875,25.625,26.1875,17.071405,1751900
2000-05-08,26.0,26.25,25.75,26.0625,16.98992,1038600
2000-05-09,25.8125,26.25,25.75,26.0,16.949179,765900
2000-05-10,25.8125,26.25,25.75,26.0625,16.98992,1188300
2000-05-11,26.0,26.4375,25.9375,26.1875,17.071405,846200
2000-05-12,25.625,26.125,25.5625,25.8125,16.826948,814300
2000-05-15,25.6875,25.9375,25.375,25.625,16.704716,682000
2000-05-16,24.75,25.375,24.6875,25.1875,16.419514000000003,1051600
2000-05-17,24.9375,25.375,24.5,24.5625,16.012085,2000700
2000-05-18,24.4375,25.1875,24.4375,24.875,16.215797,2073900
2000-05-19,24.125,24.5625,23.625,24.3125,15.849114000000002,1286300
2000-05-22,24.375,24.6875,23.25,23.5625,15.360192000000001,1283800
2000-05-23,24.25,25.3125,23.625,25.125,16.378773000000002,1109300
2000-05-24,25.0,25.3125,24.5,25.0625,16.33803,2029800
2000-05-25,24.8125,25.0625,24.0625,24.3125,15.849114000000002,822600
2000-05-26,24.5625,24.75,23.875,24.0625,15.686138,501000
2000-05-30,24.3125,25.0,24.1875,24.75,16.208406,1195400
2000-05-31,24.875,24.9375,23.8125,24.6875,16.167476999999998,947700
2000-06-01,24.375,25.0625,24.1875,25.0625,16.413055,876900
2000-06-02,25.3125,26.0625,25.3125,25.9375,16.98609,1608900
2000-06-05,25.9375,25.9375,25.5,25.875,16.94515,1070800
2000-06-06,26.0,26.25,25.6875,25.9375,16.98609,937000
2000-06-07,25.9375,25.9375,24.875,25.375,16.617716,514400
