Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,20.3125,20.6875,20.25,20.3125,7.639605,56000
2000-01-04,20.375,20.375,19.75,19.9375,7.498566,44600
2000-01-05,19.9375,20.75,19.75,20.25,7.616097,41000
2000-01-06,20.1875,21.0,20.0625,20.625,7.757135000000001,252200
2000-01-07,20.75,21.6875,20.625,21.4375,8.062721,247200
2000-01-10,22.0,22.25,22.0,22.0,8.274280000000001,71000
2000-01-11,22.0,22.375,21.875,22.25,8.368306,81100
2000-01-12,22.25,22.875,22.1875,22.5625,8.48584,105300
2000-01-13,22.75,23.0,22.6875,22.875,8.603374,132000
2000-01-14,22.875,22.9375,22.625,22.875,8.603374,45000
2000-01-18,22.75,22.9375,22.625,22.9375,8.626878999999999,121200
2000-01-19,22.8125,23.375,22.8125,23.3125,8.767913,125700
2000-01-20,23.3125,23.9375,23.25,23.9375,9.002981,76700
2000-01-21,23.5625,23.6875,23.5,23.6875,8.908955,126300
2000-01-24,23.5625,23.625,22.875,23.3125,8.767913,56300
2000-01-25,23.3125,23.3125,22.625,23.25,8.744408,92500
2000-01-26,22.875,23.1875,22.75,22.8125,8.579863000000001,34100
2000-01-27,22.875,23.0,22.625,22.625,8.509348,59400
2000-01-28,22.6875,22.6875,22.1875,22.5625,8.48584,57200
2000-01-31,22.5,22.625,22.25,22.5625,8.48584,50500
2000-02-01,22.6875,22.6875,22.1875,22.25,8.368306,58500
2000-02-02,21.0,21.75,21.0,21.4375,8.062721,287400
2000-02-03,21.5,21.625,21.4375,21.625,8.133241,182900
2000-02-04,21.8125,21.9375,21.5,21.5625,8.109736,60300
2000-02-07,21.625,21.8125,21.5,21.5625,8.109736,34800
2000-02-08,21.625,22.0625,21.625,22.0,8.274280000000001,46200
2000-02-09,22.1875,22.375,21.8125,22.1875,8.344799,55000
2000-02-10,21.625,21.875,21.625,21.75,8.180257000000001,62600
2000-02-11,21.5,21.9375,21.1875,21.25,7.992197999999999,83400
2000-02-14,21.125,21.5625,21.0,21.5625,8.109736,31800
2000-02-15,21.625,21.75,21.25,21.625,8.133241,91200
2000-02-16,21.4375,21.4375,20.5,20.8125,8.016722,60200
2000-02-17,20.6875,21.0625,20.5,20.75,7.99265,58200
2000-02-18,20.625,20.75,20.0625,20.125,7.751904,47000
2000-02-22,20.1875,20.625,20.125,20.625,7.944499,68600
2000-02-23,20.25,20.25,19.625,19.9375,7.679682000000001,64400
2000-02-24,19.875,20.25,19.4375,19.875,7.65561,79200
2000-02-25,19.9375,20.25,19.8125,19.8125,7.631536,141400
2000-02-28,19.875,19.9375,19.5625,19.875,7.65561,57500
2000-02-29,19.6875,20.125,19.6875,20.125,7.751904,121100
2000-03-01,20.0,20.25,19.25,19.25,7.414866,332100
2000-03-02,19.25,19.375,18.9375,19.0625,7.342645,152500
2000-03-03,19.25,19.25,18.875,19.0625,7.342645,134100
2000-03-06,19.25,19.375,19.0,19.3125,7.4389389999999995,74500
2000-03-07,19.0625,19.25,18.8125,19.0,7.318571,52300
2000-03-08,19.0625,19.5625,18.9375,19.5,7.511164999999999,73100
2000-03-09,19.4375,20.0,19.375,19.8125,7.631536,129800
2000-03-10,19.5625,19.75,19.5,19.625,7.559311,197000
2000-03-13,19.5625,19.75,19.375,19.5,7.511164999999999,41200
2000-03-14,19.625,19.625,19.375,19.5,7.511164999999999,49000
2000-03-15,19.5,19.9375,19.4375,19.8125,7.631536,233900
2000-03-16,19.8125,20.1875,19.8125,20.1875,7.775975999999999,36000
2000-03-17,19.9375,20.25,19.9375,20.1875,7.775975999999999,279200
2000-03-20,19.8125,20.1875,19.8125,20.1875,7.775975999999999,45600
2000-03-21,19.9375,20.25,19.75,20.1875,7.775975999999999,58400
2000-03-22,20.3125,20.375,19.9375,20.3125,7.82413,39600
2000-03-23,20.1875,20.1875,19.9375,20.0,7.703755999999999,44400
2000-03-24,20.125,20.375,20.0,20.1875,7.775975999999999,50000
2000-03-27,20.4375,20.4375,20.0,20.125,7.751904,36200
2000-03-28,20.125,20.375,20.0625,20.0625,7.727831,169600
2000-03-29,21.25,21.25,20.4375,20.4375,7.872275,193800
2000-03-30,20.0,20.625,20.0,20.25,7.800056,55800
2000-03-31,20.25,20.75,20.25,20.625,7.944499,97200
2000-04-03,20.625,20.6875,20.3125,20.5625,7.920422,43600
2000-04-04,20.5,20.5,20.125,20.4375,7.872275,98800
2000-04-05,20.3125,20.75,20.25,20.75,7.99265,47100
2000-04-06,20.75,20.875,20.5,20.625,7.944499,88800
2000-04-07,20.5,21.25,20.5,21.25,8.185242,88900
2000-04-10,21.125,22.0,21.125,21.5625,8.305614,96100
2000-04-11,21.5625,21.875,21.375,21.375,8.23339,115400
2000-04-12,21.5,21.75,21.3125,21.4375,8.257463000000001,95500
2000-04-13,21.5625,22.375,21.5625,22.3125,8.594503,183000
2000-04-14,21.875,22.375,21.8125,21.875,8.425983,59400
2000-04-17,21.75,22.1875,21.75,21.9375,8.450058,44400
2000-04-18,21.8125,22.25,21.8125,21.875,8.425983,154300
2000-04-19,22.125,22.5,21.75,22.4375,8.642652,50800
2000-04-20,22.4375,22.4375,22.125,22.1875,8.546355,53500
2000-04-24,22.25,22.25,22.0,22.0,8.474131,27300
2000-04-25,22.0,22.5625,22.0,22.5625,8.690800999999999,57400
2000-04-26,22.5,22.75,22.5,22.625,8.714875,77800
2000-04-27,22.625,23.0,22.5,23.0,8.859323,21000
2000-04-28,23.0,23.1875,22.6875,23.1875,8.93154,123500
2000-05-01,23.25,23.5,23.125,23.5,9.051913,91000
2000-05-02,23.5,24.0,23.375,23.8125,9.172286,103500
2000-05-03,23.8125,24.0625,23.6875,23.8125,9.172286,67000
2000-05-04,23.9375,24.25,23.875,24.0,9.244508,108700
2000-05-05,24.1875,24.25,24.0,24.0,9.244508,50000
2000-05-08,24.0625,24.0625,23.8125,23.875,9.196361,38400
2000-05-09,23.75,24.1875,23.6875,23.9375,9.220436999999999,66500
2000-05-10,23.9375,23.9375,23.625,23.625,9.100063,124000
2000-05-11,23.75,24.0,23.75,24.0,9.244508,14900
2000-05-12,24.0,24.0,23.3125,23.4375,9.027842,130100
2000-05-15,23.4375,23.5,23.1875,23.5,9.051913,22000
2000-05-16,22.75,23.1875,22.625,23.1875,9.129676,76400
2000-05-17,23.125,23.125,22.625,22.75,8.957417999999999,41200
2000-05-18,22.75,22.875,22.0,22.0,8.66212,112300
2000-05-19,21.5,22.1875,21.5,22.0,8.66212,143500
2000-05-22,22.0,22.125,21.9375,22.0,8.66212,42300
2000-05-23,22.9375,22.9375,22.1875,22.25,8.760553999999999,55500
2000-05-24,22.125,22.25,21.6875,22.25,8.760553999999999,27500
2000-05-25,22.25,22.25,21.3125,21.5,8.465251,23800
2000-05-26,21.375,21.875,21.125,21.8125,8.588298,273100
2000-05-30,21.875,22.0,21.5625,21.8125,8.588298,250200
2000-05-31,21.875,21.9375,21.5625,21.8125,8.588298,20400
2000-06-01,21.8125,22.0,21.8125,22.0,8.66212,19200
2000-06-02,21.875,22.0,21.8125,21.875,8.612902,87200
2000-06-05,21.875,22.0,21.8125,21.8125,8.588298,29000
2000-06-06,21.9375,22.0,21.875,21.9375,8.63751,34200
2000-06-07,21.8125,21.9375,21.6875,21.6875,8.539079,86700
2000-06-08,21.75,21.9375,21.6875,21.875,8.612902,18300
2000-06-09,21.75,21.8125,21.625,21.6875,8.539079,49400
2000-06-12,21.5625,21.9375,21.5625,21.875,8.612902,34700
2000-06-13,21.75,22.0,21.6875,22.0,8.66212,129500
2000-06-14,22.0,22.125,21.75,21.8125,8.588298,156200
2000-06-15,21.75,22.0,21.5625,22.0,8.66212,130400
2000-06-16,22.0625,22.0625,21.8125,21.875,8.612902,61800
2000-06-19,22.0,22.0,21.8125,21.9375,8.63751,22700
2000-06-20,21.9375,22.25,21.875,22.1875,8.73594,47200
2000-06-21,22.0625,22.125,21.875,22.0,8.66212,51200
2000-06-22,21.9375,22.125,21.875,21.9375,8.63751,48900
2000-06-23,22.0,22.0,21.8125,21.9375,8.63751,43100
2000-06-26,21.9375,22.0625,21.875,22.0,8.66212,22000
2000-06-27,21.9375,22.1875,21.9375,22.0,8.66212,55100
2000-06-28,22.0,22.1875,21.9375,22.1875,8.73594,182600
2000-06-29,22.1875,22.75,22.125,22.5625,8.883594,70000
2000-06-30,22.5,22.5,22.0625,22.078119,8.692876,118400
2000-07-03,22.0,22.25,22.0,22.25,8.760553999999999,6700
2000-07-05,22.3125,22.5,22.0,22.1875,8.73594,73400
2000-07-06,22.0625,22.875,22.0625,22.875,9.006635000000001,88000
2000-07-07,22.8125,22.8125,22.4375,22.5625,8.883594,57500
2000-07-10,22.4375,22.6875,22.4375,22.5625,8.883594,65300
2000-07-11,22.4375,22.625,22.3125,22.375,8.80977,22200
2000-07-12,22.25,22.875,22.25,22.5,8.858988,131700
2000-07-13,22.375,22.5625,22.375,22.4375,8.834378,24600
2000-07-14,22.6875,22.6875,22.5,22.5,8.858988,120400
2000-07-17,22.4375,22.5,22.375,22.375,8.80977,25500
2000-07-18,22.5,22.625,22.375,22.375,8.80977,315700
2000-07-19,22.625,22.8125,22.5,22.5625,8.883594,29900
2000-07-20,22.6875,23.0,22.5625,22.875,9.006635000000001,85400
2000-07-21,23.0,23.375,22.9375,23.0625,9.080461999999999,92300
2000-07-24,23.0625,23.375,23.0625,23.125,9.105068,118800
2000-07-25,23.0625,23.4375,23.0625,23.25,9.154284,48400
2000-07-26,23.375,23.75,23.3125,23.75,9.351148,110500
2000-07-27,23.875,23.875,23.4375,23.8125,9.375762,38100
2000-07-28,23.875,23.875,23.5,23.5625,9.277325999999999,51200
2000-07-31,23.6875,23.9375,23.5625,23.9375,9.424976,38100
2000-08-01,23.75,24.75,23.5625,24.75,9.744883,120800
2000-08-02,24.75,24.75,24.1875,24.5625,9.67106,50900
2000-08-03,24.375,24.4375,24.1875,24.375,9.597230999999999,94600
2000-08-04,24.375,24.375,23.5,23.625,9.301935,47800
2000-08-07,23.875,23.9375,23.625,23.6875,9.326547,45500
2000-08-08,23.5,23.9375,23.5,23.875,9.400367,71100
2000-08-09,23.625,23.9375,23.5,23.625,9.301935,326100
2000-08-10,23.8125,23.8125,23.3125,23.5,9.252719,111700
2000-08-11,23.5625,23.5625,23.25,23.4375,9.228111,52600
2000-08-14,23.5,23.5,22.375,22.5,8.858988,325400
2000-08-15,22.5,22.5,22.0,22.125,8.711332,277500
2000-08-16,21.8125,22.0625,21.75,21.9375,8.84131,191100
2000-08-17,22.0,22.125,21.75,21.9375,8.84131,166400
2000-08-18,21.75,21.9375,21.6875,21.8125,8.790931,66500
2000-08-21,21.8125,21.875,21.5625,21.75,8.765741,58800
2000-08-22,21.75,21.9375,21.75,21.8125,8.790931,70100
2000-08-23,21.75,21.875,21.6875,21.75,8.765741,76400
2000-08-24,21.4375,21.75,21.1875,21.25,8.564229,183500
2000-08-25,21.0,21.3125,21.0,21.125,8.513853999999998,62200
2000-08-28,21.1875,21.25,20.875,20.9375,8.438289,62800
2000-08-29,21.0,21.125,20.625,20.6875,8.337530000000001,54800
2000-08-30,20.6875,21.25,20.6875,21.25,8.564229,72100
2000-08-31,21.3125,21.375,20.875,20.9375,8.438289,185300
2000-09-01,21.0,21.0,20.625,20.875,8.413096000000001,29900
2000-09-05,20.875,20.875,20.25,20.375,8.211591,93000
2000-09-06,20.375,20.375,20.1875,20.25,8.161211,54400
2000-09-07,20.4375,20.875,20.375,20.875,8.413096000000001,200100
2000-09-08,20.875,21.1875,20.875,21.0625,8.488667,78600
2000-09-11,21.375,21.5,21.125,21.4375,8.639802,103600
2000-09-12,21.3125,21.9375,21.0625,21.875,8.816122,45700
2000-09-13,21.6875,21.6875,21.1875,21.3125,8.589417999999998,44600
2000-09-14,21.375,21.375,21.125,21.3125,8.589417999999998,30500
2000-09-15,21.25,21.25,20.9375,20.9375,8.438289,38100
2000-09-18,21.0,21.0625,20.5,20.5625,8.287154,87800
2000-09-19,20.75,21.375,20.75,21.375,8.614609,47200
2000-09-20,21.1875,21.25,21.0,21.0625,8.488667,49200
2000-09-21,21.0625,21.125,20.875,20.875,8.413096000000001,138100
2000-09-22,20.5,21.5,20.5,21.125,8.513853999999998,85500
2000-09-25,21.0,21.0625,20.75,21.0,8.463479,112700
2000-09-26,21.0,21.5,21.0,21.375,8.614609,172500
2000-09-27,21.25,21.25,20.75,21.1875,8.539043,174400
2000-09-28,21.125,21.5,21.125,21.375,8.614609,278100
2000-09-29,21.4375,21.4375,20.9375,21.25,8.564229,97600
2000-10-02,21.125,21.125,20.6875,20.75,8.36272,87000
2000-10-03,20.75,21.125,20.0,20.125,8.110828999999999,630600
2000-10-04,20.125,20.6875,20.125,20.5,8.261966000000001,48800
2000-10-05,20.4375,20.75,20.4375,20.5625,8.287154,28800
2000-10-06,20.6875,20.6875,20.4375,20.625,8.312344,18300
2000-10-09,20.6875,20.6875,20.375,20.5625,8.287154,25100
2000-10-10,20.5625,20.625,20.375,20.375,8.211591,79800
2000-10-11,20.375,20.5,20.0625,20.4375,8.236778,87100
2000-10-12,20.3125,20.375,20.0,20.1875,8.136021000000001,43000
2000-10-13,20.125,20.3125,19.6875,20.125,8.110828999999999,58600
2000-10-16,20.375,20.625,20.1875,20.5,8.261966000000001,44500
2000-10-17,20.5,20.5625,19.875,20.0,8.060452,94400
2000-10-18,19.75,20.25,19.75,20.125,8.110828999999999,46500
2000-10-19,20.1875,20.4375,20.1875,20.25,8.161211,51900
2000-10-20,20.3125,20.5625,20.3125,20.3125,8.186399,33700
2000-10-23,20.0,20.25,19.9375,19.9375,8.035264,32200
2000-10-24,20.0625,20.0625,19.75,19.75,7.9596979999999995,51100
2000-10-25,19.875,19.875,19.71875,19.8125,7.984888000000001,23700
2000-10-26,19.5625,19.75,19.4375,19.6875,7.93451,133700
2000-10-27,19.5625,20.0,19.5625,20.0,8.060452,19000
2000-10-30,19.875,19.875,19.4375,19.5625,7.884132000000001,51000
2000-10-31,19.5,19.8125,19.5,19.625,7.909321,32900
2000-11-01,19.6875,19.6875,19.375,19.4375,7.833753999999999,47800
2000-11-02,19.625,19.625,19.25,19.3125,7.783376,80000
2000-11-03,19.0625,19.4375,19.0625,19.375,7.808567,114500
2000-11-06,19.5,19.5625,19.125,19.375,7.808567,56900
2000-11-07,19.5,19.875,19.4375,19.8125,7.984888000000001,61800
2000-11-08,19.875,20.3125,19.875,20.125,8.110828999999999,83800
2000-11-09,19.625,20.1875,19.625,20.1875,8.136021000000001,50400
2000-11-10,20.0625,20.0625,18.375,18.4375,7.430732000000001,1014100
2000-11-13,18.5625,18.6875,18.4375,18.625,7.506297999999999,246500
2000-11-14,18.8125,18.8125,18.5,18.75,7.556675,211800
2000-11-15,18.3125,18.8125,18.3125,18.625,7.724645,70400
2000-11-16,18.625,19.0,18.625,18.875,7.828333,229600
2000-11-17,19.0625,19.0625,18.9375,18.9375,7.8542559999999995,130300
2000-11-20,18.8125,19.0625,18.8125,19.0,7.880176,75400
2000-11-21,19.0,19.0625,19.0,19.0625,7.906096000000001,72400
2000-11-22,19.0,19.0625,18.875,19.0,7.880176,88800
2000-11-24,19.0625,19.0625,19.0,19.0625,7.906096000000001,41000
2000-11-27,19.0,19.125,18.875,19.125,7.93202,151800
2000-11-28,19.0625,19.375,19.0625,19.25,7.983863,36900
2000-11-29,19.0,19.25,19.0,19.0625,7.906096000000001,369900
2000-11-30,19.1875,19.5,19.125,19.1875,7.957939,178900
2000-12-01,19.0625,19.375,19.0625,19.125,7.93202,54400
2000-12-04,19.0625,19.1875,19.0625,19.0625,7.906096000000001,42300
2000-12-05,19.0625,19.3125,19.0625,19.3125,8.009787,212300
2000-12-06,19.3125,19.4375,19.1875,19.1875,7.957939,37900
2000-12-07,19.1875,19.4375,19.1875,19.25,7.983863,65600
2000-12-08,19.3125,19.375,19.25,19.3125,8.009787,250200
2000-12-11,19.25,19.875,19.1875,19.875,8.243081,197200
2000-12-12,19.875,20.1875,19.75,19.875,8.243081,59900
2000-12-13,19.875,19.9375,19.5625,19.625,8.139391999999999,63500
2000-12-14,19.625,19.875,19.625,19.8125,8.217155,118000
2000-12-15,19.625,19.8125,19.25,19.8125,8.217155,485100
2000-12-18,19.6875,19.875,19.625,19.75,8.191237,196600
2000-12-19,19.75,20.1875,19.75,19.75,8.191237,150900
2000-12-20,19.75,19.9375,19.5,19.5,8.087549000000001,238100
2000-12-21,19.75,19.75,19.1875,19.375,8.035706,702500
2000-12-22,19.4375,19.5625,19.0,19.1875,7.957939,629000
2000-12-26,19.25,19.4375,19.0,19.4375,8.061628,66600
2000-12-27,19.3125,19.6875,19.1875,19.5,8.087549000000001,69200
2000-12-28,19.375,19.375,19.1875,19.3125,8.009787,98500
