Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,12.875,13.1875,12.5625,13.0625,7.219585,2387900
2000-01-04,12.5625,13.1875,12.5,13.1875,7.288674,3056200
2000-01-05,13.125,13.1875,12.5625,12.75,7.046869999999999,3437100
2000-01-06,12.625,13.1875,12.5625,13.0625,7.219585,3363000
2000-01-07,13.0,13.0625,12.6875,12.6875,7.0123240000000004,2625100
2000-01-10,12.8125,13.4375,12.75,13.0,7.185042999999999,3621600
2000-01-11,12.8125,13.4375,12.75,13.375,7.392305,4106800
2000-01-12,13.1875,13.625,13.0625,13.1875,7.288674,2794200
2000-01-13,13.3125,13.8125,13.25,13.75,7.599563000000001,2752700
2000-01-14,13.5625,13.625,12.875,12.9375,7.150498,3430800
2000-01-18,12.875,13.125,12.5625,12.6875,7.0123240000000004,3009600
2000-01-19,12.75,12.75,12.25,12.5,6.908694000000001,3235200
2000-01-20,12.5625,12.5625,12.1875,12.25,6.770522,2015200
2000-01-21,12.25,12.25,11.75,11.875,6.5632589999999995,3919200
2000-01-24,11.8125,11.9375,11.0,11.0,6.079651999999999,3695800
2000-01-25,11.0,11.4375,10.0625,10.3125,5.699674,5030700
2000-01-26,10.3125,11.5,10.0,11.0625,6.114196,6111200
2000-01-27,11.125,11.4375,10.75,11.0,6.079651999999999,3818800
2000-01-28,10.875,11.125,10.75,10.875,6.010562999999999,2417200
2000-01-31,10.8125,10.875,10.25,10.4375,5.768758999999999,2247900
2000-02-01,10.5625,10.625,10.1875,10.375,5.734217,2680200
2000-02-02,10.4375,11.9375,10.375,11.8125,6.5287180000000005,7499700
2000-02-03,11.75,12.5,10.5,10.875,6.010562999999999,9235000
2000-02-04,11.25,11.8125,10.125,10.75,5.941479,19065800
2000-02-07,10.75,10.875,10.375,10.625,5.87239,5971000
2000-02-08,10.625,10.6875,10.1875,10.4375,5.768758999999999,3840200
2000-02-09,10.5,10.75,10.375,10.75,5.941479,4605000
2000-02-10,10.625,10.875,10.1875,10.25,5.665131,5282800
2000-02-11,11.0,11.0,10.5,10.6875,5.906934,5778400
2000-02-14,11.0,11.4375,10.875,11.375,6.286914,4022900
2000-02-15,11.3125,11.625,10.875,10.9375,6.045108,3752600
2000-02-16,11.0,11.125,10.8125,11.0625,6.114196,2178400
2000-02-17,11.0,11.125,10.5,10.75,5.941479,2622400
2000-02-18,10.625,10.6875,10.375,10.4375,5.768758999999999,2067400
2000-02-22,10.5,10.6875,10.25,10.4375,5.768758999999999,2480100
2000-02-23,10.3125,10.4375,10.125,10.3125,5.699674,2943300
2000-02-24,10.3125,10.3125,9.875,10.0,5.526956,4671700
2000-02-25,9.875,9.9375,9.375,9.6875,5.354238,3546200
2000-02-28,9.5625,9.875,9.3125,9.75,5.388783,2209400
2000-02-29,9.6875,9.9375,9.5625,9.625,5.3196959999999995,2456200
2000-03-01,9.6875,9.75,9.5,9.5625,5.285151,4236800
2000-03-02,9.375,9.625,9.3125,9.5,5.250605999999999,3047300
2000-03-03,9.3125,10.5,9.0625,10.25,5.665131,7644900
2000-03-06,9.8125,10.3125,9.625,9.9375,5.492413,3776400
2000-03-07,10.0,10.0625,9.3125,9.5,5.250605999999999,3601200
2000-03-08,9.3125,9.625,9.0,9.125,5.091583,4732400
2000-03-09,9.125,9.3125,9.0625,9.125,5.091583,3629600
2000-03-10,9.0625,9.1875,8.9375,9.0625,5.056711,4469100
2000-03-13,9.375,10.25,9.375,10.25,5.719314,8510800
2000-03-14,9.9375,10.1875,9.8125,9.875,5.510071,3885700
2000-03-15,10.0,10.5,9.875,10.25,5.719314,5321800
2000-03-16,10.5625,10.5625,10.0625,10.4375,5.823935,4851700
2000-03-17,10.625,10.9375,10.0,10.9375,6.102926,11471500
2000-03-20,11.0,11.1875,10.5,10.875,6.0680510000000005,3739700
2000-03-21,10.875,10.9375,10.375,10.625,5.9285559999999995,2334800
2000-03-22,10.625,10.875,10.25,10.3125,5.754187,1867600
2000-03-23,10.3125,10.5,10.25,10.5,5.858807,3535000
2000-03-24,10.4375,10.625,10.375,10.5,5.858807,3553200
2000-03-27,10.5,10.6875,10.4375,10.5625,5.893682,3667300
2000-03-28,10.3125,10.75,10.1875,10.75,5.998304,2507900
2000-03-29,10.25,10.5625,10.25,10.375,5.78906,2707000
2000-03-30,10.375,10.4375,10.1875,10.3125,5.754187,3379300
2000-03-31,10.4375,10.625,10.375,10.5,5.858807,2947500
2000-04-03,10.875,11.1875,10.6875,10.9375,6.102926,5046300
2000-04-04,11.0,11.0625,10.3125,10.5,5.858807,3641700
2000-04-05,10.5,11.9375,10.375,11.875,6.626035000000001,6464700
2000-04-06,12.0,13.0625,12.0,12.375,6.905022,8169600
2000-04-07,12.5,12.5625,12.0,12.375,6.905022,4601300
2000-04-10,12.375,12.375,11.875,12.0,6.695781,2120400
