Date,Open,High,Low,Close,Adj Close,Volume
2000-10-18,10.0,10.875,9.875,21.5,8.290491000000001,27891200
2000-10-19,11.0,12.0,10.8125,24.0,9.254498,3950200
2000-10-20,11.8125,11.8125,11.0,23.125,8.917092,2456200
2000-10-23,11.5625,11.5625,10.8125,22.0,8.483292,1974600
2000-10-24,11.0,11.125,10.5,22.125,8.53149,1375400
2000-10-25,11.0625,11.625,11.0625,22.9375,8.844797999999999,1068600
2000-10-26,11.46875,11.75,10.90625,23.4375,9.037594,766800
2000-10-27,11.71875,12.0,11.65625,23.9375,9.230395,704200
2000-10-30,11.84375,12.65625,11.8125,24.625,9.495502,750200
2000-10-31,12.1875,13.0,11.4375,25.5,9.832905,2295400
2000-11-01,12.625,12.625,11.8125,23.75,9.158095,612000
2000-11-02,11.8125,11.8125,11.3125,23.0625,8.892994,640600
2000-11-03,11.625,11.625,11.28125,22.9375,8.844797999999999,437200
2000-11-06,11.5625,12.0,11.5625,23.3125,8.989396000000001,400200
2000-11-07,11.59375,11.625,11.1875,23.25,8.965303,256000
2000-11-08,11.625,11.625,11.4375,23.0625,8.892994,209800
2000-11-09,11.46875,11.6875,11.4375,23.0,8.868896000000001,302200
2000-11-10,11.40625,11.40625,11.125,22.5,8.67609,311200
2000-11-13,11.1875,11.46875,11.09375,22.5625,8.700191,341000
2000-11-14,11.5625,11.71875,11.40625,23.4375,9.037594,444200
2000-11-15,12.125,12.21875,12.0,24.375,9.399105,792600
2000-11-16,12.0625,12.125,11.875,23.8125,9.182201,457400
2000-11-17,11.84375,12.125,11.8125,24.125,9.302703,647200
2000-11-20,12.0,12.0625,11.59375,23.3125,8.989396000000001,631600
2000-11-21,11.78125,11.78125,11.53125,23.125,8.917092,291800
2000-11-22,11.4375,11.5,11.25,22.8125,8.796594,332400
2000-11-24,11.5,11.84375,11.5,23.4375,9.037594,59600
2000-11-27,11.78125,11.8125,11.59375,23.5625,9.085797999999999,282400
2000-11-28,11.75,12.0,11.75,23.875,9.206297,462000
2000-11-29,11.9375,12.5,11.9375,25.0,9.640103,277800
2000-11-30,12.375,12.5625,12.125,25.0625,9.664206,1279800
2000-12-01,12.46875,12.625,12.25,24.8125,9.567805,397800
2000-12-04,12.28125,12.625,12.15625,25.25,9.736507000000001,324200
2000-12-05,12.5625,12.8125,12.5,25.25,9.736507000000001,742800
2000-12-06,12.5625,12.8125,12.5,25.3125,9.760605,247000
2000-12-07,12.625,12.78125,12.375,24.9375,9.616006,272600
2000-12-08,12.59375,12.625,11.875,24.875,9.5919,278600
2000-12-11,12.4375,12.84375,12.4375,25.6875,9.905211999999999,185800
2000-12-12,12.78125,12.78125,12.46875,25.125,9.688303,151000
2000-12-13,12.5625,12.78125,12.53125,25.25,9.736507000000001,223000
2000-12-14,12.625,12.6875,12.59375,25.375,9.784703,161400
2000-12-15,12.625,12.71875,12.5625,25.375,9.784703,142600
2000-12-18,12.6875,12.8125,12.59375,25.625,9.881105,141600
2000-12-19,12.75,12.84375,12.625,25.375,9.784703,75800
2000-12-20,12.5625,12.59375,12.40625,25.0625,9.664206,128800
2000-12-21,12.46875,12.46875,11.96875,23.9375,9.230395,127800
2000-12-22,11.84375,12.125,11.75,23.6875,9.133998,336200
2000-12-26,11.9375,12.09375,11.875,24.0625,9.278599,170000
2000-12-27,12.03125,12.65625,12.03125,25.1875,9.712402,232800
2000-12-28,12.59375,13.1875,12.5,26.1875,10.098014,297600
2000-12-29,13.125,13.6875,13.0625,27.0625,10.435412,281000
2001-01-02,13.53125,14.5625,13.4375,28.25,10.893322,217600
2001-01-03,15.0625,16.3125,14.5,31.375,12.09833,1912400
2001-01-04,15.625,15.875,15.25,30.5,11.794758999999999,1029400
2001-01-05,15.125,15.125,14.5,29.6875,11.480555,358600
2001-01-08,14.84375,14.90625,14.65625,29.6875,11.480555,66000
2001-01-09,14.84375,14.84375,14.65625,29.375,11.359709,48400
2001-01-10,14.8125,15.0625,14.71875,29.625,11.456387,78000
2001-01-11,14.5625,14.625,14.1875,29.25,11.311364999999999,754400
2001-01-12,14.5,15.0,14.5,30.0,11.601401,244600
2001-01-16,15.375,15.96875,15.0625,30.1875,11.673914,339400
2001-01-17,15.25,15.46875,15.0625,30.5,11.794758999999999,217200
2001-01-18,15.375,15.5,15.15625,30.8125,11.915606,197600
2001-01-19,15.40625,15.40625,14.4375,29.125,11.263031,179200
2001-01-22,14.5625,14.625,14.25,28.8125,11.142178999999999,295800
2001-01-23,14.375,14.4375,14.0625,28.5,11.021333,580400
2001-01-24,14.1875,14.5,14.1875,28.9375,11.190522,110400
2001-01-25,14.34375,14.65625,14.25,29.3125,11.335542,185000
2001-01-26,14.65625,15.09375,14.53125,30.1875,11.673914,227000
2001-01-29,15.2,15.75,15.1,30.85,11.930111,398600
2001-01-30,15.75,15.95,15.0,31.030001000000002,11.999718,599000
2001-01-31,15.39,15.8,15.255,31.51,12.185343,193400
2001-02-01,15.765,15.86,15.5,31.01,11.991985000000001,117200
2001-02-02,16.0,16.0,15.0,30.0,11.601401,274000
2001-02-05,15.01,15.225,14.75,30.0,11.601401,193000
2001-02-06,15.15,15.65,15.145,30.709999,11.875971,816600
2001-02-07,15.25,15.73,15.25,31.32,12.111864,307200
2001-02-08,15.875,16.025,15.675,32.0,12.374829,947400
2001-02-09,16.5,16.875,16.4,33.369999,12.904625999999999,1119600
2001-02-12,16.775,17.299999,16.365,34.400002,13.302942999999999,957800
2001-02-13,17.450001,17.84,17.25,35.5,13.728326999999998,1246200
2001-02-14,17.745001000000002,17.825001,16.5,33.98,13.140519,779200
2001-02-15,16.99,17.0,16.719998999999998,33.73,13.043845,400600
2001-02-16,16.799999,16.799999,15.65,31.780001000000002,12.28975,549600
2001-02-20,15.89,15.9,14.25,28.75,11.118012,861200
2001-02-21,14.75,15.15,14.75,29.9,11.562731,1560600
2001-02-22,15.0,15.2,14.975,29.99,11.597536999999999,1109200
2001-02-23,15.0,15.0,14.1,28.200001,10.905317,718400
2001-02-26,14.45,15.1,14.45,30.049999,11.620736,452200
2001-02-27,15.0,15.05,14.85,29.9,11.562731,98600
2001-02-28,15.75,16.125,15.05,32.0,12.374829,1111200
2001-03-01,15.875,16.25,15.85,32.349998,12.510177,310000
2001-03-02,16.049999,16.549999,16.049999,32.650002,12.626196,209200
2001-03-05,16.375,16.950001,16.375,33.619999,13.001305,183200
2001-03-06,17.75,17.75,17.049999,34.509997999999996,13.345479999999998,566400
2001-03-07,17.254998999999998,17.254998999999998,16.9,33.900002,13.109585000000001,525000
2001-03-08,17.059998999999998,17.24,17.049999,34.110001000000004,13.190795000000001,377600
2001-03-09,16.934998999999998,16.950001,16.275,33.48,12.947165,748400
2001-03-12,16.74,16.74,16.025,33.0,12.761548,358200
2001-03-13,16.5,16.559998999999998,16.125,32.950001,12.74221,388200
2001-03-14,16.125,16.5,16.025,32.599998,12.606859,499000
2001-03-15,16.35,16.875,16.299999,33.75,13.051578999999998,308600
2001-03-16,16.875,17.5,16.825001,33.68,13.024514,351400
2001-03-19,16.844998999999998,17.1,16.525,33.049999,12.780880999999999,128400
2001-03-20,16.549999,16.75,16.35,33.049999,12.780880999999999,445400
2001-03-21,16.525,16.674999,16.504998999999998,33.189999,12.835017,164800
2001-03-22,16.555,16.775,16.15,33.009997999999996,12.765409,787200
2001-03-23,16.475,16.530001000000002,16.35,33.02,12.769279,86000
2001-03-26,16.799999,17.0,16.325001,34.0,13.148254000000001,540800
2001-03-27,17.0,17.0,16.5,33.25,12.858224,696000
2001-03-28,16.625,16.700001,16.525,33.099998,12.800216,337800
2001-03-29,16.65,17.35,16.625,33.849998,13.090254,518800
2001-03-30,17.25,17.77,17.25,35.459998999999996,13.712857000000001,696200
2001-04-02,17.75,18.35,17.75,35.650002,13.786339000000002,493000
2001-04-03,17.775,17.950001,17.325001,35.02,13.542704999999998,646400
2001-04-04,17.875,17.875,17.6,35.48,13.72059,275600
2001-04-05,17.725,18.4,17.725,36.799999,14.231055,308800
