Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,58.6875,59.3125,56.0,116.5625,39.110465999999995,53228400
2000-01-04,56.78125,58.5625,56.125,112.625,37.789314000000005,54119000
2000-01-05,55.5625,58.1875,54.6875,113.8125,38.187756,64059600
2000-01-06,56.09375,56.9375,54.1875,110.0,36.908543,54976600
2000-01-07,54.3125,56.125,53.65625,111.4375,37.390865000000005,62013600
2000-01-10,56.71875,56.84375,55.6875,112.25,37.663471,44963600
2000-01-11,55.75,57.125,54.34375,109.375,36.698833,46743600
2000-01-12,54.25,54.4375,52.21875,105.8125,35.503502000000005,66532400
2000-01-13,52.1875,54.3125,50.75,107.8125,36.174561,83144000
2000-01-14,53.59375,56.96875,52.875,112.25,37.663471,73416400
2000-01-18,55.90625,58.25,55.875,115.3125,38.691044,81483600
2000-01-19,55.25,55.75,53.0,107.0,35.901932,97568200
2000-01-20,53.53125,54.84375,52.9375,106.0,35.566399,56349800
2000-01-21,53.5,53.625,51.625,103.75,34.811455,68416200
2000-01-24,51.898399,52.84375,50.40625,101.25,33.972640999999996,63597600
2000-01-25,50.5,51.9375,49.78125,102.8125,34.496895,59823200
2000-01-26,51.21875,51.75,49.5625,99.375,33.343491,49365000
2000-01-27,49.945301,50.59375,48.625,98.75,33.133796999999994,63654800
2000-01-28,49.0625,50.125,48.625,98.25,32.966026,58225400
2000-01-31,48.8125,49.09375,47.4375,97.875,32.840206,73194200
2000-02-01,49.25,51.625,48.84375,102.9375,34.538841,70196600
2000-02-02,51.21875,51.96875,50.25,100.8125,33.82584,49915600
2000-02-03,51.03125,52.09375,50.0625,103.625,34.769512,49186000
2000-02-04,52.1875,54.0,52.070301,106.5625,35.755146,55365400
2000-02-07,53.40625,53.4375,52.125,106.625,35.776127,40005800
2000-02-08,53.21875,55.0,53.21875,109.9375,36.887553999999994,56229000
2000-02-09,54.71875,54.71875,51.9375,104.0,34.895344,55090000
2000-02-10,51.945301,53.28125,51.25,106.0,35.566399,54527800
2000-02-11,52.4375,52.4375,49.5625,99.9375,33.532234,115559000
2000-02-14,50.617149,50.875,49.53125,99.625,33.427383,81028600
2000-02-15,49.875,50.0,49.0625,98.5625,33.070877,71027600
2000-02-16,49.625,50.09375,48.5625,97.625,32.756336,65202600
2000-02-17,49.25,49.84375,48.570301,99.625,33.427383,80343400
2000-02-18,50.0,50.03125,47.4375,95.0625,31.896517,79063000
2000-02-22,47.5625,48.5625,46.40625,93.8125,31.477103999999997,66296200
2000-02-23,46.75,47.875,46.03125,94.25,31.623903000000002,75847200
2000-02-24,47.125,47.9375,46.0,94.75,31.791674,69733200
2000-02-25,47.34375,47.351551,45.25,91.3125,30.638278999999997,65301400
2000-02-28,45.125,46.0625,44.0625,91.5625,30.722165999999998,76131800
2000-02-29,45.875,45.875,44.4375,89.375,29.988188,58437400
2000-03-01,44.8125,47.046848,44.46875,90.8125,30.470515999999996,106889800
2000-03-02,45.90625,47.6875,45.5625,93.375,31.33032,106932600
2000-03-03,47.375,49.4375,46.9375,96.125,32.253025,101435200
2000-03-06,48.0,48.6875,45.0625,90.625,30.40761,93609400
2000-03-07,48.0625,48.75,45.96875,92.875,31.162553999999997,135061000
2000-03-08,46.90625,48.09375,45.5,95.5625,32.064289,94290000
2000-03-09,47.65625,50.0,47.5,100.0,33.553219,88198800
2000-03-10,49.78125,51.25,49.75,101.0,33.888752000000004,85589000
2000-03-13,48.8125,50.125,48.75,98.0,32.882145,61831800
2000-03-14,49.3125,49.625,47.5625,95.125,31.917496000000003,73489200
2000-03-15,47.28125,48.3125,46.84375,95.375,32.001381,53208000
2000-03-16,47.96875,48.34375,46.625,95.375,32.001381,77300800
2000-03-17,47.625,49.75,47.25,99.375,33.343491,81161600
2000-03-20,49.375,49.875,48.25,97.375,32.672462,47773000
2000-03-21,48.375,51.5625,48.25,102.75,34.475914,81648800
2000-03-22,51.40625,52.8125,50.5625,103.25,34.643703,93975800
2000-03-23,53.40625,56.4375,53.3125,111.875,37.537665999999994,148224000
2000-03-24,56.3125,57.5,54.78125,111.6875,37.474747,112196800
2000-03-27,53.882801,54.125,51.96875,104.0625,34.916306,111434000
2000-03-28,51.8125,53.71875,51.1875,104.3125,35.000178999999996,81114400
2000-03-29,52.59375,54.46875,52.5625,107.1875,35.964844,64363800
2000-03-30,53.09375,54.3125,51.25,103.375,34.685642,64178400
2000-03-31,53.0,54.125,52.0625,106.25,35.65028,64281400
2000-04-03,47.21875,48.25,45.0,90.875,30.491486,260118200
2000-04-04,45.78125,46.0,42.46875,88.5625,29.715571999999998,181244400
2000-04-05,44.125,44.25,42.9375,86.375,28.981581,82887600
2000-04-06,43.9375,44.0,42.632801,86.0,28.855755,66421400
2000-04-07,43.5,44.6875,42.5,89.0625,29.883321999999996,82613600
2000-04-10,44.3125,44.3125,43.0,86.0625,28.876732,60685400
2000-04-11,42.5625,43.03125,41.75,83.875,28.142752,71961800
2000-04-12,41.0625,41.125,39.375,79.375,26.632864,153003800
2000-04-13,40.4375,41.125,39.5,79.25,26.590909999999997,94316200
2000-04-14,39.5625,39.75,36.625,74.125,24.871323,151217800
2000-04-17,37.125,38.0,36.5,75.875,25.458498000000002,119772200
2000-04-18,38.25,40.96875,37.9375,80.5625,27.031298,91794600
2000-04-19,40.71875,40.75,39.0625,78.6875,26.402182,53715400
2000-04-20,39.3125,39.9375,38.75,78.9375,26.486063,52387400
2000-04-24,33.625,34.0,32.5,66.625,22.354828,313645800
2000-04-25,34.375,34.75,33.8125,69.375,23.277542,159517400
2000-04-26,35.0,35.5625,33.6875,68.0,22.816181,107091200
2000-04-27,33.71875,34.96875,33.6875,69.8125,23.424339,77669800
2000-04-28,35.375,35.5,34.125,69.75,23.403368,78082600
2000-05-01,36.4375,37.0,35.84375,73.4375,24.640635999999997,107811000
2000-05-02,36.40625,36.75,34.75,69.875,23.445303,97716200
2000-05-03,35.1875,35.40625,34.40625,70.5625,23.675987,55354800
2000-05-04,35.15625,35.625,34.65625,70.4375,23.634043,43317200
2000-05-05,35.125,35.90625,34.9375,71.125,23.864721,36402200
2000-05-08,35.46875,35.6875,34.84375,69.8125,23.424339,36187600
2000-05-09,35.09375,35.21875,33.75,67.8125,22.753275,60778400
2000-05-10,33.875,33.9375,32.875,66.1875,22.208036,67740000
2000-05-11,33.3125,34.0625,32.875,67.875,22.774242,58390800
2000-05-12,34.21875,34.875,34.125,68.8125,23.088804,37886000
2000-05-15,34.5,34.71875,34.0,69.375,23.277542,33899600
2000-05-16,34.78125,35.3125,34.53125,69.5,23.31949,48410600
2000-05-17,34.4375,34.5625,33.625,67.6875,22.71133,53242000
2000-05-18,34.03125,34.03125,32.9375,66.1875,22.208036,53640400
