Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,31.15625,31.296875,27.90625,118.125,26.896469,98114800
2000-01-04,28.875,29.65625,26.25,107.6875,24.519904999999998,116824800
2000-01-05,25.40625,26.59375,24.0,102.0,23.224892,166054000
2000-01-06,25.039049,26.25,23.671875,96.0,21.858723,109880000
2000-01-07,23.75,25.875,23.390625,103.375,23.537971,91755600
2000-01-10,27.0,29.0,26.375,115.75,26.3557,91518000
2000-01-11,28.15625,28.6875,27.375,112.375,25.587221,86585200
2000-01-12,28.0625,28.0625,25.921875,105.625,24.050283,83443600
2000-01-13,27.125,27.46875,25.875,105.0625,23.922207,55779200
2000-01-14,27.25,27.84375,26.1875,106.8125,24.320667,57078000
2000-01-18,26.96875,28.625,26.40625,111.25,25.331066,66780000
2000-01-19,28.0625,29.125,27.0,57.125,26.014151000000002,49198400
2000-01-20,29.5,30.125,29.0625,59.25,26.981857,54526800
2000-01-21,30.75,30.75,29.5,59.6875,27.181089,50891000
2000-01-24,30.125,30.1875,27.0,54.1875,24.676447,50022400
2000-01-25,27.53125,28.75,27.4375,56.4375,25.701075,53059200
2000-01-26,28.375,29.46875,27.5,55.0625,25.074913000000002,47569200
2000-01-27,27.90625,28.34375,25.0,51.8125,23.594891,61054000
2000-01-28,25.75,25.96875,23.3125,47.375,21.574095,86394000
2000-01-31,23.96875,25.0625,23.53125,49.953098,22.748142,68148000
2000-02-01,25.625,27.15625,25.0,54.0,24.591061,57105600
2000-02-02,27.46875,28.0,27.0,54.3125,24.733364,63933000
2000-02-03,27.6875,28.5,27.125,56.6875,25.81492,55533200
2000-02-04,28.8125,29.125,28.40625,57.8125,26.327234000000004,40916000
2000-02-07,29.65625,30.0,29.4375,59.9375,27.294937,44691200
2000-02-08,30.375,30.71875,29.5,59.5625,27.124168,55718000
2000-02-09,30.03125,30.65625,29.40625,59.9375,27.294937,52471600
2000-02-10,30.0,31.3125,29.0,62.3125,28.376492,45288600
2000-02-11,31.25,32.375,29.375,59.6875,27.181089,55774000
2000-02-14,30.4375,31.125,29.3125,62.1875,28.319561,37599800
2000-02-15,30.8125,31.59375,29.5625,61.375,27.949559999999998,47971400
2000-02-16,30.5,31.28125,30.0625,61.25,27.892640999999998,33489200
2000-02-17,30.875,31.375,30.0,61.625,28.063409999999998,40392600
2000-02-18,30.84375,31.0,29.1875,58.5625,26.668776,63888400
2000-02-22,29.5625,30.71875,28.15625,59.3125,27.010324,75546200
2000-02-23,30.09375,31.632799,29.8125,63.0625,28.718027000000003,69664400
2000-02-24,31.59375,32.53125,30.125,61.9375,28.205717,70963200
2000-02-25,30.9375,35.5,30.9375,70.625,32.161926,103186600
2000-02-28,35.625,38.25,34.125,68.625,31.251147999999997,122316600
2000-02-29,36.6875,37.21875,35.5625,74.25,33.812706,55586400
2000-03-01,36.875,37.25,35.375,71.5,32.560383,44934400
2000-03-02,36.75,36.78125,33.9375,68.5,31.194222999999997,52311000
2000-03-03,35.5625,37.5625,35.085899,75.0,34.154251,47974400
2000-03-06,37.40625,38.46875,36.1875,75.75,34.495792,45520600
