Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,26.66667,26.75,24.91667,40.000004,16.46467,3018300
2000-01-04,25.375,27.0,24.16667,37.000004,15.229822,2965600
2000-01-05,24.75,26.5,24.66667,39.1875,16.130236,4059300
2000-01-06,26.0,27.375,25.66667,40.624996,16.721928,2601600
2000-01-07,27.04167,27.625,26.25,41.4375,17.056364000000002,1896600
2000-01-10,28.0,28.41667,27.25,42.124996,17.339354,2195500
2000-01-11,27.5,28.25,26.875,40.750004,16.773386,2090800
2000-01-12,27.08333,27.83333,26.41667,40.187504,16.541851,1555200
2000-01-13,26.83333,28.33333,26.79167,42.375,17.442257,2140600
2000-01-14,28.5,31.33333,28.45833,45.375,18.677108999999998,4524000
2000-01-18,29.91667,30.875,29.5,45.0,18.522751,3027900
2000-01-19,30.04167,30.54167,29.0,45.625004,18.78002,1935700
2000-01-20,30.66667,31.91667,29.875,46.3125,19.063001999999997,2332900
2000-01-21,31.25,31.25,30.25,45.812504,18.857198999999998,2760400
2000-01-24,30.45833,30.5,26.95833,40.562504,16.696203,3122800
2000-01-25,27.33333,28.75,26.08333,43.000004,17.699524,9579100
2000-01-26,28.70833,29.66667,28.5,42.9375,17.673792000000002,3158800
2000-01-27,28.75,28.79167,27.41667,43.062496,17.725245,2693500
2000-01-28,28.5,29.41667,27.75,42.0,17.324106,1881700
2000-01-31,28.04167,29.375,28.0,44.0625,18.174849,2032300
2000-02-01,29.33333,29.91667,28.5,43.999996,18.149071,2161600
2000-02-02,29.33333,29.45833,28.33333,43.750004,18.045956,1418800
2000-02-03,29.125,29.375,28.0,43.125,17.788153,2057400
2000-02-04,29.08333,29.41667,28.08333,42.499996,17.53035,1588000
2000-02-07,28.25,28.70833,27.875,42.75,17.633469,1014300
2000-02-08,28.79167,28.95833,28.08333,42.625004,17.581915,1663300
2000-02-09,28.16667,28.41667,27.66667,41.500004,17.117876000000003,1832200
2000-02-10,27.75,29.875,27.625,44.25,18.252195,1975800
2000-02-11,29.45833,30.625,28.16667,42.625004,17.581915,2627100
2000-02-14,28.66667,31.41667,28.41667,46.5,19.180267,2310700
2000-02-15,30.70833,31.0,29.125,46.375004,19.128708,3150000
2000-02-16,30.83333,30.95833,30.0,45.75,18.870911,1566900
2000-02-17,30.95833,32.416672,30.0,48.499992,20.005224,2097900
2000-02-18,32.041672,32.083328,30.33333,45.625004,18.819349,2318100
2000-02-22,30.45833,31.45833,29.125,46.375004,19.128708,1938900
2000-02-23,30.83333,33.375,30.75,49.375008,20.366144,2597500
2000-02-24,32.916672,34.25,30.0,51.1875,21.113751999999998,3600700
2000-02-25,33.833328,33.833328,31.125,47.562496,19.618515,2641600
2000-02-28,31.75,34.25,31.41667,50.25,20.72706,3538000
2000-02-29,33.5,33.520828,32.333328,50.0625,20.649721,2339500
2000-03-01,33.125,33.166672,31.875,48.499992,20.005224,2336700
2000-03-02,32.0,32.333328,30.875,47.875004,19.747431,1984800
2000-03-03,32.041672,33.458328,31.66667,48.9375,20.185682,3367900
2000-03-06,32.25,33.333328,32.0,49.875,20.57238,1613500
2000-03-07,33.333328,33.416672,32.0,48.1875,19.876329000000002,1978600
2000-03-08,32.125,33.166672,30.79167,48.9375,20.185682,2280300
2000-03-09,32.333328,33.5,32.0,49.875,20.57238,1756000
2000-03-10,33.208328,34.625,33.0,50.875008,20.984869,1523500
2000-03-13,33.291672,34.625,32.333328,48.874992,20.159906,2011800
2000-03-14,32.583328,34.0,32.416672,48.812508,20.134119000000002,1539300
2000-03-15,32.416672,34.125,31.66667,49.437492,20.391916000000002,2088600
2000-03-16,33.375,33.666672,30.125,47.187496,19.463844,5051500
2000-03-17,30.66667,34.125,30.58333,50.687508,20.907526,4452900
2000-03-20,33.375,34.583328,33.166672,50.0625,20.649721,2314500
2000-03-21,33.916672,36.625,33.625,53.312507999999994,21.990278,6167400
2000-03-22,35.916672,36.0,34.708328,52.999992000000006,21.861366,3449400
2000-03-23,35.083328,35.666672,34.875,52.875,21.809824,2159800
2000-03-24,35.458328,36.322922,33.875,51.499992,21.242655,2931300
2000-03-27,34.291672,36.25,34.208328,52.750007999999994,21.758266,2015400
2000-03-28,34.958328,35.958328,34.583328,52.125,21.500462,1834800
2000-03-29,34.916672,36.166672,34.833328,52.937507999999994,21.8356,2579800
2000-03-30,35.208328,36.572922,35.0,52.812492000000006,21.784032999999997,4446300
2000-03-31,35.5,35.75,33.833328,52.375008,21.603579,3109800
2000-04-03,34.833328,35.916672,34.833328,52.562507999999994,21.680922,3810600
2000-04-04,35.041672,35.541672,31.125,51.062508,21.062201,7871400
2000-04-05,33.5,34.333328,31.33333,49.5,20.417704,3168300
2000-04-06,33.291672,34.083328,32.291672,51.0,21.03643,2775100
2000-04-07,33.958328,34.416672,33.291672,51.375,21.191103,2421600
2000-04-10,34.041672,34.083328,31.75,48.5625,20.031004,2214000
2000-04-11,32.25,35.166672,32.208328,51.1875,21.113751999999998,2644300
2000-04-12,33.041672,36.291672,32.916672,52.812492000000006,21.784032999999997,4621000
2000-04-13,35.541672,36.708328,34.833328,53.374992000000006,22.016064,4144600
2000-04-14,35.25,36.791672,31.25,47.8125,19.721643,4652100
2000-04-17,31.66667,33.666672,31.66667,50.4375,20.804405,4426200
2000-04-18,33.708328,35.333328,32.666672,50.187492,20.701279,2535600
2000-04-19,33.0,33.333328,32.375,48.625008,20.056787,1999600
2000-04-20,32.583328,34.5,32.333328,50.749992,20.933294,3027700
2000-04-24,33.520828,34.78125,33.25,52.062492,21.474674,3512100
2000-04-25,34.833328,37.0,34.583328,55.3125,22.815241,2857800
2000-04-26,36.666672,36.666672,34.020828,51.874992,21.397345,3269400
2000-04-27,34.083328,36.166672,33.666672,53.125007999999994,21.951023,2113000
2000-04-28,35.458328,35.458328,33.333328,52.624992000000006,21.744423,2823000
2000-05-01,35.291672,35.416672,33.25,50.234367,20.756622,3375600
2000-05-02,33.833328,33.833328,31.41667,47.312504,19.549324,3670600
2000-05-03,31.66667,38.25,29.29167,47.937496,19.807571,4966500
2000-05-04,32.083328,32.333328,30.0,45.250004,18.697115,2230500
2000-05-05,30.29167,32.333328,30.0,47.374996,19.575142,2445100
2000-05-08,31.33333,31.41667,30.04167,45.625004,18.85206,1657900
2000-05-09,30.875,31.29167,29.91667,45.062504,18.619631,1862800
2000-05-10,30.0,31.33333,29.5,44.312504,18.309744,1767000
2000-05-11,30.83333,32.666672,30.0,48.5625,20.065815,1996500
2000-05-12,32.541672,32.75,31.04167,47.374996,19.575142,1440300
2000-05-15,31.45833,32.333328,30.75,48.0,19.833395,1131600
2000-05-16,32.25,32.708328,31.375,48.250008,19.936691,1885900
2000-05-17,32.625,32.625,31.125,47.125004,19.471848,1259400
2000-05-18,31.58333,32.166672,30.41667,46.125,19.058651,1490800
2000-05-19,30.08333,31.33333,30.0,45.250004,18.697115,1481500
2000-05-22,30.375,31.04167,28.66667,45.9375,18.981173000000002,3205800
2000-05-23,31.5,32.0,30.3125,30.9375,19.174864000000003,2455800
2000-05-24,31.4375,34.0,31.0,33.125,20.530664,3391300
2000-05-25,32.875,34.75,32.8125,33.25,20.608141,2885300
2000-05-26,33.6875,34.875,33.375,34.5,21.382873999999997,2412900
2000-05-30,34.875,35.75,34.5,35.6875,22.118883,3020200
2000-05-31,35.625,36.25,34.6875,35.0,21.692776000000002,1669500
2000-06-01,35.1875,40.375,35.0,40.0,24.791726999999998,4515600
2000-06-02,39.8125,40.5,36.5,38.0,23.55216,3108900
2000-06-05,37.875,39.6875,36.875,37.8125,23.435947,1736000
2000-06-06,38.25,38.4375,35.9375,36.25,22.467516,1863100
2000-06-07,36.09375,37.75,35.625,37.6875,23.358467,1310300
2000-06-08,37.25,37.25,35.625,36.125,22.390039,1191400
2000-06-09,36.9375,37.4375,36.25,37.3125,23.126049,1157000
2000-06-12,35.75,37.625,35.4375,36.125,22.390039,1436600
2000-06-13,36.1875,37.625,35.75,37.5625,23.281,1651400
2000-06-14,37.5625,39.171879,37.25,38.5625,23.900791,2310200
2000-06-15,38.4375,40.4375,37.0625,40.0,24.791726999999998,3056600
2000-06-16,40.3125,43.25,39.828121,42.0625,26.070063,5902600
2000-06-19,41.25,43.375,39.25,42.625,26.418701000000002,2646900
2000-06-20,42.0625,43.9375,41.25,42.0,26.031323999999998,1705800
2000-06-21,40.59375,44.25,40.5625,43.0625,26.689857,2289300
2000-06-22,42.6875,43.0,39.25,40.0625,24.830482,3024600
2000-06-23,39.1875,39.1875,36.75,37.8125,23.435947,3006300
2000-06-26,39.0,40.5,38.0625,40.4375,25.062901,2031500
2000-06-27,40.5625,42.0,40.5625,41.4375,25.68269,2269700
2000-06-28,41.53125,42.0,40.6875,41.6875,25.837641,1866600
2000-06-29,40.5625,40.75,39.0,39.125,24.249423999999998,2324600
2000-06-30,39.5625,42.0,39.5,42.0,26.031323999999998,2408500
2000-07-03,41.3125,42.25,41.25,41.5625,25.760164000000003,609400
2000-07-05,41.625,41.9375,40.125,40.6875,25.217854,1482000
2000-07-06,40.875,42.0625,40.6875,42.0625,26.070063,2212100
2000-07-07,42.0625,42.9375,41.625,41.75,25.87639,2000400
2000-07-10,41.625,42.75,41.5625,41.625,25.798903,1443300
2000-07-11,42.375,43.625,42.25,42.875,26.57365,1855200
2000-07-12,43.4375,44.0,42.875,43.5625,26.99976,2251200
2000-07-13,43.5,43.625,41.75,42.6875,26.457435999999998,2445200
2000-07-14,42.6875,43.0,41.5625,42.625,26.418701000000002,1699300
2000-07-17,42.625,42.625,41.5,41.5625,25.760164000000003,1630300
2000-07-18,41.9375,42.4375,41.5,41.875,25.953856,1253800
2000-07-19,41.96875,42.75,41.8125,42.0625,26.070063,812300
2000-07-20,42.25,43.5625,42.0625,43.3125,26.844807,1359400
2000-07-21,42.8125,45.4375,42.3125,43.25,26.806061,2898800
2000-07-24,43.75,45.625,43.640621,45.0625,27.929453000000002,1947600
2000-07-25,45.0625,45.625,43.75,44.0,27.270915999999996,1742200
2000-07-26,43.875,46.1875,43.375,44.875,27.813247999999998,2401000
2000-07-27,45.25,46.125,44.5,44.6875,27.697020000000002,1291600
2000-07-28,45.125,45.8125,43.0625,43.25,26.842104,1296600
2000-07-31,43.8125,45.875,43.25,45.75,28.393679,2106000
2000-08-01,45.375,45.9375,44.5,44.9375,27.889415999999997,1664400
2000-08-02,45.5625,46.3125,43.6875,43.8125,27.191219,1234600
2000-08-03,44.125,45.40625,43.5625,45.0625,27.967001,2142600
2000-08-04,45.4375,45.875,44.5,45.625,28.316098999999998,1320800
2000-08-07,45.75,47.625,45.0,46.9375,29.130667,1828400
2000-08-08,46.375,46.875,45.5625,46.125,28.626419,1432300
2000-08-09,46.4375,47.25,46.0,46.5,28.859159000000002,1059600
2000-08-10,46.875,46.875,45.0,45.0,27.928205,2337300
2000-08-11,45.25,46.75,44.5,45.0625,27.967001,2366300
2000-08-14,44.3125,44.6875,43.375,44.6875,27.734268,1712500
2000-08-15,44.4375,45.0,43.25,44.375,27.540322999999997,1061100
2000-08-16,44.3125,45.0,43.5,43.75,27.15243,894800
2000-08-17,43.671879,45.0,43.5625,44.6875,27.734268,1177300
2000-08-18,44.625,44.75,43.0625,44.1875,27.423954,1372400
2000-08-21,44.1875,45.25,43.6875,44.75,27.773058000000002,1257200
2000-08-22,44.53125,46.0625,44.5,45.4375,28.199738,1278300
2000-08-23,45.5,45.5,44.0625,44.5625,27.656683,1747000
2000-08-24,44.6875,44.71875,43.25,44.125,27.385165999999998,1131900
2000-08-25,43.96875,44.375,42.4375,42.875,26.609371000000003,1414700
2000-08-28,43.0,43.0,39.9375,40.0625,24.863861,3061900
2000-08-29,41.0,42.125,39.875,41.4375,25.717223999999998,2553700
2000-08-30,40.5625,44.0,40.375,43.9375,27.268798999999998,3383400
2000-08-31,44.0625,45.1875,43.625,44.625,27.695482000000002,2293000
2000-09-01,45.0625,45.375,43.0,43.75,27.15243,1100200
2000-09-05,43.75,44.375,43.5,43.5,26.997266999999997,845900
2000-09-06,43.5625,44.5,42.75,42.8125,26.570589000000002,1091000
2000-09-07,43.25,43.5625,42.375,42.75,26.531796999999997,1210600
2000-09-08,42.1875,42.3125,40.5,41.625,25.833595000000003,1350900
2000-09-11,41.5,42.75,41.25,41.75,25.911184,1173800
2000-09-12,41.6875,43.8125,41.625,43.0625,26.725741999999997,1288800
2000-09-13,42.8125,44.5625,42.75,43.6875,27.113636,1339600
2000-09-14,43.8125,44.1875,42.5,42.9375,26.648169,918900
2000-09-15,42.9375,44.8125,42.6875,44.125,27.385165999999998,3058900
2000-09-18,44.125,45.0,42.625,43.1875,26.803328000000004,1388200
2000-09-19,43.75,45.0,43.5,44.8125,27.811847999999998,1018700
2000-09-20,44.75,45.0,43.0,43.5625,27.036049,1922300
2000-09-21,43.71875,46.703121,43.6875,46.5,28.859159000000002,2719500
2000-09-22,45.25,47.5,45.0,47.0,29.16947,1959100
2000-09-25,47.125,49.375,46.75,48.5625,30.139196000000002,3012500
2000-09-26,48.6875,52.125,48.1875,51.4375,31.923494,2873300
2000-09-27,51.171879,53.5625,50.25,53.375,33.125954,3201200
2000-09-28,53.671879000000004,55.9375,51.875,52.4375,32.544125,3562200
2000-09-29,52.4375,54.4375,50.625,52.5,32.582901,2052800
2000-10-02,52.875,52.875,51.1875,51.625,32.039864,2852600
2000-10-03,52.0,53.75,51.0,51.125,31.729536,1581400
2000-10-04,51.6875,52.125,51.125,51.6875,32.078651,2564600
2000-10-05,51.5625,52.5625,50.75,51.4375,31.923494,2585500
2000-10-06,51.84375,52.375,50.375,50.9375,31.613178,2242000
2000-10-09,51.0625,52.75,51.0,51.375,31.884708000000003,1704700
2000-10-10,51.5625,51.5625,49.25,49.5625,30.759825,2685000
2000-10-11,49.0625,50.5625,48.25,49.75,30.876183,3272300
2000-10-12,50.25,50.25,47.75,48.4375,30.061609000000004,3116100
2000-10-13,48.5625,49.5,47.25,47.875,29.712503,3020300
2000-10-16,48.5,51.75,47.625,50.8125,31.535595,2757000
2000-10-17,51.4375,51.875,49.375,50.625,31.419237,1295900
2000-10-18,49.5625,51.359379,48.5625,49.5,30.721027000000003,2114900
2000-10-19,50.375,51.375,48.75,50.625,31.419237,2237900
2000-10-20,51.0,51.8125,49.8125,50.0,31.031345,2357300
2000-10-23,50.5,50.6875,49.625,49.8125,30.914976,1789100
2000-10-24,50.625,54.4375,50.375,53.0,32.893238000000004,2598400
2000-10-25,53.25,55.0,52.25,54.8125,34.018108000000005,2482000
2000-10-26,54.25,55.625,50.0,51.25,31.807121000000002,3850000
2000-10-27,51.4375,54.6875,51.375,53.6875,33.319916,2223200
2000-10-30,53.9375,59.4375,53.875,58.25,36.212231,3961000
2000-10-31,58.4375,61.0,54.4375,56.6875,35.24086,4126900
2000-11-01,55.5625,56.0,53.0625,53.9375,33.531284,2518600
2000-11-02,54.25,56.4375,54.125,55.9375,34.77462,3364100
2000-11-03,56.5625,56.75,54.8125,55.0625,34.230647999999995,1797300
2000-11-06,55.1875,55.75,54.125,54.75,34.036392,1368500
2000-11-07,54.8125,56.4375,53.5625,56.25,34.968891,2963000
2000-11-08,56.3125,56.8125,53.75,53.9375,33.531284,1314800
2000-11-09,53.8125,55.375,53.5,55.125,34.269505,1450000
2000-11-10,55.1875,57.3125,55.0,55.1875,34.308353000000004,2275000
2000-11-13,55.0,58.5,54.75,56.6875,35.24086,2225700
2000-11-14,57.4375,58.0625,55.5,56.6875,35.24086,2027400
2000-11-15,56.75,57.5625,55.5,57.1875,35.551693,1439500
2000-11-16,57.0,58.3125,56.625,57.3125,35.62941,1214700
2000-11-17,57.3125,58.6875,54.8125,55.9375,34.77462,2289300
2000-11-20,55.875,59.5,55.75,59.4375,36.950455,2832300
2000-11-21,59.5625,61.25,57.625,59.6875,37.105869,3710800
2000-11-22,58.75,60.25,57.625,57.875,35.979092,1954500
2000-11-24,58.75,59.0625,58.25,58.9375,36.639618,497100
2000-11-27,59.25,60.0,58.3125,58.75,36.523064,1607800
2000-11-28,58.53125,59.125,57.25,57.40625,35.687698,2473300
2000-11-29,57.625,59.75,57.3125,59.375,36.911609999999996,2736400
2000-11-30,58.5625,59.875,56.0,58.125,36.134514,5161500
2000-12-01,58.625,58.625,51.375,52.5625,32.676483000000005,5696000
2000-12-04,50.9375,51.0,44.875,46.5625,28.946465999999997,10131900
2000-12-05,46.8125,49.0625,43.25,44.125,27.431146999999996,7840400
2000-12-06,44.0,46.75,43.5,43.75,27.198023,4732100
2000-12-07,43.5625,47.25,43.25,44.875,27.897398,4164500
2000-12-08,46.5,48.5,45.75,46.875,29.140732,2545100
2000-12-11,44.8125,45.375,41.75,43.6875,27.159166,5581600
2000-12-12,44.0,44.0,42.0,42.1875,26.226658,3556800
2000-12-13,43.6875,45.75,41.875,43.125,26.809471000000002,2142900
2000-12-14,42.875,45.25,41.25,41.25,25.643854,1829400
2000-12-15,40.0,40.6875,36.75,39.0,24.245094,10793500
2000-12-18,39.9375,42.0625,39.375,40.8125,25.371862,3372600
2000-12-19,41.5625,43.9375,41.125,41.875,26.032391,2710600
2000-12-20,42.0,44.25,41.25,42.0625,26.148951,3010900
2000-12-21,42.3125,49.5625,42.0,46.875,29.140732,3463300
2000-12-22,48.25,50.75,48.0,50.5625,31.433135999999998,3185000
2000-12-26,49.8125,51.8125,49.75,50.5625,31.433135999999998,1585600
2000-12-27,51.5,52.8125,50.875,51.0625,31.743984,2278000
2000-12-28,50.3125,51.6875,49.375,50.875,31.627419,1536000
2000-12-29,50.9375,51.75,48.5625,48.625,30.228651,2053500
2001-01-02,49.6875,50.4375,44.9375,45.6875,28.402502000000002,2479000
2001-01-03,46.0,51.0,45.9375,48.625,30.228651,3962500
2001-01-04,48.375,48.5,45.0625,45.3125,28.16938,4773400
2001-01-05,45.5625,48.5,43.875,44.6875,27.780832,3120600
2001-01-08,44.9375,47.75,44.8125,46.4375,28.868761,2379100
2001-01-09,47.0,50.25,46.625,48.5625,30.189806,2602500
2001-01-10,47.21875,48.0,45.0,47.375,29.451571,2972700
2001-01-11,48.0,49.0,47.25,47.9375,29.801262,1397700
2001-01-12,48.1875,48.9375,46.625,48.5,30.150957000000002,2022200
2001-01-16,48.375,48.875,46.75,47.375,29.451571,1614600
2001-01-17,48.5,49.5,47.5,47.75,29.684689000000002,1762100
2001-01-18,47.984379,49.25,47.5,48.625,30.228651,2002000
2001-01-19,48.5,48.5,46.0625,46.5,28.907602,2241100
2001-01-22,46.1875,46.5,44.9375,45.75,28.441357,2539300
2001-01-23,46.0,46.875,45.0625,46.5,28.907602,1923100
2001-01-24,46.75,46.875,44.9375,45.5625,28.324803999999997,2874100
2001-01-25,45.6875,46.0625,44.1875,44.5,27.664268,2897100
2001-01-26,44.75,46.5,44.25,45.6875,28.402502000000002,1788300
2001-01-29,45.75,46.375,45.25,45.875,28.519066,1426400
2001-01-30,46.109379,46.125,44.375,45.25,28.185827000000003,1487000
2001-01-31,45.375,45.625,44.125,45.125,28.107954,1823700
2001-02-01,45.125,45.125,41.3125,41.4375,25.811045,5388600
2001-02-02,42.125,42.25,39.375,39.625,24.682064,5999300
2001-02-05,40.0625,40.6875,39.375,39.875,24.837778,4216600
2001-02-06,40.0,42.75,39.5625,40.75,25.382813,2857600
