Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,10.78125,10.78125,10.1875,42.25,9.305613000000001,486400
2000-01-04,10.34375,10.5625,9.75,40.125,8.837578,978000
2000-01-05,10.0,11.625,9.78125,44.75,9.85624,1167200
2000-01-06,11.1875,11.5,10.9375,44.625,9.828708,853600
2000-01-07,11.125,11.359375,10.953125,45.25,9.966366,968800
2000-01-10,11.4375,11.5625,11.0,45.7187,10.069599,478400
2000-01-11,11.25,11.5,11.25,45.375,9.993898,212000
2000-01-12,11.34375,11.375,11.0625,44.5,9.801179,255600
2000-01-13,11.09375,12.0625,11.09375,48.0,10.572057000000001,1343200
2000-01-14,12.0,12.0,11.65625,46.75,10.296744,554000
2000-01-18,11.6328,11.75,11.1875,47.0,10.351806,346800
2000-01-19,11.65625,11.71875,11.578125,46.5,10.241679,456000
2000-01-20,11.5703,11.65625,11.3125,46.0,10.131554,416800
2000-01-21,11.578125,12.0,11.46875,46.8125,10.310509,524400
2000-01-24,11.71875,11.875,11.453125,45.8125,10.09026,626800
2000-01-25,11.625,11.71875,11.4375,46.875,10.324274,391600
2000-01-26,11.734375,11.839825,11.4375,46.125,10.159086,611600
2000-01-27,11.53125,11.640625,11.4375,46.3125,10.200387,632400
2000-01-28,11.515625,11.671875,11.0039,44.0625,9.704818,344400
2000-01-31,11.03125,11.5,10.75,43.5625,9.594695,534400
2000-02-01,11.0,11.0,10.59375,42.6875,9.401973,716400
2000-02-02,10.75,11.6875,10.5,44.125,9.718581,728800
2000-02-03,10.96875,11.6875,10.96875,46.4375,10.227916,341200
2000-02-04,11.625,11.625,11.09765,44.6875,9.842477,310000
2000-02-07,11.28125,11.28125,10.6875,43.0,9.470798,410800
2000-02-08,10.75,10.984375,10.03125,40.75,8.975236,958800
2000-02-09,10.25,10.59375,9.984375,39.9375,8.796281,856000
2000-02-10,10.28125,10.3125,9.625,40.0625,8.823812,994400
2000-02-11,10.046875,10.046875,9.5625,38.6875,8.520966,414400
2000-02-14,9.6875,10.109375,9.4375,39.0,8.589799000000001,500000
2000-02-15,9.6875,9.90625,9.59375,38.6875,8.520966,762000
2000-02-16,9.8125,9.8125,9.1875,36.875,8.121766000000001,342800
2000-02-17,9.296875,9.390625,8.578125,35.5625,7.8326839999999995,908800
2000-02-18,8.640625,9.03125,8.5625,35.0,7.708792,822400
2000-02-22,8.75,8.875,8.125,32.875,7.2407580000000005,1154000
2000-02-23,8.390625,9.25,8.28125,36.6875,8.080463,1299600
2000-02-24,9.390625,9.8125,9.140625,39.125,8.617328,724000
2000-02-25,9.65625,9.65625,8.765625,35.75,7.873982000000001,1584000
2000-02-28,9.015625,9.03125,8.921875,35.875,7.901511999999999,500000
2000-02-29,9.0,9.0625,8.953125,36.0312,7.935915,1777200
2000-03-01,9.015625,9.015625,8.5,34.7812,7.6606,2492000
2000-03-02,8.625,9.03125,8.625,35.0,7.708792,1024400
2000-03-03,8.875,9.03125,8.78125,35.9062,7.908383000000001,1224000
2000-03-06,9.0,9.0,8.75,35.0,7.708792,1560000
2000-03-07,8.96875,8.96875,8.5,34.375,7.571135000000001,635200
2000-03-08,8.59375,8.65625,8.375,33.75,7.433477000000001,574000
2000-03-09,8.625,8.625,8.25,34.375,7.571135000000001,799200
2000-03-10,8.625,8.9375,8.46875,33.875,7.461009,500800
2000-03-13,8.8125,9.0625,8.4375,35.5,7.818917,688400
2000-03-14,8.929675,9.15625,8.75,35.375,7.791389,578800
2000-03-15,8.921875,9.3125,8.71875,37.25,8.204359,985200
2000-03-16,9.140625,9.71875,9.140625,38.8125,8.548498,1447200
2000-03-17,9.46875,9.78125,9.421875,38.4687,8.472777,846800
2000-03-20,9.6953,9.78125,9.46875,37.875,8.342014,285200
2000-03-21,9.734375,9.78125,9.359375,39.125,8.617328,422000
2000-03-22,9.71875,9.78125,9.5,38.9375,8.576027,768800
2000-03-23,9.765625,9.78125,9.5,38.875,8.562265,456400
2000-03-24,9.75,9.78125,9.5,38.75,8.534737,371200
2000-03-27,9.75,9.765625,9.5,38.8125,8.548498,175200
2000-03-28,9.6875,9.78125,9.375,37.625,8.28695,596000
2000-03-29,9.75,9.765625,9.34375,38.0,8.369545,642400
2000-03-30,9.5,9.5,9.25,37.0,8.149294,181600
2000-03-31,9.25,9.625,9.21875,38.25,8.424608000000001,962400
2000-04-03,9.4375,9.5,9.40625,37.6875,8.300715,483600
2000-04-04,9.5,9.5,9.21875,37.5625,8.273186,704400
2000-04-05,9.359375,9.625,9.265625,38.375,8.452141000000001,444000
2000-04-06,9.5625,9.890625,9.5625,39.4375,8.686155,624800
2000-04-07,9.875,10.3125,9.875,41.0,9.0303,630000
2000-04-10,10.25,10.28125,9.8125,39.375,8.672391000000001,555200
2000-04-11,9.90625,10.5,9.8125,41.5,9.140426,454000
2000-04-12,10.8125,11.59375,10.5,45.125,9.938832000000001,845200
2000-04-13,11.1875,11.9375,11.15625,46.125,10.159086,1214800
2000-04-14,11.4375,11.5,11.125,44.8125,9.870008,398800
2000-04-17,10.90625,11.28125,10.4375,44.5,9.801179,442400
2000-04-18,11.125,12.0,10.65625,47.25,10.406868,1135600
2000-04-19,11.75,11.9375,11.609375,47.4375,10.448166,437600
2000-04-20,11.859375,12.0625,11.6875,47.5,10.461931,570400
2000-04-24,11.734375,12.03125,11.625,47.25,10.406868,452800
2000-04-25,11.734375,12.25,11.484375,48.875,10.764775,1466000
2000-04-26,12.234375,12.375,12.0,49.5,10.902434,800400
2000-04-27,12.21875,12.34375,11.765625,49.375,10.874902,195200
2000-04-28,12.234375,12.359375,11.734375,48.125,10.599587,289200
2000-05-01,11.75,12.375,11.703125,48.75,10.737247,374400
2000-05-02,12.1875,12.1875,11.28125,45.3125,9.980131,311600
2000-05-03,11.3125,11.5625,10.90625,45.5625,10.035194,223600
2000-05-04,11.46875,11.640625,11.4375,46.375,10.214148,228400
2000-05-05,11.671875,12.25,11.421875,48.75,10.737247,163200
2000-05-08,11.8125,12.21875,11.75,47.125,10.379336,216800
2000-05-09,12.0,12.0,10.71875,45.9375,10.117788000000001,328000
2000-05-10,11.03125,12.0625,11.03125,47.0,10.351806,668800
2000-05-11,11.671875,12.25,11.65625,48.5625,10.695950999999999,442800
2000-05-12,12.25,12.25,11.984375,48.5,10.682183,469600
2000-05-15,12.0,12.375,12.0,49.25,10.847372,826800
2000-05-16,12.3125,12.5,12.21875,49.5625,10.916199,644800
2000-05-17,12.328125,12.40625,12.0625,48.6875,10.72348,463200
2000-05-18,12.171875,12.21875,12.15625,48.625,10.709714,150400
2000-05-19,12.15625,12.203125,12.03125,48.375,10.654648,244000
2000-05-22,12.171875,12.171875,12.0625,48.3125,10.640886,361200
2000-05-23,12.125,12.1875,11.609375,46.5,10.241679,441200
2000-05-24,11.65625,12.4375,11.65625,49.5,10.902434,805200
2000-05-25,12.359375,12.8125,12.3125,49.5,10.902434,1248800
2000-05-26,12.375,12.375,11.5,47.875,10.544523,870000
2000-05-30,12.0,13.046875,11.96875,51.625,11.370469,1410000
2000-05-31,12.625,12.96875,12.59375,50.9375,11.219046,1418800
2000-06-01,12.765625,12.78125,12.625,51.125,11.260342999999999,404800
2000-06-02,13.03125,13.0625,12.65625,51.375,11.315407,760000
2000-06-05,12.78125,13.5,12.71875,53.75,11.838503,884000
2000-06-06,13.0703,13.46875,12.96875,52.375,11.535657,312000
2000-06-07,13.09375,13.25,12.875,53.0,11.673314999999999,330400
2000-06-08,13.0078,13.40625,13.0078,53.375,11.75591,873200
2000-06-09,13.421875,13.46875,13.375,53.6875,11.824738,498800
2000-06-12,13.460925,13.46875,12.625,51.1875,11.274107,589200
2000-06-13,12.546875,13.359375,12.4375,53.4375,11.76967,846400
2000-06-14,13.4375,13.4375,13.1875,52.75,11.618253,722400
2000-06-15,13.25,13.421875,13.21875,53.6875,11.824738,1143200
2000-06-16,13.453125,13.875,13.390625,55.5,12.223941,1174400
2000-06-19,13.625,14.0,13.40625,55.3125,12.182642999999999,857200
2000-06-20,13.59375,13.65625,12.78125,52.5625,11.576953999999999,1162400
2000-06-21,13.273425,13.28125,13.0,52.3125,11.521891,616400
2000-06-22,13.25,13.25,12.6875,51.375,11.315407,401200
2000-06-23,12.828125,13.0,11.90625,48.0,10.572057000000001,871200
2000-06-26,12.0625,13.546875,12.046875,54.0,11.893567,901600
2000-06-27,12.828125,12.84375,11.9375,49.0,10.79231,1084000
2000-06-28,12.523425,12.90625,12.40625,51.375,11.315407,1150800
2000-06-29,12.75,13.28125,12.625,53.046799,11.683619,1786000
2000-06-30,13.09375,13.09375,12.125,51.0,11.232811,2711200
2000-07-03,12.71875,12.875,12.59375,50.75,11.177746,209600
2000-07-05,12.875,12.875,12.34375,50.125,11.04009,713200
2000-07-06,12.625,12.625,11.8125,48.75,10.737247,457600
2000-07-07,12.0,12.1875,11.5625,46.25,10.18662,790400
2000-07-10,11.625,12.734375,11.5625,49.875,10.985028,1751200
2000-07-11,12.34375,13.15625,12.25,52.125,11.480595,743200
2000-07-12,13.125,13.25,12.625,50.5,11.122686,1222400
2000-07-13,12.625,12.625,12.125,48.6875,10.72348,629600
2000-07-14,12.25,12.328125,11.96875,49.0,10.79231,1260000
2000-07-17,12.335925,12.65625,12.25,50.625,11.150217,264800
2000-07-18,12.453125,12.59375,12.375,50.0,11.012559,348800
2000-07-19,12.484375,12.6875,12.46875,49.9375,10.998795,403200
2000-07-20,12.46875,12.96875,12.453125,51.6875,11.384233,348400
2000-07-21,12.97655,13.0625,12.671875,50.875,11.20528,848800
2000-07-24,12.5078,12.875,12.375,24.875,10.957497,295000
2000-07-25,12.8125,12.8125,11.625,24.875,10.957497,605800
2000-07-26,12.375,12.875,12.1875,25.0,11.012559,612800
2000-07-27,12.625,13.1875,12.375,26.0,11.453061,308200
2000-07-28,12.75,13.15625,12.3125,25.875,11.398,196800
2000-07-31,13.125,13.25,12.4375,26.5,11.673314999999999,465200
2000-08-01,13.25,13.25,12.625,25.375,11.177746,392600
2000-08-02,12.96875,13.46875,12.6875,25.6875,11.315407,334000
2000-08-03,12.8125,13.8125,12.5625,27.1875,11.976161,287400
2000-08-04,13.0781,14.0625,13.0625,27.375,12.058752,278800
2000-08-07,13.0,13.5,12.625,25.5,11.232811,343600
2000-08-08,12.75,13.34375,12.59375,26.4375,11.645783,490800
2000-08-09,13.21875,13.3125,12.5,25.125,11.067622,2585000
2000-08-10,12.6875,12.96875,12.46875,25.25,11.122686,295200
2000-08-11,12.875,13.375,12.5,25.8125,11.370469,218600
2000-08-14,12.9375,13.1875,12.375,24.8125,10.929965,485000
2000-08-15,12.375,12.53125,11.125,22.2656,9.80805,1112000
2000-08-16,11.23435,11.40625,11.1875,22.75,10.02143,1229600
2000-08-17,9.9453,12.0,9.375,22.4687,9.897518,7356000
2000-08-18,11.0156,11.34375,10.5,21.8125,9.608457000000001,676000
2000-08-21,10.78125,11.4375,10.71875,21.625,9.525863000000001,355200
2000-08-22,10.9531,11.5,10.78125,21.5625,9.498331,266800
2000-08-23,10.8125,11.1875,10.59375,21.25,9.360675,558600
2000-08-24,11.3125,11.6875,10.875,22.9375,10.104024,1146600
2000-08-25,11.4375,11.6875,11.4375,22.875,10.076495,262600
2000-08-28,11.53125,11.53125,11.3125,23.0,10.131554,690600
2000-08-29,11.28125,12.03125,11.21875,23.125,10.18662,403800
2000-08-30,11.5781,11.625,11.25,22.5625,9.938832000000001,541400
2000-08-31,11.3125,11.875,11.25,23.75,10.461931,1040800
2000-09-01,11.42185,11.6875,11.3125,23.375,10.296744,1254600
2000-09-05,11.71875,11.75,10.75,21.5,9.470798,674000
2000-09-06,11.0625,11.25,10.71875,21.8125,9.608457000000001,367200
2000-09-07,10.85935,11.9375,10.85935,23.4375,10.324274,606600
2000-09-08,11.3125,11.40625,11.25,22.5,9.911303,341000
2000-09-11,11.3125,11.59375,10.78125,21.6562,9.539608,545000
2000-09-12,10.90625,11.34375,10.84375,22.375,9.85624,390200
2000-09-13,11.03125,11.25,10.8125,21.8125,9.608457000000001,370800
2000-09-14,11.375,12.0,10.9375,23.625,10.406868,653800
