Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,34.208328,34.208328,32.333328,48.812508,24.208810999999997,593400
2000-01-04,32.541672,32.833328,31.25,46.875,23.247902,217600
2000-01-05,31.41667,31.83333,31.08333,46.875,23.247902,420900
2000-01-06,31.33333,31.83333,30.75,47.749996,23.681856,1203400
2000-01-07,34.666672,36.0,34.5,52.125,25.851658,2630100
2000-01-10,34.75,35.625,33.833328,51.499992,25.541689,774900
2000-01-11,34.166672,34.541672,33.333328,50.187492,24.890751,523500
2000-01-12,33.625,34.125,33.583328,50.875008,25.231722,1078900
2000-01-13,33.958328,33.958328,33.208328,50.25,24.921749,551500
2000-01-14,33.583328,33.583328,32.416672,49.624992,24.611778,741100
2000-01-18,32.666672,32.791672,30.375,46.6875,23.154907,1312800
2000-01-19,30.66667,31.91667,30.5,47.875004,23.743856,899200
2000-01-20,32.666672,32.666672,31.54167,47.562496,23.588867,862800
2000-01-21,31.70833,32.0,30.66667,46.750004,23.185902,755200
2000-01-24,31.20833,31.20833,29.41667,44.312504,21.977013,783900
2000-01-25,29.58333,29.66667,28.5,43.125,21.388069,556000
2000-01-26,28.875,29.75,27.875,44.0625,21.853025,1097700
2000-01-27,29.33333,30.0,29.0,43.875,21.760035000000002,442500
2000-01-28,29.08333,29.08333,28.0,42.1875,20.923111,567100
2000-01-31,28.08333,29.08333,27.79167,43.249996,21.450066,387900
2000-02-01,28.75,29.625,28.75,44.125004,21.884027,705400
2000-02-02,29.41667,29.83333,28.5,43.062496,21.357069,306100
2000-02-03,28.79167,29.04167,27.91667,42.5625,21.109104000000002,320400
2000-02-04,28.54167,28.66667,27.625,41.937496,20.799120000000002,404400
2000-02-07,28.0,28.29167,26.83333,40.937504,20.303165,653200
2000-02-08,27.29167,28.16667,27.29167,40.937504,20.303165,587700
2000-02-09,27.41667,27.45833,25.45833,38.687504,19.187273,1052100
2000-02-10,26.125,26.16667,25.08333,37.812496,18.753308999999998,828600
2000-02-11,25.20833,25.20833,23.58333,35.500004,17.606407,843300
2000-02-14,23.83333,25.875,23.75,38.187496,18.939291,763600
2000-02-15,25.625,27.95833,25.625,41.687504,20.675138,1480000
2000-02-16,27.66667,28.91667,27.66667,41.937496,20.799120000000002,1201000
2000-02-17,28.125,28.125,26.66667,40.5,20.086189,483900
