Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,99.625,100.0,87.0,179.3125,69.72493,91334000
2000-01-04,86.28125,87.65625,80.0,162.0625,63.017348999999996,63567400
2000-01-05,79.9375,81.625,69.5,156.4375,60.830051,93778400
2000-01-06,74.25,78.0,69.875,140.0625,54.462711,58782600
2000-01-07,67.0,75.25,66.460899,150.0,58.326874,68198600
2000-01-10,81.0,81.5,76.25,159.375,61.972305000000006,35360800
2000-01-11,78.0,78.9375,70.75,144.4375,56.163920999999995,30575800
2000-01-12,72.5,73.75,68.03125,138.25,53.757934999999996,34455600
2000-01-13,72.1875,72.8125,68.8125,143.125,55.65356800000001,25146800
2000-01-14,73.8125,74.46875,69.75,140.4375,54.608540000000005,26209200
2000-01-18,68.71875,70.625,67.5,139.0625,54.073882999999995,28503000
2000-01-19,68.5625,73.5,68.5,146.625,57.01451899999999,30728400
2000-01-20,74.625,78.0,73.5625,155.625,60.51414499999999,39224000
2000-01-21,79.125,80.21875,75.5,154.9375,60.246788,34955000
2000-01-24,77.875,78.5,69.8125,140.0625,54.462711,32170600
2000-01-25,71.8125,74.96875,70.0,149.0,57.938042,39671400
2000-01-26,64.5,65.4375,60.0,124.625,48.459908,136953200
2000-01-27,63.34375,64.0,58.6875,120.0,46.661503,62571000
2000-01-28,60.53125,60.6875,52.8125,110.5625,42.991783,85675000
2000-01-31,56.3125,63.75,56.09375,127.0,49.383423,80518000
2000-02-01,65.75,70.0,65.460899,136.0625,52.90733,69648400
2000-02-02,68.4375,72.75,68.0,142.0625,55.24040600000001,57368200
2000-02-03,72.5625,74.0,66.0,139.1875,54.122471,52571000
2000-02-04,70.9375,70.9375,67.5,137.4375,53.441998,30028800
2000-02-07,67.21875,67.625,65.125,133.4375,51.886604,20868400
2000-02-08,66.75,69.8125,66.71875,139.0625,54.073882999999995,21450800
2000-02-09,69.75,70.0,66.5,133.3125,51.838004999999995,20141200
2000-02-10,67.28125,68.5625,66.5,136.9375,53.247569999999996,15072200
2000-02-11,67.539047,68.25,65.75,132.0,51.327644,12419400
2000-02-14,64.6875,65.0,62.5,127.125,49.43203,23353600
