Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,2.21875,2.273438,2.210938,17.8125,0.78751,2849600
2000-01-04,2.242188,2.265625,2.21875,18.0,0.7958,2260000
2000-01-05,2.265625,2.375,2.234375,18.4375,0.815142,4092000
2000-01-06,2.320313,2.359375,2.289063,18.75,0.828959,1895200
2000-01-07,2.34375,2.4375,2.335938,19.4375,0.8593540000000001,3286400
2000-01-10,2.445313,2.515625,2.4375,19.8125,0.875933,2551200
2000-01-11,2.460938,2.523438,2.460938,20.0,0.884222,3641600
2000-01-12,2.523438,2.53125,2.445313,19.5625,0.86488,3712000
2000-01-13,2.460938,2.484375,2.460938,19.8125,0.875933,3378400
2000-01-14,2.46875,2.515625,2.460938,19.8125,0.875933,5296000
2000-01-18,2.46875,2.5625,2.445313,20.5,0.906328,5123200
2000-01-19,2.546875,2.554688,2.515625,20.1875,0.8925120000000001,1314400
2000-01-20,2.5,2.507813,2.460938,19.6875,0.8704059999999999,2723200
2000-01-21,2.492188,2.507813,2.484375,20.0,0.884222,2643200
2000-01-24,2.523438,2.539063,2.453125,19.8125,0.875933,4986400
2000-01-25,2.460938,2.476563,2.351563,19.25,0.8510639999999999,4120800
2000-01-26,2.40625,2.421875,2.296875,18.5,0.817906,2024800
2000-01-27,2.3125,2.359375,2.210938,18.5625,0.8206690000000001,3193600
2000-01-28,2.351563,2.367188,2.15625,17.5,0.773694,5351200
2000-01-31,2.210938,2.21875,2.140625,17.1875,0.7598779999999999,2928800
2000-02-01,2.171875,2.1875,2.140625,17.1875,0.7598779999999999,3417600
2000-02-02,2.179688,2.1875,2.109375,17.0,0.7515890000000001,5266400
2000-02-03,2.148438,2.21875,2.125,17.625,0.779221,5456800
2000-02-04,2.234375,2.3125,2.226563,18.1875,0.804089,3459200
2000-02-07,2.273438,2.335938,2.273438,18.625,0.8234319999999999,2838400
2000-02-08,2.320313,2.328125,2.234375,18.25,0.806852,4460800
2000-02-09,2.3125,2.492188,2.3125,19.625,0.867643,7887200
2000-02-10,2.476563,2.5,2.414063,19.5625,0.86488,4316000
2000-02-11,2.46875,2.5,2.40625,19.3125,0.853827,3587200
2000-02-14,2.445313,2.476563,2.445313,19.6875,0.8704059999999999,1858400
2000-02-15,2.460938,2.492188,2.453125,19.9375,0.881459,2388800
2000-02-16,2.476563,2.515625,2.46875,20.0,0.884222,3715200
2000-02-17,2.484375,2.5,2.445313,19.5625,0.86488,2615200
2000-02-18,2.390625,2.476563,2.375,19.25,0.8510639999999999,2345600
2000-02-22,2.429688,2.445313,2.382813,19.125,0.8455379999999999,2517600
2000-02-23,2.375,2.429688,2.320313,18.75,0.828959,4576000
2000-02-24,2.3125,2.367188,2.3125,18.75,0.828959,1687200
2000-02-25,2.34375,2.34375,2.28125,18.3125,0.809616,2814400
2000-02-28,2.25,2.257813,2.1875,17.6875,0.781984,3469600
2000-02-29,2.226563,2.25,2.21875,18.0,0.7958,3488800
2000-03-01,2.25,2.3125,2.226563,18.0625,0.798563,7382400
2000-03-02,2.265625,2.265625,2.21875,17.8125,0.78751,3066400
2000-03-03,2.234375,2.25,2.21875,18.0,0.7958,5087200
2000-03-06,2.25,2.265625,2.234375,17.9375,0.793037,5854400
2000-03-07,2.242188,2.25,2.226563,17.9375,0.793037,10569600
2000-03-08,2.203125,2.234375,2.171875,17.5,0.808634,3764000
2000-03-09,2.195313,2.21875,2.171875,17.6875,0.817298,3818400
2000-03-10,2.21875,2.21875,2.1875,17.5625,0.8115220000000001,1687200
2000-03-13,2.125,2.140625,2.070313,16.6875,0.7710899999999999,4464800
2000-03-14,2.109375,2.117188,2.085938,16.75,0.7739779999999999,3503200
2000-03-15,2.109375,2.117188,2.085938,16.75,0.7739779999999999,3826400
2000-03-16,2.09375,2.140625,2.085938,16.75,0.7739779999999999,4828800
2000-03-17,2.070313,2.125,2.0625,16.8125,0.776866,14831200
2000-03-20,2.109375,2.117188,2.039063,16.5,0.762426,3207200
2000-03-21,2.03125,2.21875,1.992188,17.1875,0.794194,15891200
2000-03-22,2.132813,2.164063,2.101563,16.8125,0.776866,6195200
2000-03-23,2.117188,2.148438,2.109375,17.125,0.7913060000000001,3329600
2000-03-24,2.140625,2.140625,2.125,17.125,0.7913060000000001,2555200
2000-03-27,2.132813,2.140625,2.101563,17.0,0.7855300000000001,2967200
2000-03-28,2.09375,2.109375,2.0625,16.5,0.762426,2640800
2000-03-29,2.039063,2.054688,1.96875,15.75,0.72777,4556800
2000-03-30,2.046875,2.171875,2.039063,17.0,0.7855300000000001,13545600
2000-03-31,2.15625,2.171875,2.09375,17.0,0.7855300000000001,6770400
2000-04-03,2.125,2.453125,2.117188,19.375,0.895273,9530400
2000-04-04,2.390625,2.40625,2.171875,18.5625,0.8577290000000001,8062400
2000-04-05,2.3125,2.429688,2.296875,19.4375,0.8981610000000001,5536800
2000-04-06,2.40625,2.59375,2.398438,20.0625,0.927041,5741600
2000-04-07,2.515625,2.609375,2.328125,20.0,0.9241530000000001,6086400
2000-04-10,2.375,2.40625,2.25,18.8125,0.869281,7071200
2000-04-11,2.367188,2.40625,2.25,19.0625,0.880833,5032800
2000-04-12,2.359375,2.398438,2.328125,18.75,0.8663930000000001,2141600
2000-04-13,2.328125,2.429688,2.289063,19.3125,0.892385,2240800
2000-04-14,2.382813,2.40625,2.25,18.0625,0.834625,2816000
2000-04-17,2.359375,2.359375,2.25,18.6875,0.863505,5536800
2000-04-18,2.351563,2.398438,2.328125,18.875,0.8721690000000001,6279200
2000-04-19,2.34375,2.398438,2.296875,18.8125,0.869281,2623200
2000-04-20,2.34375,2.382813,2.320313,18.875,0.8721690000000001,3463200
2000-04-24,2.335938,2.351563,2.289063,18.625,0.860617,4674400
2000-04-25,2.328125,2.40625,2.296875,19.25,0.889497,6252000
2000-04-26,2.390625,2.515625,2.390625,20.0,0.9241530000000001,4758400
2000-04-27,2.5,2.546875,2.46875,20.375,0.9414809999999999,2024000
2000-04-28,2.546875,2.609375,2.515625,20.75,0.958809,3148800
2000-05-01,2.578125,2.929688,2.578125,22.9375,1.059888,6148800
2000-05-02,2.875,2.875,2.75,22.3125,1.031008,4898400
2000-05-03,2.804688,2.921875,2.75,22.4375,1.036783,4374400
2000-05-04,2.773438,2.867188,2.773438,22.8125,1.0541120000000002,2960800
2000-05-05,2.867188,2.898438,2.789063,22.75,1.051224,3768800
2000-05-08,2.8125,2.859375,2.804688,22.5625,1.04256,2374400
2000-05-09,2.789063,2.820313,2.703125,22.125,1.022345,3930400
2000-05-10,2.78125,3.007813,2.757813,23.9375,1.106096,3828800
2000-05-11,2.976563,2.976563,2.625,21.625,0.99924,5304000
2000-05-12,2.765625,2.953125,2.765625,23.1875,1.07144,3029600
2000-05-15,2.929688,3.195313,2.921875,24.0,1.108984,7313600
2000-05-16,3.03125,3.15625,3.023438,25.0,1.155191,5016000
2000-05-17,3.09375,3.125,3.070313,24.8125,1.146527,1979200
