Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,2.984375,3.085938,2.90625,24.6562,2.767571,24232000
2000-01-04,3.007813,3.109375,2.96875,23.875,2.679885,21564800
2000-01-05,2.992188,3.078125,2.960938,24.1875,2.714962,28206400
2000-01-06,3.0,3.203125,3.0,25.0625,2.813177,30825600
2000-01-07,3.09375,3.125,3.03125,24.9375,2.799147,26044800
2000-01-10,3.234375,3.34375,3.226563,26.0,2.918409,29031200
2000-01-11,3.242188,3.257813,3.148438,25.25,2.8342240000000003,19623200
2000-01-12,3.171875,3.21875,3.09375,25.3125,2.841239,17745600
2000-01-13,3.171875,3.40625,3.171875,27.125,3.044686,21556000
2000-01-14,3.3984379999999996,3.4453129999999996,3.2890629999999996,26.4375,2.967516,22196800
2000-01-18,3.273438,3.328125,3.164063,26.0625,2.925424,10513600
2000-01-19,3.257813,3.328125,3.179688,25.5,2.862285,15800800
2000-01-20,3.195313,3.21875,3.070313,25.0625,2.813177,18167200
2000-01-21,3.164063,3.171875,3.09375,24.9687,2.802649,11176000
2000-01-24,3.125,3.195313,2.890625,24.5625,2.757055,31140000
2000-01-25,3.039063,3.375,2.976563,26.0,2.918409,47650400
2000-01-26,3.3671879999999996,3.671875,3.34375,29.0,3.255148,75863200
2000-01-27,3.609375,3.640625,3.5390629999999996,28.875,3.241117,37517600
2000-01-28,3.625,3.7734379999999996,3.6171879999999996,29.8125,3.3463480000000003,60170400
2000-01-31,3.7421879999999996,4.0,3.734375,32.0,3.5918879999999995,51054400
2000-02-01,3.96875,4.046875,3.9296879999999996,32.3125,3.626965,30592000
2000-02-02,4.03125,4.0625,3.859375,31.8125,3.570842,20413600
2000-02-03,3.984375,4.0,3.796875,31.4375,3.528749,20513600
2000-02-04,4.0625,4.34375,3.9375,34.375,3.858472,51308800
2000-02-07,4.289063,4.3125,4.171875,34.25,3.844441,19449600
2000-02-08,4.28125,4.375,4.257813,35.0,3.9286269999999996,21536000
2000-02-09,4.351563,4.359375,4.257813,34.5,3.872503,17676000
2000-02-10,4.3125,4.335938,3.9453129999999996,32.0,3.5918879999999995,24207200
2000-02-11,3.984375,4.1875,3.984375,32.875,3.6901040000000003,19193600
2000-02-14,4.171875,4.351563,4.109375,33.9375,3.809365,20843200
2000-02-15,4.242188,4.359375,4.046875,34.625,3.8865339999999997,16425600
2000-02-16,4.328125,4.335938,4.265625,34.1875,3.8374269999999995,16617600
2000-02-17,4.296875,4.34375,4.25,34.625,3.8865339999999997,11840800
2000-02-18,4.320313,4.375,4.0625,33.125,3.718165,17745600
2000-02-22,4.109375,4.210938,4.039063,33.1875,3.7251800000000004,13170400
2000-02-23,4.117188,4.382813,4.09375,34.875,3.914596,18372800
2000-02-24,4.359375,4.523438,4.210938,35.0625,3.9356419999999996,24721600
2000-02-25,4.351563,4.375,4.1875,33.75,3.788318,9384000
2000-02-28,4.1875,4.265625,4.09375,34.0625,3.823396,13456000
2000-02-29,4.21875,4.429688,4.203125,35.125,3.942658,13168000
2000-03-01,4.390625,4.476563,4.3125,34.75,3.900564,10548000
2000-03-02,4.320313,4.320313,4.078125,33.25,3.732196,13367200
2000-03-03,4.203125,4.71875,4.203125,37.1875,4.174167,28210400
2000-03-06,4.615225,4.617188,4.460938,35.875,4.026842,11278400
2000-03-07,4.492188,4.515625,4.25,34.125,3.8304110000000002,12872000
2000-03-08,4.257813,4.34375,4.140625,33.875,3.80235,15707200
2000-03-09,4.21875,4.53125,4.125,36.125,4.0549040000000005,13624800
2000-03-10,4.460938,4.5,4.328125,35.625,3.9987790000000003,9488000
2000-03-13,4.320313,4.4375,4.28125,34.75,3.900564,14124800
2000-03-14,4.373037,4.429688,4.171875,33.4375,3.7532419999999997,9474400
2000-03-15,4.15625,4.492188,4.15625,35.1875,3.949673,14703200
2000-03-16,4.398438,4.867188,4.398438,38.375,4.3074580000000005,35879200
2000-03-17,4.6875,4.773438,4.546875,37.0625,4.160133999999999,19867200
2000-03-20,4.5625,4.59375,4.375,35.1875,3.949673,10842400
2000-03-21,4.421875,4.8789,4.398438,39.0,4.377612,21850400
2000-03-22,4.796875,4.976563,4.6875,39.125,4.391643,24861600
2000-03-23,4.828125,5.0,4.8125,39.375,4.419707,18564800
2000-03-24,4.953125,5.0,4.695313,38.625,4.335519000000001,13520000
2000-03-27,4.851563,5.054688,4.84375,39.125,4.391643,17021600
2000-03-28,4.90625,4.984375,4.6875,37.9375,4.258351,9432000
2000-03-29,4.765625,5.0,4.710938,39.6875,4.454782,12658400
2000-03-30,4.90625,5.210938,4.90625,39.75,4.461798,25609600
2000-03-31,4.976563,5.65625,4.914063,44.8125,5.030044999999999,36625600
2000-04-03,5.023438,5.28125,4.90625,41.4375,4.6512139999999995,35332000
2000-04-04,5.140625,5.4375,4.9375,43.4375,4.875707,39746400
2000-04-05,5.328125,5.328125,4.90625,39.5625,4.440753,25903200
2000-04-06,4.992188,5.03125,4.5625,37.5625,4.216259,19013600
2000-04-07,4.75,5.015625,4.75,40.0625,4.496873,18377600
2000-04-10,5.03125,5.039063,4.570313,36.625,4.111029,13938400
2000-04-11,4.578125,4.875,4.46875,37.9375,4.258351,10528000
2000-04-12,4.746087999999999,4.820313,4.671875,37.625,4.223273000000001,11848800
2000-04-13,4.710938,5.015625,4.695313,39.828098,4.470562999999999,27032000
2000-04-14,4.867188,4.875,4.226563,35.1875,3.949673,20801600
2000-04-17,4.28125,4.570313,4.179688,36.125,4.0549040000000005,19577600
2000-04-18,4.53125,4.703125,4.453125,37.4375,4.202228,12808800
2000-04-19,4.648438,4.867188,4.59375,37.25,4.181181,16598400
2000-04-20,4.664063,4.75,4.5,37.4375,4.202228,8062400
2000-04-24,4.625,5.078125,4.609375,39.9375,4.482844,15964000
