Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,21.583334,21.666666,21.583334,32.5,15.826054999999998,1500
2000-01-04,21.75,22.041666,21.75,32.625,15.886922,3400
2000-01-05,21.75,21.75,21.75,32.625,15.886922,0
2000-01-06,22.666666,23.0,22.666666,34.125,16.617355,900
2000-01-07,22.333334,22.333334,22.333334,33.5,16.313009,100
2000-01-10,22.333334,22.333334,22.333334,33.5,16.313009,0
2000-01-11,21.916666,21.916666,21.916666,32.875,16.008663000000002,4300
2000-01-12,21.916666,21.916666,21.916666,32.875,16.008663000000002,0
2000-01-13,21.916666,21.916666,21.916666,32.875,16.008663000000002,0
2000-01-14,21.666666,21.666666,21.666666,32.5,15.826054999999998,300
2000-01-18,21.833334,21.833334,21.833334,32.75,15.94779,300
2000-01-19,21.833334,21.833334,21.833334,32.75,15.94779,0
2000-01-20,21.833334,21.833334,21.833334,32.75,15.94779,0
2000-01-21,21.166666,21.166666,21.166666,31.75,15.460835999999999,700
2000-01-24,22.0,22.0,22.0,33.0,16.069534,12000
2000-01-25,20.666666,21.0,20.666666,31.5,15.339098000000002,1600
2000-01-26,21.0,21.0,21.0,31.5,15.339098000000002,0
2000-01-27,20.0,20.0,19.666666,29.5,14.365191000000001,4300
2000-01-28,19.041666,19.041666,19.0,28.5,13.878233999999999,700
2000-01-31,18.666666,18.666666,18.0,27.0,13.147796,5100
2000-02-01,17.833334,17.833334,17.833334,26.75,13.026058,400
2000-02-02,17.583334,17.583334,17.166666,25.75,12.539102999999999,2400
2000-02-03,17.333334,17.333334,17.333334,26.0,12.660842,600
2000-02-04,17.0,17.0,16.916666,25.375,12.356494999999999,3100
2000-02-07,18.083334,18.083334,18.0,27.0,13.147796,1600
2000-02-08,18.0,18.0,18.0,27.0,13.147796,0
2000-02-09,19.5,19.5,19.5,29.25,14.243445000000001,7600
2000-02-10,18.5,18.5,18.0,27.0,13.147796,400
2000-02-11,18.0,18.0,18.0,27.0,13.147796,0
2000-02-14,18.0,18.0,18.0,27.0,13.147796,100
2000-02-15,17.416666,17.458334,17.416666,26.1875,12.752144,400
2000-02-16,17.125,17.125,17.125,25.6875,12.508666999999999,9600
2000-02-17,16.833334,16.833334,16.666666,25.0,12.173886999999999,2200
2000-02-18,16.208334,16.208334,16.208334,24.3125,11.839107,400
2000-02-22,16.0,16.0,16.0,24.0,11.686931,100
2000-02-23,16.0,16.0,16.0,24.0,11.686931,0
2000-02-24,16.0,16.375,15.666667000000002,23.5625,11.473889,12100
2000-02-25,15.833332999999998,15.833332999999998,15.833332999999998,23.75,11.565192999999999,1500
2000-02-28,15.75,15.75,15.25,22.875,11.13911,51400
2000-02-29,15.75,15.75,15.75,23.625,11.504319,300
2000-03-01,15.5,15.5,15.5,23.25,11.321717,700
2000-03-02,15.5,16.333334,15.5,23.25,11.321717,6400
2000-03-03,15.5,15.5,15.5,23.25,11.321717,0
2000-03-06,15.5,15.5,15.5,23.25,11.321717,2100
2000-03-07,15.0,15.0,15.0,22.5,10.956498,5800
2000-03-08,14.375,14.375,14.375,21.5625,10.499977000000001,400
2000-03-09,14.0,14.0,14.0,21.0,10.226068,300
2000-03-10,14.5,14.5,14.166667000000002,21.25,10.347800999999999,700
2000-03-13,14.875,14.875,14.833332999999998,22.3125,10.865191000000001,600
2000-03-14,14.666667000000002,14.666667000000002,14.666667000000002,22.0,10.713025,400
2000-03-15,14.666667000000002,14.666667000000002,14.666667000000002,22.0,10.713025,0
2000-03-16,14.666667000000002,15.25,14.666667000000002,22.875,11.13911,25800
2000-03-17,15.333332999999998,15.333332999999998,15.333332999999998,23.0,11.199977,100
2000-03-20,15.333332999999998,15.333332999999998,15.333332999999998,23.0,11.199977,0
2000-03-21,16.166666,16.5,16.125,24.75,12.052147,9400
2000-03-22,17.333334,17.333334,16.208334,24.3125,11.839107,3300
2000-03-23,17.333334,18.0,17.333334,27.0,13.147796,17800
