Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,29.0625,31.5,28.84375,62.8125,30.226615999999996,512000
2000-01-04,30.8125,30.875,28.59375,59.125,28.452118,292600
2000-01-05,29.59375,30.4375,28.5625,60.6562,29.188965000000003,411800
2000-01-06,29.125,30.40625,26.3125,54.75,26.346785999999998,385400
2000-01-07,27.1875,30.46875,26.25,60.375,29.053644,536000
2000-01-10,30.0,30.21875,27.75,57.0937,27.474619,339800
2000-01-11,28.375,30.625,28.1875,57.0625,27.459606,611400
2000-01-12,30.4375,32.5625,30.3125,64.734299,31.151426,1927200
2000-01-13,32.40625,34.6875,32.40625,69.0,33.20417,1653400
2000-01-14,35.5,38.75,35.0,76.0,36.572703999999995,1820200
2000-01-18,36.71875,39.5625,36.71875,79.125,38.076527,697200
2000-01-19,39.03125,44.3125,38.59375,88.21869699999999,42.452587,1000000
2000-01-20,44.3125,46.5,42.40625,90.5,43.550388,545400
2000-01-21,45.90625,47.46875,44.6875,91.9375,44.242149,666200
2000-01-24,45.84375,50.0625,41.875,88.78119699999999,42.723267,549600
2000-01-25,44.25,46.5625,43.0,91.0,43.790997,845400
2000-01-26,45.875,46.125,41.875,86.625,41.685669,440800
2000-01-27,43.15625,46.1875,43.0,87.0,41.866122999999995,907000
2000-01-28,43.53125,45.625,42.96875,87.5,42.106730999999996,293200
2000-01-31,43.96875,43.96875,40.34375,83.75,40.302158,257800
2000-02-01,41.75,44.4375,40.46875,88.0,42.34734,266400
2000-02-02,44.8125,49.9375,44.3125,97.3125,46.828705,726400
2000-02-03,48.5625,52.0625,48.5625,103.6875,49.896477000000004,551400
2000-02-04,51.9375,55.5,51.9375,106.9375,51.460445,397400
2000-02-07,53.5,56.65625,53.375,111.65619699999999,53.731170999999996,1080400
2000-02-08,56.640598,57.15625,50.0,100.375,48.302440999999995,476400
2000-02-09,52.5,52.5,49.6875,100.1875,48.2122,340000
2000-02-10,50.96875,59.5,50.3125,117.75,56.663628,481200
2000-02-11,61.75,62.25,56.0,115.8125,55.731266000000005,739800
2000-02-14,65.6875,70.75,64.5,137.875,66.348175,1346000
2000-02-15,70.5,70.5,65.25,135.468704,65.190208,464400
2000-02-16,70.6875,71.5,68.3125,138.875,66.829399,429600
2000-02-17,69.40625,70.96875,68.546852,140.468704,67.596321,629000
2000-02-18,70.59375,71.0625,64.0,129.75,62.43827099999999,520200
2000-02-22,64.5,68.25,61.75,136.093704,65.49099,578800
2000-02-23,68.625,74.0,68.5,144.218704,69.400902,326800
2000-02-24,72.96875,74.0625,71.6875,146.75,70.619011,265600
2000-02-25,72.5,75.0,71.75,149.468704,71.927284,315600
2000-02-28,75.375,75.375,68.0,148.843704,71.626541,418000
2000-02-29,74.96875,78.25,71.96875,145.1875,69.86709599999999,286000
2000-03-01,73.15625,78.0,72.5,145.9375,70.22801199999999,496000
2000-03-02,73.5625,73.5625,65.5,131.921799,63.483368000000006,369600
2000-03-03,69.5,72.9375,69.5,143.375,68.994888,558600
2000-03-06,70.5,73.3125,66.5,133.125,64.062386,355000
2000-03-07,68.8125,72.75,68.0,136.125,65.506058,276800
2000-03-08,68.3125,71.5,65.4375,142.0,68.333221,259000
2000-03-09,70.875,72.875,67.0,143.875,69.235497,284600
2000-03-10,71.125,73.375,67.0,136.0,65.445885,170000
2000-03-13,66.5,69.0,65.46875,131.5,63.280407,314600
2000-03-14,66.5,70.53125,63.5,127.0,61.114918,312600
2000-03-15,71.5625,72.03125,59.265598,125.5,60.393089,853000
2000-03-16,63.125,64.3125,57.0,118.5625,57.054623,744600
2000-03-17,59.25,61.5,56.125,116.15619699999999,55.896664,381400
2000-03-20,57.5,57.78125,47.5,97.625,46.979084,644600
2000-03-21,51.0,60.5,49.53125,119.84369699999999,57.671158,687000
2000-03-22,62.5,66.0,60.625,130.0,62.55857099999999,771600
2000-03-23,66.1875,66.375,57.75,118.3125,56.934321999999995,514600
2000-03-24,59.5,68.0,59.5,123.25,59.310345,683800
2000-03-27,66.0,66.0,59.4375,121.5625,58.49828,258000
2000-03-28,60.5,62.3125,57.71875,115.4375,55.55080400000001,360800
2000-03-29,57.625,61.25,54.0625,111.4375,53.625927000000004,344600
2000-03-30,55.0,55.0,48.0,104.0,50.046856,498200
2000-03-31,54.0,55.75,47.5,95.0,45.715881,664000
2000-04-03,49.4375,49.5,46.1875,92.375,44.452675,527400
2000-04-04,47.0,48.5,35.03125,96.0625,46.227177000000005,1539800
2000-04-05,43.875,55.71875,43.125,101.0,48.603195,790400
2000-04-06,55.5,56.25,51.53125,107.0,51.490520000000004,292200
2000-04-07,54.6875,56.34375,53.5,111.4375,53.625927000000004,361200
2000-04-10,57.0,57.65625,51.0,103.8125,49.956631,417000
2000-04-11,47.0,51.125,42.5,95.0625,45.745956,805800
2000-04-12,46.921848,47.9375,43.0,88.0,42.34734,529800
2000-04-13,45.3125,45.8125,40.5625,81.1875,39.069027,589600
2000-04-14,38.25,38.5,34.5,70.0,33.685383,715000
2000-04-17,34.375,44.0,33.75,88.0,42.34734,609800
2000-04-18,44.5,51.25,40.0,100.859299,48.535496,811400
2000-04-19,50.03125,53.21875,47.875,106.0,51.009296,867000
2000-04-20,53.4375,55.0,49.0,49.5,47.640759,572500
2000-04-24,43.25,49.0,42.0,43.9375,42.287182,310500
2000-04-25,47.125,53.0,46.0,50.5,48.603195,320900
2000-04-26,53.125,55.0,44.5,44.6875,43.009021999999995,451200
2000-04-27,41.5,52.0,40.25,51.9375,49.986709999999995,338200
2000-04-28,52.6875,54.1875,50.375,52.0,50.046856,312000
2000-05-01,51.0625,56.0,51.0625,52.5625,50.588229999999996,212900
2000-05-02,51.5,57.0,50.5,51.25,49.325027,338700
2000-05-03,54.9375,55.5,47.125,50.25,48.362587,406700
2000-05-04,50.125,52.25,47.5625,51.375,49.445332,234800
2000-05-05,51.875,57.5,50.0,57.4375,55.280113,516900
2000-05-08,54.6875,57.875,53.875,54.0625,52.031890999999995,395300
2000-05-09,54.25,54.3125,46.0,47.75,45.956486,411000
2000-05-10,46.5,48.0,43.0,45.25,43.550388,209100
2000-05-11,49.0,51.125,46.75,50.9375,49.024269,220800
2000-05-12,52.875,55.625,45.0,49.625,47.761070000000004,293100
2000-05-15,51.0,52.125,46.375,51.75,49.806252,276600
2000-05-16,51.9375,55.5,49.125,52.1875,50.227321999999994,354900
2000-05-17,50.0,53.125,49.5625,50.0625,48.182125,150800
2000-05-18,51.0,52.75,44.5,44.5,42.828568,231700
2000-05-19,46.9375,47.0,42.375,43.125,41.505210999999996,330500
2000-05-22,45.0,45.8125,40.5,41.3125,39.760788,334500
2000-05-23,41.875,45.375,40.0,40.0625,38.557739,424300
2000-05-24,40.5,45.25,37.375,41.5,39.941241999999995,735300
2000-05-25,44.4375,44.4375,39.5,39.5,38.016360999999996,456500
2000-05-26,39.125,41.1875,38.5625,40.9375,39.399868,219300
2000-05-30,41.125,50.375,41.0625,49.9375,48.061832,353100
2000-05-31,47.0,50.5,45.6875,46.0625,44.332375,351400
2000-06-01,48.5,55.6875,48.0,55.625,53.535706000000005,733000
2000-06-02,58.5,61.0,57.5,60.5,58.22758100000001,536700
2000-06-05,60.0,61.875,57.5,60.25,57.98698,327600
2000-06-06,60.5625,61.125,56.375,56.7812,54.648479,200500
2000-06-07,58.375,58.375,53.375,54.75,52.693573,431900
2000-06-08,55.0,59.0,53.625,58.125,55.94179499999999,511800
2000-06-09,59.0625,61.0,59.0625,60.875,58.588512,299700
2000-06-12,60.375,61.0,58.875,59.9375,57.68623,474500
2000-06-13,56.0,58.625,52.5,58.625,56.423019,775100
2000-06-14,58.8125,59.5,49.75,50.6875,48.783653,374900
2000-06-15,52.9375,59.0,50.0625,53.75,51.731125,545800
2000-06-16,54.375,57.0,51.875,55.0,52.934174,284800
2000-06-19,55.25,58.5,52.0,57.9375,55.761341,231600
2000-06-20,56.25,64.5,56.25,63.875,61.47583,498400
2000-06-21,62.9375,62.9375,60.375,61.25,58.949420999999994,366500
2000-06-22,61.4375,63.0,58.125,58.6875,56.483173,425000
2000-06-23,59.25,62.375,59.1875,60.1875,57.926834,350000
2000-06-26,60.9375,61.25,51.9375,58.75,56.543327000000005,699400
2000-06-27,58.625,58.75,46.0,49.1875,47.339996,1597600
2000-06-28,49.0625,49.75,46.0,46.8125,45.054203,1243000
2000-06-29,47.5625,47.5625,41.5,41.875,40.302158,1965300
2000-06-30,42.75,46.6875,41.5,44.0625,42.407497,2748700
2000-07-03,44.375,44.625,43.0,43.625,41.986427,310900
2000-07-05,42.375,42.5,37.5,39.125,37.655449,1322200
2000-07-06,38.375,39.25,34.4375,35.625,34.286910999999996,2517900
2000-07-07,37.0,39.5,36.75,38.75,37.294533,2513900
2000-07-10,38.9375,40.4375,37.375,37.6875,36.271941999999996,779900
2000-07-11,37.9375,38.1875,33.5625,35.25,33.926003,1534600
2000-07-12,37.1875,39.25,33.375,38.375,36.93362,4019500
2000-07-13,40.4375,48.125,40.375,47.0,45.234653,4193100
2000-07-14,47.0,50.25,43.125,44.8125,43.129333,1457800
2000-07-17,46.25,47.9375,45.125,47.4375,45.655727,599000
2000-07-18,46.5,46.5625,40.875,41.1875,39.640484,1447400
2000-07-19,42.1875,42.1875,37.0625,37.6875,36.271941999999996,1472800
2000-07-20,42.0,43.875,37.25,40.875,39.33971,2958400
2000-07-21,40.125,40.125,36.125,37.5,36.091488,1649300
2000-07-24,38.1875,40.125,36.25,36.75,35.369656,1252400
2000-07-25,37.9375,38.375,36.25,36.9375,35.550106,1138500
2000-07-26,36.9375,36.9375,35.125,36.1875,34.828285,1040000
2000-07-27,33.5,34.0,29.375,32.0,30.798065,3613600
2000-07-28,32.125,33.4375,30.4375,32.75,31.519894,1463700
2000-07-31,33.75,34.625,32.625,34.0625,32.7831,909000
2000-08-01,34.875,35.25,31.625,32.625,31.399595,831200
2000-08-02,32.5625,35.75,31.5,31.6875,30.497303000000002,1285100
2000-08-03,27.625,35.0,25.75,34.875,33.565075,4040800
2000-08-04,35.75,38.0,33.875,35.375,34.046295,1769600
2000-08-07,37.5,40.5,36.75,39.625,38.136669,1551500
2000-08-08,38.5,39.9375,36.5,36.890598,35.504974,882200
2000-08-09,38.875,41.25,37.875,39.875,38.377277,1491300
2000-08-10,38.5625,40.4375,37.625,37.625,36.211796,602100
2000-08-11,37.25,39.3125,36.5625,37.3125,35.911026,607700
2000-08-14,38.1875,39.0,37.0,38.125,36.693008,616000
2000-08-15,38.375,39.375,37.625,37.75,36.332096,689800
2000-08-16,38.125,39.25,35.3125,36.671799,35.294388,1098300
2000-08-17,36.9375,38.75,36.1875,38.4375,36.993767,1089600
2000-08-18,39.125,40.5625,38.8125,40.5625,39.038959999999996,674300
2000-08-21,40.4062,42.4375,38.375,39.625,38.136669,513800
2000-08-22,40.1875,40.1875,38.3125,38.359299,36.91851,317700
2000-08-23,38.375,40.75,37.25,40.5,38.978806,508500
2000-08-24,40.375,41.25,39.5625,41.0,39.460018,391700
2000-08-25,40.25,41.4375,40.0,40.125,38.617886,650200
2000-08-28,39.875,41.4375,39.8125,40.875,39.33971,313600
2000-08-29,40.75,44.5,40.75,43.375,41.745815,800800
2000-08-30,44.0625,48.125,44.0,47.1875,45.415123,2006300
2000-08-31,47.5,52.5,47.5,50.4375,48.543048999999996,1688500
2000-09-01,50.6875,50.75,46.4375,47.5,45.715881,851500
2000-09-05,47.25,47.25,42.5,42.5625,40.963837,521300
2000-09-06,43.25,44.0,39.0625,39.5,38.016360999999996,1006500
2000-09-07,40.75,42.25,39.875,41.5625,40.0014,1143400
2000-09-08,41.4375,44.5,39.0,39.9375,38.437431,1220200
2000-09-11,40.5625,42.625,39.5,41.125,39.580334,720100
2000-09-12,41.625,42.375,40.375,40.5,38.978806,281200
2000-09-13,39.6875,41.625,39.5625,41.375,39.820934,725100
2000-09-14,41.875,44.0,41.5,43.25,41.625510999999996,1084200
2000-09-15,40.8125,40.8125,38.1875,39.5,38.016360999999996,2915900
2000-09-18,39.1875,41.375,39.1875,39.9375,38.437431,975800
2000-09-19,40.375,40.375,36.0,38.9375,37.474990999999996,1139100
2000-09-20,38.875,40.125,36.9375,39.75,38.256977,768300
2000-09-21,38.7187,40.0,37.0,37.0625,35.670414,1086400
2000-09-22,34.75,36.6875,34.125,36.4375,35.068897,1176800
2000-09-25,36.5,38.0,33.25,33.25,32.001114,703500
2000-09-26,34.125,36.25,32.75,34.5625,33.26432,980100
2000-09-27,35.125,35.125,33.125,33.3125,32.061271999999995,873200
2000-09-28,33.75,39.75,33.0,39.5625,38.076527,1230500
2000-09-29,37.25,38.0,33.875,34.0625,32.7831,708600
2000-10-02,34.875,36.0625,32.0,32.125,30.918369000000002,601200
2000-10-03,33.5,33.5,31.0,31.25,30.076239,954700
2000-10-04,31.1875,34.0,30.5,33.9375,32.662788,1187300
2000-10-05,33.875,34.625,30.5,30.75,29.595018,628800
2000-10-06,30.875,31.0,28.5625,28.9375,27.850596999999997,901100
2000-10-09,29.4375,29.625,26.75,27.8125,26.767853000000002,1758100
2000-10-10,28.375,28.5,24.125,26.3125,25.324192,1614100
2000-10-11,24.25,27.3125,22.375,26.375,25.384346,2435300
2000-10-12,26.75,28.375,24.5625,24.75,23.820379,967600
2000-10-13,25.2187,28.75,24.9375,28.0,26.948309000000002,1004900
2000-10-16,28.0625,33.5,27.75,31.5625,30.377001,1609700
2000-10-17,31.75,33.0937,28.75,28.875,27.790445000000002,1246000
