Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,5.09375,5.125,4.953125,20.3125,4.212826000000001,7242000
2000-01-04,5.015625,5.0625,4.65625,19.25,3.992465,9108400
2000-01-05,4.8125,4.859375,4.671875,18.6875,3.875801,12011200
2000-01-06,5.0,5.1875,4.921875,19.8125,4.109125,13496000
2000-01-07,4.96875,5.203125,4.875,20.3125,4.212826000000001,8710000
2000-01-10,5.046875,5.078125,4.984375,20.0,4.148014,7616400
2000-01-11,5.0,5.046875,4.90625,19.6875,4.083202,9789200
2000-01-12,4.921875,4.9375,4.875,19.5,4.044314,8188800
2000-01-13,4.875,4.921875,4.765625,19.5,4.044314,9368800
2000-01-14,4.859375,4.984375,4.84375,19.6875,4.083202,4632400
2000-01-18,4.859375,4.890625,4.734375,19.0625,3.9535760000000004,3944000
2000-01-19,4.828125,4.84375,4.59375,18.4375,3.823952,7242800
2000-01-20,4.71875,4.75,4.546875,18.5,3.836914,4619600
2000-01-21,4.5625,4.578125,4.21875,17.25,3.577664,21694800
2000-01-24,4.1875,4.296875,4.125,16.625,3.4480370000000002,14191200
2000-01-25,4.15625,4.296875,4.140625,17.0,3.525813,6583600
2000-01-26,4.203125,4.375,4.203125,17.375,3.603586,8232800
2000-01-27,4.328125,4.453125,4.21875,17.125,3.551738,6114400
2000-01-28,4.21875,4.234375,4.0625,16.3125,3.383225,6966000
2000-01-31,4.09375,4.125,4.015625,16.3125,3.383225,5648400
2000-02-01,4.015625,4.171875,4.015625,16.625,3.4480370000000002,5247600
2000-02-02,4.171875,4.4375,4.015625,17.5,3.629512,5960800
2000-02-03,4.3125,4.640625,4.25,18.1875,3.7721,11160800
2000-02-04,4.546875,4.65625,4.3125,18.3125,3.798028,10744400
2000-02-07,4.46875,4.484375,4.234375,17.1875,3.5647019999999996,8986800
2000-02-08,4.34375,4.4375,4.34375,17.5625,3.6499080000000004,6589600
2000-02-09,4.375,4.375,4.25,17.0625,3.5459959999999997,4532400
2000-02-10,4.25,4.375,4.09375,17.25,3.5849629999999997,4624800
2000-02-11,4.34375,4.34375,4.09375,16.75,3.4810510000000003,4717600
2000-02-14,4.203125,4.21875,4.078125,16.6875,3.468062,3272800
2000-02-15,4.171875,4.171875,4.03125,16.3125,3.390129,4661600
2000-02-16,4.09375,4.09375,3.875,15.625,3.247249,6686000
2000-02-17,3.890625,4.046875,3.75,15.1875,3.156326,7728000
2000-02-18,3.84375,3.90625,3.75,15.125,3.143337,6530800
2000-02-22,3.84375,3.84375,3.6875,14.875,3.091381,4178800
2000-02-23,3.75,3.796875,3.671875,14.6875,3.0524139999999997,3073200
2000-02-24,3.625,3.65625,3.484375,14.25,2.961491,5422800
2000-02-25,3.5625,3.6875,3.484375,14.125,2.935514,6590400
2000-02-28,3.53125,3.75,3.53125,15.0,3.1173580000000003,12048000
2000-02-29,3.78125,4.0625,3.78125,15.9375,3.3121940000000003,13273200
2000-03-01,4.046875,4.15625,3.90625,16.5,3.429094,13587200
2000-03-02,4.140625,4.328125,4.125,16.75,3.4810510000000003,7909600
2000-03-03,4.0625,4.3125,3.890625,16.9375,3.5200190000000005,5958000
2000-03-06,4.1875,4.1875,4.03125,16.375,3.403118,3782000
2000-03-07,4.0625,4.078125,3.875,15.625,3.247249,4126000
2000-03-08,3.75,3.9375,3.703125,15.75,3.273228,8748400
2000-03-09,3.875,3.921875,3.8125,15.625,3.247249,12703600
2000-03-10,3.828125,3.875,3.796875,15.25,3.169315,8376400
2000-03-13,3.78125,3.78125,3.625,15.0,3.1173580000000003,9430000
2000-03-14,3.734375,3.84375,3.6875,15.125,3.143337,7897200
2000-03-15,3.71875,4.296875,3.6875,17.0,3.533007,13854400
2000-03-16,4.4375,5.25,4.390625,20.0,4.156477,25264400
2000-03-17,5.03125,5.046875,4.75,19.0,3.9486559999999997,15734800
2000-03-20,4.8125,4.9375,4.75,19.6875,4.091533999999999,6892400
2000-03-21,4.984375,5.0625,4.921875,20.0,4.156477,14585200
2000-03-22,4.984375,5.0,4.875,19.9375,4.143491,10443200
2000-03-23,4.984375,5.0,4.890625,19.9375,4.143491,6497600
2000-03-24,5.0,5.234375,4.96875,20.875,4.338325,9708800
2000-03-27,5.171875,5.265625,5.125,20.6875,4.2993559999999995,9472000
2000-03-28,5.234375,5.609375,5.203125,21.0625,4.377293,10217200
2000-03-29,5.3125,5.34375,5.15625,21.125,4.390281,10910400
2000-03-30,5.265625,6.0,5.265625,22.9375,4.766962,18114400
2000-03-31,5.78125,6.140625,5.53125,22.1875,4.611095,22274800
2000-04-03,5.625,6.0,5.625,23.8125,4.948805999999999,9090000
2000-04-04,5.953125,6.109375,5.5625,23.3125,4.844894999999999,10947600
2000-04-05,5.890625,5.96875,5.765625,23.6875,4.9228309999999995,4669600
2000-04-06,5.90625,5.921875,5.625,23.0,4.779952,14814000
2000-04-07,5.75,5.890625,5.640625,22.875,4.7539739999999995,9038400
2000-04-10,5.640625,5.65625,5.5,22.1875,4.611095,11226000
2000-04-11,5.5,5.53125,5.328125,21.75,4.520169,10180400
2000-04-12,5.4375,5.578125,5.390625,21.5625,4.481205,9111600
2000-04-13,5.453125,5.53125,5.265625,21.0625,4.377293,13272800
2000-04-14,5.25,5.265625,4.84375,19.75,4.104526,10867200
2000-04-17,5.0,5.046875,4.953125,20.0,4.156477,8174800
2000-04-18,5.0,5.09375,4.96875,20.125,4.182457,4581200
2000-04-19,5.09375,5.171875,5.046875,20.4375,4.247403,3676400
2000-04-20,5.15625,5.171875,5.078125,20.5,4.260391,5522000
2000-04-24,5.0625,5.171875,5.046875,20.4375,4.247403,5843600
2000-04-25,5.046875,5.078125,4.9375,19.8125,4.117513,10790400
2000-04-26,4.984375,5.0,4.609375,18.5625,3.857731,10076800
2000-04-27,4.5,4.609375,4.34375,18.0,3.740832,9218800
2000-04-28,4.8125,4.96875,4.734375,19.1875,3.987623,7813600
2000-05-01,4.828125,4.859375,4.765625,19.375,4.0265889999999995,6845600
2000-05-02,4.75,4.796875,4.515625,19.0625,3.961644,8875200
2000-05-03,4.65625,4.65625,4.453125,17.875,3.7148529999999997,9910000
2000-05-04,4.6875,4.78125,4.59375,18.6875,3.883712,6621600
2000-05-05,4.609375,4.8125,4.609375,18.8125,3.9096879999999996,4924800
2000-05-08,4.6875,4.703125,4.5,18.1875,3.7797970000000003,8037200
2000-05-09,4.609375,4.6875,4.5625,18.5625,3.8662349999999996,4247600
2000-05-10,4.59375,4.640625,4.53125,18.25,3.8011480000000004,4932400
2000-05-11,4.53125,4.5625,4.40625,18.0,3.7490769999999998,5508400
2000-05-12,4.53125,4.5625,4.484375,18.0625,3.7620949999999995,4608800
2000-05-15,4.53125,4.875,4.53125,19.5,4.0614989999999995,6895600
2000-05-16,5.09375,5.15625,4.9375,20.0,4.165642,9551200
2000-05-17,4.9375,5.0,4.890625,19.625,4.087537,7369600
2000-05-18,4.78125,5.015625,4.78125,20.0,4.165642,8452800
2000-05-19,4.953125,5.15625,4.953125,20.5,4.269782,7967200
2000-05-22,5.15625,5.21875,5.046875,20.375,4.243744,4077200
2000-05-23,5.125,5.421875,5.109375,21.1875,4.412975,5914400
2000-05-24,5.328125,5.328125,5.140625,20.875,4.347886,8692800
2000-05-25,5.21875,5.3125,5.1875,20.875,4.347886,6220000
2000-05-26,5.21875,5.21875,5.171875,20.6875,4.308835,1718800
2000-05-30,5.1875,5.34375,5.171875,21.0625,4.386941,2323200
2000-05-31,5.328125,5.546875,5.28125,21.625,4.504097,3003600
2000-06-01,5.3125,5.59375,5.296875,21.9375,4.569186,4930400
2000-06-02,5.5,5.578125,5.484375,22.25,4.634275,3052400
2000-06-05,5.5625,5.59375,5.4375,21.75,4.530135,2929200
2000-06-06,5.34375,5.34375,5.046875,20.3125,4.230728,4384400
2000-06-07,5.109375,5.359375,5.109375,21.1875,4.412975,3306800
2000-06-08,5.3125,5.3125,5.109375,20.875,4.347886,3651600
