Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,18.53125,18.625,17.3125,35.125,12.034641,748800
2000-01-04,17.34375,17.5625,17.0,34.0625,11.670606,1076200
2000-01-05,16.875,17.46875,16.59375,34.0,11.649192999999999,1050400
2000-01-06,16.96875,17.5,16.6875,35.0,11.991816,478200
2000-01-07,17.609381,17.75,17.25,34.75,11.906158999999999,466200
2000-01-10,17.65625,17.875,17.4375,35.125,12.034641,407600
2000-01-11,17.5,17.78125,17.28125,35.0,11.991816,402400
2000-01-12,17.78125,18.25,17.59375,36.5,12.505751,717200
2000-01-13,18.3125,19.84375,18.296881,38.5,13.190994,1763400
2000-01-14,19.375,19.5625,19.1875,39.0625,13.383717,1019200
2000-01-18,19.40625,19.4375,18.59375,37.5625,12.869782,673600
2000-01-19,18.84375,19.625,18.8125,38.125,13.062517,371800
2000-01-20,19.28125,19.3125,18.875,38.125,13.062517,379800
2000-01-21,19.4375,20.09375,19.1875,39.9375,13.683519,1067200
2000-01-24,20.0625,20.9375,19.625,39.5,13.533623,1131000
2000-01-25,19.71875,21.25,19.25,42.375,14.518667,1019800
2000-01-26,21.1875,21.3125,19.8125,42.0,14.390169,984000
2000-01-27,20.9375,21.4375,19.59375,39.25,13.447966000000001,1275600
2000-01-28,19.6875,19.6875,18.1875,36.5,12.505751,1215800
2000-01-31,18.125,19.4375,17.9375,38.875,13.319484,851600
2000-02-01,19.3125,19.65625,18.6875,39.125,13.405135999999999,807200
2000-02-02,19.5625,19.875,19.0,39.625,13.57645,1163000
2000-02-03,20.0,20.0625,18.75,38.4375,13.169576999999999,1115800
2000-02-04,19.375,19.375,18.40625,37.125,12.719891,577600
2000-02-07,19.40625,19.40625,18.28125,36.6875,12.569996000000002,576400
2000-02-08,18.59375,18.625,18.25,36.6875,12.569996000000002,549600
2000-02-09,18.34375,18.75,17.8125,35.9375,12.313028,597400
2000-02-10,18.0,18.4375,17.75,35.6875,12.227364999999999,464200
2000-02-11,17.8125,18.0,17.5,35.093761,12.023945,425800
2000-02-14,17.671881,17.71875,16.59375,33.6875,11.542124000000001,1000000
2000-02-15,16.75,18.0,16.5625,35.3125,12.098886,758600
2000-02-16,17.625,18.0,17.1875,35.375,12.120302,1428800
2000-02-17,17.6875,17.78125,16.46875,33.3125,11.413638,753600
2000-02-18,16.5625,16.75,16.1875,32.4375,11.11384,669800
2000-02-22,16.625,16.65625,16.125,32.625,11.178087,464000
2000-02-23,16.21875,16.6875,16.125,32.3125,11.071015,689800
2000-02-24,16.25,17.6875,16.09375,35.375,12.120302,1495400
2000-02-25,17.71875,17.75,16.9375,34.1875,11.713436,664200
2000-02-28,17.15625,17.3125,16.59375,34.25,11.734853,873000
2000-02-29,17.125,17.21875,16.4375,32.9375,11.285156,1204600
2000-03-01,16.65625,16.90625,16.4375,33.3125,11.413638,791200
2000-03-02,16.75,17.28125,16.46875,34.3125,11.756269,1276600
2000-03-03,17.375,17.375,16.875,34.0625,11.670606,674600
2000-03-06,17.0,17.40625,16.75,33.625,11.520710000000001,633000
2000-03-07,17.0,17.03125,16.1875,32.5625,11.156673,781200
2000-03-08,16.125,16.15625,15.25,30.875,10.578496000000001,1486000
2000-03-09,15.4375,16.1875,15.0625,31.875,10.92112,924000
