Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,33.25,33.25,32.625,33.0,21.041710000000002,336400
2000-01-04,32.5,33.0,32.1875,32.5625,20.762745000000002,494400
2000-01-05,32.5625,33.3125,32.25,32.3125,20.603336,736000
2000-01-06,32.3125,33.375,31.8125,32.9375,21.001854,660400
2000-01-07,33.4375,34.75,33.3125,34.25,21.838739,594700
2000-01-10,34.75,34.75,33.125,33.625,21.440228,389900
2000-01-11,33.375,33.75,32.875,33.25,21.201117,812900
2000-01-12,33.0,33.625,32.75,33.3125,21.240969,561500
2000-01-13,33.3125,34.1875,33.3125,34.0,21.679337,589600
2000-01-14,33.9375,34.6875,33.625,34.0,21.679337,599300
2000-01-18,33.75,33.75,32.5,32.75,20.882301000000002,945900
2000-01-19,32.5,33.25,32.375,32.8125,20.92215,988100
2000-01-20,32.75,32.8125,32.25,32.625,20.802595,943400
2000-01-21,32.0,32.0625,31.0,31.5,20.085274,1000300
2000-01-24,31.625,32.4375,31.3125,32.125,20.483784,586500
2000-01-25,32.125,32.8125,31.25,31.375,20.005566,609700
2000-01-26,31.4375,32.4375,31.1875,32.375,20.643194,503300
2000-01-27,32.0,32.375,29.8125,30.5625,19.487488,1316500
2000-01-28,30.0625,30.1875,29.3125,30.0,19.12882,814900
2000-01-31,29.8125,30.1875,29.125,30.1875,19.248379,612200
2000-02-01,30.0,30.0,27.5,29.3125,18.690451,1023000
2000-02-02,29.375,29.375,27.5,27.875,17.773865,1416900
2000-02-03,27.875,27.875,26.375,26.625,16.976831,1374600
2000-02-04,26.75,27.1875,25.75,26.75,17.056538,1507200
2000-02-07,26.75,27.0,26.25,26.625,16.976831,1126800
2000-02-08,26.75,26.8125,26.125,26.3125,16.777569,1073900
2000-02-09,26.25,26.4375,25.3125,25.4375,16.219646,1127900
2000-02-10,25.0,25.25,24.1875,24.5,15.621870999999999,3271100
2000-02-11,24.5625,24.75,23.75,24.375,15.542171,680900
2000-02-14,24.25,24.5625,24.0625,24.25,15.462468,436300
2000-02-15,24.5,24.625,24.1875,24.3125,15.502315,689700
2000-02-16,24.3125,24.9375,24.3125,24.5,15.621870999999999,1297000
2000-02-17,24.875,25.125,24.25,24.625,15.701582,562200
2000-02-18,24.5625,24.6875,23.125,23.625,15.063951000000001,529900
2000-02-22,23.625,24.5,23.0625,23.875,15.223354,966400
2000-02-23,23.75,24.125,23.5,23.75,15.143652,1101500
2000-02-24,23.625,23.75,22.25,22.75,14.506027,803000
2000-02-25,23.5,23.75,22.8125,22.875,14.585726999999999,545200
2000-02-28,23.1875,23.625,23.0625,23.0625,14.705285,971800
2000-02-29,23.125,23.5625,22.25,22.375,14.266912,1211500
2000-03-01,22.5,23.25,21.75,22.5625,14.386472,1397000
2000-03-02,22.5625,23.0625,22.0625,22.625,14.426323000000002,1166300
2000-03-03,22.5625,23.4375,22.3125,22.5625,14.386472,668600
2000-03-06,22.3125,22.6875,22.1875,22.4375,14.306768,793900
2000-03-07,22.4375,22.6875,22.0625,22.0625,14.067654000000001,885100
2000-03-08,22.125,22.5,21.375,21.75,13.868397,661200
2000-03-09,21.375,23.1875,21.3125,22.75,14.506027,1607800
2000-03-10,22.75,23.25,22.625,23.0,14.665432000000001,634300
