Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,9.9375,10.0,9.6875,9.9375,3.5907980000000004,193500
2000-01-04,9.8125,9.875,9.4375,9.5,3.4327129999999997,289000
2000-01-05,9.625,9.9375,9.625,9.6875,3.500464,258300
2000-01-06,9.8125,10.375,9.8125,10.375,3.748883,206200
2000-01-07,10.375,10.4375,10.125,10.1875,3.681132,257600
2000-01-10,10.25,10.3125,10.125,10.1875,3.681132,179900
2000-01-11,10.25,10.375,10.125,10.3125,3.7262989999999996,254100
2000-01-12,10.1875,10.25,10.0625,10.125,3.755043,278600
2000-01-13,10.125,10.1875,9.8125,9.9375,3.6855029999999998,229300
2000-01-14,10.0,10.0625,9.8125,9.9375,3.6855029999999998,2696300
2000-01-18,9.875,9.9375,9.5625,9.6875,3.5927879999999996,301500
2000-01-19,9.75,10.0,9.6875,9.9375,3.6855029999999998,366800
2000-01-20,9.9375,10.0625,9.9375,9.9375,3.6855029999999998,211100
2000-01-21,10.0,10.5,10.0,10.4375,3.8709379999999998,607200
2000-01-24,10.5,10.5,10.25,10.25,3.8014010000000003,194700
2000-01-25,10.3125,10.375,10.25,10.25,3.8014010000000003,135100
2000-01-26,10.25,10.5,10.0625,10.125,3.755043,217500
2000-01-27,10.0,10.1875,9.9375,9.9375,3.6855029999999998,166700
2000-01-28,9.9375,10.0625,9.875,9.875,3.662325,125500
2000-01-31,9.8125,9.875,9.625,9.625,3.569609,213000
2000-02-01,9.625,9.9375,9.5625,9.9375,3.6855029999999998,245700
2000-02-02,9.875,10.0625,9.8125,10.0625,3.7318620000000005,158200
2000-02-03,9.9375,10.1875,9.9375,10.1875,3.778221,261300
2000-02-04,10.0625,10.375,10.0625,10.375,3.84776,322500
2000-02-07,10.25,10.3125,10.125,10.125,3.755043,147600
2000-02-08,10.125,10.3125,10.0,10.0625,3.7318620000000005,165400
2000-02-09,10.0625,10.125,10.0,10.0625,3.7318620000000005,135800
2000-02-10,10.0625,10.1875,10.0,10.0625,3.7318620000000005,468400
2000-02-11,10.0625,10.1875,10.0,10.0,3.708684,156400
2000-02-14,10.0,10.125,10.0,10.0625,3.7318620000000005,158200
2000-02-15,10.0,10.125,9.9375,10.0,3.708684,284200
2000-02-16,10.0625,10.0625,9.8125,9.8125,3.6391459999999998,180800
2000-02-17,9.8125,9.9375,9.8125,9.9375,3.6855029999999998,185500
2000-02-18,10.0,10.0,9.75,9.8125,3.6391459999999998,183400
2000-02-22,9.75,9.8125,9.625,9.75,3.615967,247200
2000-02-23,9.75,9.9375,9.75,9.9375,3.6855029999999998,210900
2000-02-24,9.875,9.9375,9.8125,9.8125,3.6391459999999998,133300
2000-02-25,9.8125,9.9375,9.8125,9.875,3.662325,98500
2000-02-28,9.875,10.0625,9.875,10.0,3.708684,210400
2000-02-29,9.875,10.0,9.875,10.0,3.708684,228000
2000-03-01,10.0,10.0,9.75,9.75,3.615967,141500
2000-03-02,9.6875,9.9375,9.6875,9.875,3.662325,218100
2000-03-03,9.9375,9.9375,9.875,9.875,3.662325,178800
2000-03-06,9.875,9.9375,9.625,9.875,3.662325,261300
2000-03-07,9.8125,9.875,9.5625,9.5625,3.5464279999999997,178600
2000-03-08,9.5625,9.8125,9.5625,9.8125,3.6391459999999998,155000
2000-03-09,9.75,9.875,9.625,9.875,3.662325,129400
2000-03-10,9.8125,9.875,9.75,9.8125,3.6391459999999998,181700
2000-03-13,9.75,9.875,9.625,9.625,3.569609,189700
2000-03-14,9.625,9.6875,9.5625,9.5625,3.5464279999999997,178200
2000-03-15,9.5625,9.9375,9.5,9.875,3.662325,362300
2000-03-16,9.875,9.9375,9.75,9.8125,3.6391459999999998,259900
2000-03-17,9.75,10.0,9.75,9.9375,3.6855029999999998,244800
2000-03-20,9.9375,9.9375,9.75,9.75,3.615967,132000
2000-03-21,9.8125,9.875,9.75,9.875,3.662325,100800
2000-03-22,9.8125,9.875,9.75,9.875,3.662325,106900
2000-03-23,9.75,9.875,9.75,9.8125,3.6391459999999998,225100
2000-03-24,9.8125,9.9375,9.75,9.75,3.615967,213400
