Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,32.46875,32.5,31.0,62.5,22.051453,2140400
2000-01-04,30.5625,31.21875,29.5,59.9375,21.147339000000002,3367000
2000-01-05,29.96875,30.125,29.25,58.75,20.728361,3904600
2000-01-06,29.25,30.90625,28.4375,61.5625,21.720684,6148600
2000-01-07,30.78125,32.34375,30.3125,64.0,22.580688000000002,3995000
2000-01-10,32.0,32.625,31.84375,64.625,22.801197,2460200
2000-01-11,32.1875,32.21875,31.46875,63.125,22.271959,2210000
2000-01-12,31.59375,32.75,31.5625,64.5625,22.779148,2532200
2000-01-13,32.09375,32.9375,32.0,65.25,23.021717000000002,2106400
2000-01-14,32.625,32.625,31.5,63.8125,22.514528,3040800
2000-01-18,31.5,31.71875,30.09375,62.75,22.139651999999998,4874600
2000-01-19,31.1875,31.75,30.21875,60.6875,21.411959,3621200
2000-01-20,30.53125,30.65625,29.03125,59.3125,20.926826000000002,3840200
2000-01-21,29.75,30.5,29.03125,60.625,21.389915,4532400
2000-01-24,31.25,31.875,29.75,60.0,21.16939,5444400
2000-01-25,29.6875,29.8125,28.0,56.875,20.066817999999998,5178200
2000-01-26,28.4375,29.0,27.6875,57.0,20.110922,4411200
2000-01-27,28.5,28.6875,27.0,55.1875,19.471432,3873800
2000-01-28,27.46875,27.5625,25.75,52.25,18.435017000000002,7165400
2000-01-31,26.3125,26.875,26.15625,52.9375,18.677582,4094800
2000-02-01,26.75,27.0,26.28125,53.6875,18.942201999999998,5269600
2000-02-02,26.9375,27.25,26.59375,53.75,18.964249,3064200
2000-02-03,27.125,27.1875,25.75,52.9375,18.677582,4442000
2000-02-04,26.5,26.75,25.0,51.375,18.126299,6752800
2000-02-07,25.59375,26.0,25.15625,51.1875,18.060141,7392400
2000-02-08,25.5,25.8125,24.96875,51.0,17.993988,4819600
2000-02-09,25.9375,26.28125,25.25,50.625,17.861677,5518600
2000-02-10,25.375,25.84375,24.875,50.125,17.685260999999997,3483600
2000-02-11,25.0625,25.53125,23.78125,48.375,17.067823,3988000
2000-02-14,24.40625,25.75,24.40625,50.3125,17.751413,4672400
