Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,4.25,4.25,4.0,4.0,1.402044,17100
2000-01-04,4.0,4.0,3.9375,4.0,1.402044,39800
2000-01-05,3.9375,4.125,3.9375,3.9375,1.3801370000000002,30400
2000-01-06,3.9375,4.125,3.9375,4.0,1.402044,27500
2000-01-07,3.9375,4.0,3.875,3.9375,1.3801370000000002,84500
2000-01-10,3.9375,4.125,3.9375,4.0,1.402044,54100
2000-01-11,3.875,3.9375,3.875,3.9375,1.3801370000000002,52300
2000-01-12,3.875,3.9375,3.875,3.875,1.3582299999999998,15600
2000-01-13,3.875,4.0625,3.875,3.9375,1.3801370000000002,31000
2000-01-14,3.9375,4.0,3.9375,4.0,1.402044,36200
2000-01-18,4.0,4.0625,3.9375,4.0625,1.42395,20600
2000-01-19,4.0,4.0625,3.9375,4.0625,1.42395,28300
2000-01-20,4.0625,4.0625,4.0,4.0,1.402044,32100
2000-01-21,4.0,4.0,3.9375,3.9375,1.3801370000000002,40600
2000-01-24,3.9375,4.0,3.6875,3.6875,1.292509,104500
2000-01-25,3.75,3.75,3.4375,3.5,1.226788,357600
2000-01-26,3.4375,3.625,3.375,3.5,1.226788,74100
2000-01-27,3.5,3.625,3.375,3.5,1.226788,108200
2000-01-28,3.4375,3.5,3.375,3.4375,1.204882,126200
2000-01-31,3.5,3.75,3.375,3.625,1.270602,226600
2000-02-01,3.625,3.75,3.5625,3.6875,1.292509,91500
2000-02-02,3.625,3.8125,3.625,3.75,1.314416,39100
2000-02-03,3.6875,3.875,3.625,3.6875,1.292509,175400
2000-02-04,3.625,3.625,3.5,3.5,1.226788,125700
2000-02-07,3.75,3.8125,3.5625,3.6875,1.292509,40900
2000-02-08,3.625,3.8125,3.375,3.5,1.226788,62800
2000-02-09,3.5,3.5625,3.5,3.5,1.226788,60400
2000-02-10,3.5,3.5,3.4375,3.4375,1.204882,124800
2000-02-11,3.375,3.4375,3.1875,3.25,1.139161,125000
2000-02-14,3.25,3.25,3.125,3.1875,1.1172540000000002,65900
2000-02-15,3.125,3.1875,3.125,3.1875,1.1172540000000002,68100
2000-02-16,3.125,3.3125,3.125,3.3125,1.161068,63400
2000-02-17,3.25,3.4375,3.25,3.3125,1.161068,41500
2000-02-18,3.375,3.375,3.3125,3.3125,1.161068,12400
2000-02-22,3.3125,3.375,3.3125,3.3125,1.161068,25000
2000-02-23,3.3125,3.3125,3.3125,3.3125,1.161068,9800
2000-02-24,3.3125,3.375,3.25,3.3125,1.161068,29300
2000-02-25,3.25,3.5,3.25,3.375,1.182974,101300
2000-02-28,3.375,3.4375,3.375,3.4375,1.204882,14100
2000-02-29,3.4375,3.5625,3.375,3.375,1.182974,624000
2000-03-01,3.375,3.5,3.3125,3.3125,1.161068,218700
2000-03-02,3.3125,3.375,3.3125,3.375,1.182974,96300
2000-03-03,3.4375,3.6875,3.4375,3.5625,1.248695,60900
2000-03-06,3.4375,3.625,3.3125,3.5625,1.248695,42300
2000-03-07,3.5,3.625,3.375,3.5,1.226788,303300
2000-03-08,3.5,3.5,3.375,3.375,1.182974,21300
2000-03-09,3.375,3.375,3.125,3.25,1.139161,141000
2000-03-10,3.3125,3.3125,3.125,3.1875,1.1172540000000002,71800
2000-03-13,3.1875,3.375,3.1875,3.375,1.182974,49400
2000-03-14,3.3125,3.3125,3.125,3.125,1.0953469999999998,73200
2000-03-15,3.125,3.125,2.6875,2.8125,0.9858120000000001,207300
2000-03-16,2.75,3.1875,2.75,3.125,1.0953469999999998,149100
2000-03-17,3.0,3.0625,2.875,2.9375,1.029626,80000
2000-03-20,2.9375,2.9375,2.875,2.9375,1.029626,37200
2000-03-21,3.0,3.5,3.0,3.4375,1.204882,313200
2000-03-22,3.5625,3.9375,3.5625,3.75,1.314416,162900
2000-03-23,3.75,3.875,3.125,3.25,1.139161,227000
2000-03-24,3.25,3.5,3.25,3.25,1.139161,57700
2000-03-27,3.25,3.3125,3.1875,3.1875,1.1172540000000002,49100
2000-03-28,3.1875,3.3125,3.125,3.125,1.0953469999999998,78100
2000-03-29,3.25,3.25,3.125,3.1875,1.1172540000000002,21000
2000-03-30,3.125,3.3125,3.0,3.3125,1.161068,104900
2000-03-31,3.375,3.375,3.125,3.3125,1.161068,70100
2000-04-03,3.3125,3.3125,3.25,3.3125,1.161068,14100
2000-04-04,3.3125,3.4375,3.3125,3.4375,1.204882,82500
2000-04-05,3.375,3.5,3.375,3.375,1.182974,24600
2000-04-06,3.25,3.5625,3.25,3.4375,1.204882,27600
2000-04-07,3.4375,3.5625,3.3125,3.5625,1.248695,49900
2000-04-10,3.4375,3.75,3.4375,3.6875,1.292509,51700
2000-04-11,3.75,3.8125,3.75,3.75,1.314416,15300
2000-04-12,3.75,3.9375,3.75,3.875,1.3582299999999998,23200
2000-04-13,3.8125,3.9375,3.8125,3.8125,1.336323,50900
2000-04-14,3.75,3.8125,3.5,3.5625,1.248695,61800
2000-04-17,3.5625,3.6875,3.5625,3.6875,1.292509,92800
2000-04-18,3.625,3.8125,3.625,3.75,1.314416,24200
2000-04-19,3.75,3.875,3.75,3.8125,1.336323,11100
2000-04-20,3.875,3.875,3.8125,3.8125,1.336323,10700
2000-04-24,3.8125,3.875,3.75,3.75,1.314416,18100
2000-04-25,3.875,3.875,3.75,3.875,1.3582299999999998,19300
2000-04-26,3.875,3.9375,3.75,3.875,1.3582299999999998,42600
2000-04-27,3.8125,3.875,3.8125,3.875,1.3582299999999998,7900
2000-04-28,3.8125,4.0,3.8125,3.9375,1.3801370000000002,24100
2000-05-01,4.0,4.1875,4.0,4.125,1.445858,60700
2000-05-02,4.125,4.1875,4.0,4.125,1.445858,36100
2000-05-03,4.125,4.1875,4.0625,4.125,1.445858,28200
2000-05-04,4.1875,4.25,4.0,4.125,1.445858,124800
2000-05-05,4.1875,4.25,4.0625,4.0625,1.42395,20100
2000-05-08,4.125,4.125,4.0625,4.0625,1.42395,6500
2000-05-09,4.0625,4.0625,3.875,3.875,1.3582299999999998,32900
2000-05-10,3.875,3.9375,3.875,3.875,1.3582299999999998,13400
2000-05-11,3.9375,3.9375,3.8125,3.875,1.3582299999999998,24300
2000-05-12,3.6875,3.9375,3.6875,3.875,1.3582299999999998,53000
2000-05-15,3.875,3.9375,3.8125,3.9375,1.3801370000000002,7000
2000-05-16,3.9375,4.0,3.8125,3.8125,1.336323,43500
2000-05-17,3.8125,3.875,3.75,3.75,1.314416,17700
2000-05-18,3.75,3.8125,3.75,3.75,1.314416,18600
2000-05-19,3.75,3.8125,3.625,3.625,1.270602,57200
2000-05-22,3.625,3.8125,3.625,3.8125,1.336323,18400
2000-05-23,3.75,4.0625,3.75,3.75,1.314416,60900
2000-05-24,3.75,3.875,3.75,3.875,1.3582299999999998,60200
2000-05-25,3.875,3.875,3.75,3.8125,1.336323,25500
2000-05-26,3.8125,3.8125,3.75,3.8125,1.336323,27300
2000-05-30,3.875,3.875,3.75,3.875,1.3582299999999998,9300
2000-05-31,3.8125,3.9375,3.75,3.8125,1.336323,37100
2000-06-01,3.75,3.8125,3.75,3.8125,1.336323,6500
2000-06-02,3.8125,3.875,3.75,3.8125,1.336323,11800
2000-06-05,3.8125,4.0,3.8125,3.875,1.3582299999999998,115600
2000-06-06,3.875,3.875,3.625,3.75,1.314416,67600
2000-06-07,3.625,3.6875,3.5,3.6875,1.292509,369800
2000-06-08,3.6875,3.8125,3.6875,3.75,1.314416,51500
2000-06-09,3.75,3.8125,3.75,3.8125,1.336323,12000
2000-06-12,3.8125,3.875,3.625,3.625,1.270602,44000
2000-06-13,3.625,3.625,3.3125,3.375,1.182974,172100
2000-06-14,3.3125,3.375,3.125,3.125,1.0953469999999998,71900
2000-06-15,3.125,3.4375,3.125,3.375,1.182974,40900
2000-06-16,3.4375,3.5,3.4375,3.5,1.226788,46800
2000-06-19,3.5,3.5,3.375,3.5,1.226788,64200
2000-06-20,3.375,3.75,3.375,3.75,1.314416,31900
2000-06-21,3.75,3.8125,3.6875,3.8125,1.336323,36200
2000-06-22,3.75,3.8125,3.6875,3.75,1.314416,14300
2000-06-23,3.75,3.8125,3.5625,3.6875,1.292509,36700
2000-06-26,3.6875,3.75,3.5,3.6875,1.292509,25700
2000-06-27,3.75,3.75,3.6875,3.6875,1.292509,17100
2000-06-28,3.6875,3.75,3.5625,3.625,1.270602,33200
2000-06-29,3.6875,3.8125,3.625,3.8125,1.336323,57200
2000-06-30,3.875,3.9375,3.1718,3.2031,1.122722,332300
2000-07-03,3.25,3.5625,3.25,3.5625,1.248695,30400
2000-07-05,3.5,3.875,3.4375,3.875,1.3582299999999998,52000
2000-07-06,3.875,3.875,3.75,3.75,1.314416,61800
2000-07-07,3.75,3.8125,3.6875,3.75,1.314416,64900
2000-07-10,3.625,3.75,3.5625,3.625,1.270602,18300
2000-07-11,3.6875,3.75,3.5,3.625,1.270602,29300
2000-07-12,3.625,3.8125,3.625,3.6875,1.292509,18400
2000-07-13,3.6875,4.0,3.6875,3.9375,1.3801370000000002,77000
2000-07-14,4.0,4.0,3.625,3.625,1.270602,34700
2000-07-17,3.625,3.8125,3.625,3.75,1.314416,14100
